Orthogroup	Mmus	Nvec
OG0000013	CTRB1_MOUSE, KLK7_MOUSE, KLK14_MOUSE, KLK4_MOUSE, KLK8_MOUSE, KLK11_MOUSE, TRY2_MOUSE, TRY4_MOUSE, TRY5_MOUSE, TMPS9_MOUSE, TEST_MOUSE, PRS41_MOUSE, PRS30_MOUSE, PRS33_MOUSE, BSSP4_MOUSE, PRS27_MOUSE, TRYB1_MOUSE, TRYB2_MOUSE, PRS28_MOUSE, PRS29_MOUSE, PRS39_MOUSE, PRS40_MOUSE, PRS38_MOUSE	NV2t022758001.1, NV2t000530001.1, NV2t020120001.1, NV2t010261001.1, NV2t017651002.1, NV2t024582001.1, NV2t014330001.1, NV2t017852002.1, NV2t017852001.1, NV2t017852003.1, NV2t017852004.1, NV2t013630001.1, NV2t013966001.1, NV2t015018001.1, NV2t014863001.1, NV2t014279002.1, NV2t014279001.1, NV2t014279003.1, NV2t004021001.1, NV2t004021002.1, NV2t004021003.1, NV2t013964001.1
OG0000027	PCDA9_MOUSE, PCDA4_MOUSE, PCDA7_MOUSE, PCDAA_MOUSE, PCD19_MOUSE, PCD12_MOUSE, PCDBI_MOUSE, PCDBE_MOUSE, PCDB6_MOUSE, PCDB8_MOUSE, PCDG4_MOUSE	NV2t001711001.1
OG0000063	GRIA1_MOUSE, GRIA2_MOUSE, GRIA4_MOUSE, GRIA3_MOUSE, GRIK5_MOUSE, GRIK4_MOUSE, GRIK2_MOUSE, GRIK3_MOUSE, GRIK1_MOUSE	NV2t006566001.1, NV2t006567001.1, NV2t016902001.1, NV2t016903001.1, NV2t016901001.1, NV2t014687001.1, NV2t013953001.1, NV2t004129001.1
OG0000060	GALR1_MOUSE, GALR3_MOUSE, GALR2_MOUSE	NV2t022136001.1, NV2t021659001.1, NV2t021659002.1, NV2t021659003.1, NV2t021302002.1, NV2t021302001.1, NV2t021303001.1, NV2t022132001.1, NV2t022132002.1, NV2t011164002.1, NV2t011164001.1, NV2t011164003.1, NV2t011164004.1, NV2t003314001.1, NV2t003314002.1, NV2t003314003.1, NV2t003314004.1, NV2t000620001.1, NV2t009673001.1, NV2t010075001.1, NV2t010075002.1, NV2t010076001.1
OG0000077	RINI_MOUSE, NLRP6_MOUSE, NLRP3_MOUSE, NAL12_MOUSE, NAL10_MOUSE, NLR1A_MOUSE, NL1B2_MOUSE, NL1B3_MOUSE, NL1B4_MOUSE, NL1B1_MOUSE, NL1B5_MOUSE, NAL4B_MOUSE, NAL4F_MOUSE, NAL4A_MOUSE, NAL4C_MOUSE, NAL4E_MOUSE, NLR9B_MOUSE, NLR9A_MOUSE, NLR9C_MOUSE, NALP5_MOUSE, NAL14_MOUSE	NV2t020152001.1
OG0000136	TEFF2_MOUSE, TEFF1_MOUSE	NV2t014070001.1, NV2t014049001.1, NV2t014050001.1, NV2t023706005.1, NV2t023706006.1, NV2t023706002.1, NV2t023706004.1, NV2t023706003.1, NV2t014041003.1, NV2t014041002.1, NV2t014041001.1, NV2t014043001.1, NV2t014046006.1, NV2t014048001.1, NV2t014047001.1, NV2t014046005.1, NV2t014046003.1, NV2t014046004.1, NV2t014046001.1, NV2t014046002.1, NV2t013522001.1, NV2t014093001.1
OG0000017	CC14A_MOUSE	NV2t007368001.1, NV2t007368002.1, NV2t007368003.1, NV2t007369001.1, NV2t000181001.1
OG0000037	P52K_MOUSE	NV2t025517001.1, NV2t006046001.1, NV2t009940001.1, NV2t021398001.1, NV2t004708001.1, NV2t023025001.1, NV2t013854001.1, NV2t010347001.1, NV2t002121001.1, NV2t025040001.1, NV2t014952001.1
OG0000068	B3GN5_MOUSE, B3GT1_MOUSE, B3GT2_MOUSE, B3GT5_MOUSE, B3GL1_MOUSE	NV2t024665001.1, NV2t008559001.1, NV2t008559002.1, NV2t008559003.1, NV2t004393001.1, NV2t000552001.1, NV2t014254001.1, NV2t007813001.1, NV2t022519001.1, NV2t003540001.1, NV2t003656001.1, NV2t003661001.1, NV2t000500001.1, NV2t000497001.1, NV2t000495001.1, NV2t000498001.1
OG0000149	SCNBA_MOUSE, SCNAA_MOUSE, SCN5A_MOUSE, SCN4A_MOUSE, SCN8A_MOUSE, SCN7A_MOUSE, SCN9A_MOUSE, SCN3A_MOUSE, SCN1A_MOUSE, SCN2A_MOUSE	NV2t020822001.1, NV2t020110001.1, NV2t020610001.1, NV2t020610002.1, NV2t023334001.1, NV2t023334002.1, NV2t023334003.1, NV2t023334004.1
OG0000159	CRBB1_MOUSE, CRBB2_MOUSE, CRBB3_MOUSE, CRBA2_MOUSE, CRBA4_MOUSE, CRBA1_MOUSE, CRGN_MOUSE, CRYGS_MOUSE, CRGB_MOUSE, CRGD_MOUSE, CRGE_MOUSE, CRGF_MOUSE, CRGA_MOUSE, CRGC_MOUSE	NV2t010538001.1
OG0000038	HRH2_MOUSE, ADRB2_MOUSE, ADRB1_MOUSE, ADRB3_MOUSE, DRD1_MOUSE, DRD5_MOUSE	NV2t011687001.1, NV2t005346001.1, NV2t005347001.1, NV2t017817001.1, NV2t017818001.1, NV2t017818002.1, NV2t017818003.1, NV2t017818005.1, NV2t017818004.1, NV2t017818006.1, NV2t017818007.1, NV2t017679001.1, NV2t017813001.1, NV2t017795001.1, NV2t018127001.1, NV2t018362001.1, NV2t021256001.1, NV2t005982001.1, NV2t015750001.1, NV2t018530001.1, NV2t018519001.1, NV2t018515001.1, NV2t017365001.1, NV2t018517001.1, NV2t018517002.1, NV2t018517003.1, NV2t018517004.1, NV2t018517005.1, NV2t009418001.1, NV2t021261001.1
OG0000109	CP3AB_MOUSE, CP341_MOUSE, CP3AG_MOUSE, CP3AP_MOUSE, CP3AD_MOUSE	NV2t006114001.1, NV2t006668001.1, NV2t006668002.1, NV2t006667002.1, NV2t006667003.1, NV2t006667001.1, NV2t006667004.1, NV2t015547001.1, NV2t015547003.1, NV2t015547002.1, NV2t015547004.1, NV2t006409001.1, NV2t021725001.1, NV2t024607001.1, NV2t024603001.1, NV2t024603002.1, NV2t024608002.1, NV2t024608003.1, NV2t024608001.1, NV2t024608004.1
