# SignalP-6.0	Organism: Eukarya	Timestamp: 20260720225513
# ID	Prediction	OTHER	SP(Sec/SPI)	CS Position
XP_046838979.1	OTHER	1.000000	0.000000	
XP_046838980.1	OTHER	1.000000	0.000000	
XP_046838981.1	OTHER	0.999994	0.000000	
XP_046838982.1	OTHER	0.999991	0.000000	
XP_046838983.1	OTHER	0.999995	0.000000	
XP_046838984.1	OTHER	0.999982	0.000000	
XP_046838985.1	OTHER	0.999999	0.000000	
XP_046838986.1	OTHER	0.833337	0.166649	
XP_046838987.1	OTHER	1.000000	0.000000	
XP_046838988.1	OTHER	1.000000	0.000000	
XP_046838989.1	OTHER	1.000000	0.000000	
XP_046838990.1	OTHER	1.000000	0.000000	
XP_046838991.1	OTHER	1.000000	0.000000	
XP_046838992.1	OTHER	1.000000	0.000000	
XP_046838993.1	OTHER	1.000000	0.000000	
XP_046838994.1	OTHER	1.000000	0.000000	
XP_046838995.1	OTHER	1.000000	0.000000	
XP_046838996.1	OTHER	1.000000	0.000000	
XP_046838997.1	OTHER	1.000000	0.000000	
XP_046838998.1	OTHER	1.000000	0.000000	
XP_046838999.1	OTHER	1.000000	0.000000	
XP_046839000.1	SP	0.000170	0.999835	CS pos: 21-22. Pr: 0.9380
XP_046839001.1	SP	0.443298	0.556733	CS pos: 51-52. Pr: 0.6382
XP_046839002.1	OTHER	1.000000	0.000000	
XP_046839003.1	OTHER	1.000000	0.000000	
XP_046839004.1	OTHER	1.000000	0.000000	
XP_046839005.1	OTHER	1.000000	0.000000	
XP_046839006.1	OTHER	1.000000	0.000000	
XP_046839007.1	SP	0.000150	0.999859	CS pos: 21-22. Pr: 0.9843
XP_046839008.1	OTHER	0.999999	0.000000	
XP_046839009.1	OTHER	0.999996	0.000000	
XP_046839010.1	OTHER	1.000000	0.000000	
XP_046839011.1	OTHER	1.000000	0.000000	
XP_046839012.1	OTHER	1.000000	0.000000	
XP_046839013.1	OTHER	1.000000	0.000000	
XP_046839014.1	OTHER	1.000000	0.000000	
XP_046839015.1	SP	0.000157	0.999855	CS pos: 24-25. Pr: 0.9767
XP_046839016.1	OTHER	1.000000	0.000000	
XP_046839017.1	SP	0.166861	0.833127	CS pos: 21-22. Pr: 0.8082
XP_046839018.1	OTHER	1.000000	0.000002	
XP_046839019.1	OTHER	1.000000	0.000000	
XP_046839020.1	OTHER	1.000000	0.000000	
XP_046839021.1	OTHER	1.000000	0.000000	
XP_046839022.1	SP	0.000157	0.999855	CS pos: 24-25. Pr: 0.9767
XP_046839023.1	OTHER	1.000000	0.000000	
XP_046839024.1	OTHER	1.000000	0.000000	
XP_046839025.1	OTHER	1.000000	0.000000	
XP_046839026.1	OTHER	1.000000	0.000000	
XP_046839027.1	OTHER	1.000000	0.000000	
XP_046839028.1	OTHER	1.000000	0.000000	
XP_046839029.1	OTHER	1.000000	0.000000	
XP_046839030.1	OTHER	1.000000	0.000000	
XP_046839031.1	OTHER	1.000000	0.000000	
XP_046839032.1	OTHER	1.000000	0.000000	
XP_046839033.1	OTHER	1.000000	0.000000	
XP_046839034.1	SP	0.000209	0.999795	CS pos: 23-24. Pr: 0.9844
XP_046839035.1	OTHER	0.999992	0.000000	
XP_046839036.1	OTHER	1.000000	0.000000	
XP_046839037.1	OTHER	1.000000	0.000000	
XP_046839038.1	OTHER	1.000000	0.000000	
XP_046839039.1	OTHER	0.500642	0.499339	
XP_046839040.1	SP	0.000157	0.999838	CS pos: 23-24. Pr: 0.9792
