gfas_gene_id	tier4_blast_hit	tier4_source	tier4_pct_identity	tier4_evalue	tier4_bitscore
pdam_00025109-RA	Neuropep_NP_Hm_GLWamide_prepro_Q86LQ0	Neuropep	48.263	1.2e-90	261.0
pdam_00021390-RA	SOMP_Calc_Gfas_Galaxin_Q8I6S1	SOMP	35.599	2.86e-59	184.0
pdam_00000466-RA	SOMP_Calc_Gfas_Galaxin_Q8I6S1	SOMP	37.324	8.49e-54	169.0
pdam_00006209-RA	Cnidocyte_Hvul_Minicollagen1_P31835	Cnidocyte	28.125	8.65e-41	145.0
pdam_00010454-RA	SOMP_Calc_Gfas_Galaxin_Q8I6S1	SOMP	34.247	4.68e-36	125.0
pdam_00010418-RA	SOMP_Calc_Gfas_Galaxin_Q8I6S1	SOMP	31.746	6.09e-35	124.0
pdam_00020255-RA	SOMP_Calc_Gfas_Galaxin_Q8I6S1	SOMP	35.122	3.14e-31	109.0
pdam_00006955-RA	SOMP_Calc_Gfas_Galaxin_Q8I6S1	SOMP	32.042	2.62e-30	113.0
pdam_00000252-RA	SOMP_Calc_Gfas_Galaxin_Q8I6S1	SOMP	29.968	4.18e-27	103.0
pdam_00000250-RA	SOMP_Calc_Gfas_Galaxin_Q8I6S1	SOMP	32.609	4.77e-25	97.1
pdam_00021323-RA	SCRiP_Venom_Amil_SCRiP3_B7X8E2	SCRiP	35.115	2.1e-22	87.0
pdam_00002548-RA	Cnidocyte_Hvul_Minicollagen1_P31835	Cnidocyte	27.778	5.92e-22	89.4
pdam_00020765-RA	Cnidocyte_Hvul_Minicollagen1_P31835	Cnidocyte	26.289	1.87e-16	72.0
pdam_00019488-RA	Neuropep_NP_Hm_GLWamide_prepro_Q86LQ0	Neuropep	26.776	1.92e-14	62.4
pdam_00021868-RA	Neuropep_NP_Hm_GLWamide_prepro_Q86LQ0	Neuropep	27.273	9.49e-14	62.0
pdam_00015919-RA	Neuropep_NP_Hm_GLWamide_prepro_Q86LQ0	Neuropep	25.281	2.32e-13	60.8
pdam_00021611-RA	Neuropep_NP_Hm_GLWamide_prepro_Q86LQ0	Neuropep	27.322	2.43e-13	57.8
pdam_00000249-RA	SOMP_Calc_Gfas_Galaxin_Q8I6S1	SOMP	27.737	5.81e-12	53.5
pdam_00015701-RA	Neuropep_NP_Hm_GLWamide_prepro_Q86LQ0	Neuropep	24.057	6.26e-12	57.0
pdam_00021324-RA	SCRiP_Venom_Amil_SCRiP3_B7X8E2	SCRiP	23.256	2.47e-10	50.1
pdam_00001172-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	31.818	5.82e-10	51.6
pdam_00021589-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	30.4	1.95e-09	50.1
pdam_00007128-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	30.612	3.38e-09	48.9
pdam_00020257-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	35.714	4.01e-09	49.3
pdam_00004115-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	34.615	4.42e-09	48.5
pdam_00013953-RA	Neuropep_NP_Hm_GLWamide_prepro_Q86LQ0	Neuropep	24.631	4.43e-09	47.4
pdam_00022053-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	31.731	5.4e-09	48.1
pdam_00005304-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	29.71	7.12e-09	49.3
pdam_00015392-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	35.955	7.71e-09	47.4
pdam_00008682-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	32.143	9.99e-09	47.4
pdam_00020263-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	33.735	1.15e-08	49.3
pdam_00023727-RA	Neuropep_NP_Nvec_RFamide_prepro_A7RZI3	Neuropep	32.0	1.21e-08	46.2
pdam_00014266-RA	SOMP_Calc_Gfas_Galaxin_Q8I6S1	SOMP	27.948	1.5e-08	48.5
pdam_00020264-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	34.94	2.11e-08	48.5
pdam_00003708-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	29.412	2.5e-08	45.8
pdam_00001171-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	30.682	2.92e-08	47.0
pdam_00013508-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	31.461	3.88e-08	46.6
pdam_00020984-RA	Neuropep_NP_Nvec_RFamide_prepro_A7RZI3	Neuropep	36.986	3.89e-08	44.7
pdam_00016907-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	33.735	4.09e-08	46.6
pdam_00023789-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	30.189	4.75e-08	45.1
pdam_00023788-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	28.723	5.92e-08	44.3
pdam_00006065-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	29.63	1.33e-07	45.1
pdam_00005303-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	38.983	1.92e-07	44.7
pdam_00024048-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	33.333	2.59e-07	43.9
pdam_00011811-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	36.585	2.82e-07	43.9
pdam_00005127-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	31.395	3.62e-07	43.5
pdam_00011878-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	31.683	3.76e-07	42.4
pdam_00001175-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	28.409	5.34e-07	42.4
pdam_00010076-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	29.293	7.8e-07	42.0
pdam_00008275-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	32.979	1.1e-06	42.0
pdam_00019734-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	31.667	1.3e-06	41.6
pdam_00003123-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	34.783	1.38e-06	40.4
pdam_00000133-RA	SCRiP_Venom_Amil_SCRiP1_B7X8E0	SCRiP	34.375	2.08e-06	42.0
