Orthogroup	Hsap	Mmus
OG0000000	ZNF8_HUMAN	ZNF8_MOUSE
OG0000000	ZN793_HUMAN, ZN350_HUMAN, ZN577_HUMAN, ZN589_HUMAN, ZN707_HUMAN	ZFOI1_MOUSE, ZN809_MOUSE
OG0000000	ZN879_HUMAN	ZN879_MOUSE
OG0000000	Z354C_HUMAN	Z354C_MOUSE
OG0000000	Z354A_HUMAN	Z354A_MOUSE
OG0000000	Z354B_HUMAN	Z354B_MOUSE
OG0000000	ZFP90_HUMAN	ZFP90_MOUSE
OG0000000	ZN233_HUMAN, ZN112_HUMAN	ZN112_MOUSE
OG0000000	ZN224_HUMAN, ZN221_HUMAN, ZN155_HUMAN, ZN230_HUMAN, ZN223_HUMAN, ZN222_HUMAN, ZN225_HUMAN, ZN284_HUMAN, ZN226_HUMAN, ZN234_HUMAN, ZN235_HUMAN	ZN235_MOUSE
OG0000000	ZN184_HUMAN	ZN184_MOUSE
OG0000000	ZFP28_HUMAN	ZFP28_MOUSE
OG0000000	ZN570_HUMAN, ZN583_HUMAN	ZN583_MOUSE
OG0000000	ZFP14_HUMAN	ZFP14_MOUSE
OG0000000	ZFP30_HUMAN, ZFP82_HUMAN	ZFP82_MOUSE
OG0000000	ZN121_HUMAN, ZN778_HUMAN, ZN560_HUMAN	ZFP26_MOUSE
OG0000000	ZN266_HUMAN, ZN561_HUMAN, ZN562_HUMAN, ZN426_HUMAN	ZN426_MOUSE
OG0000000	ZN568_HUMAN, ZN569_HUMAN	ZN569_MOUSE
OG0000000	ZN667_HUMAN	ZN568_MOUSE, ZN667_MOUSE
OG0000000	ZN268_HUMAN, ZNF26_HUMAN, ZN169_HUMAN, ZN133_HUMAN, ZN343_HUMAN, ZN337_HUMAN, ZN875_HUMAN, ZN432_HUMAN, ZN615_HUMAN, ZN614_HUMAN, ZN613_HUMAN, ZN649_HUMAN, ZN605_HUMAN, ZNF84_HUMAN, ZN182_HUMAN	ZN182_MOUSE
OG0000000	KRBD4_HUMAN, ZN674_HUMAN, ZN300_HUMAN, ZN630_HUMAN, ZNF41_HUMAN, ZNF81_HUMAN, ZN484_HUMAN, ZN175_HUMAN, Z585A_HUMAN, Z585B_HUMAN	ZFP27_MOUSE
OG0000000	ZN717_HUMAN	ZFP39_MOUSE
OG0000000	RBAK_HUMAN	RBAK_MOUSE
OG0000000	ZNF12_HUMAN	ZNF12_MOUSE
OG0000000	ZN567_HUMAN, ZN382_HUMAN	ZN382_MOUSE
OG0000000	Z658B_HUMAN, ZN658_HUMAN, ZIM3_HUMAN, ZFP1_HUMAN	ZFP1_MOUSE
OG0000000	ZN514_HUMAN, Z286A_HUMAN, Z286B_HUMAN, ZN892_HUMAN, ZNF80_HUMAN, ZN713_HUMAN, ZF69B_HUMAN, ZFP69_HUMAN	ZFP69_MOUSE
OG0000001	DZIP3_HUMAN	DZIP3_MOUSE
OG0000002	CRP_HUMAN	CRP_MOUSE
OG0000002	SAMP_HUMAN	SAMP_MOUSE
OG0000002	MPTX_HUMAN	MPTX_MOUSE
OG0000003	UROM_HUMAN	UROM_MOUSE
OG0000003	GP2_HUMAN	GP2_MOUSE
OG0000006	OR5J2_HUMAN	OR5J3_MOUSE
OG0000006	OR5R1_HUMAN	OR8U3_MOUSE
OG0000006	OR8U9_HUMAN, OR8U1_HUMAN, OR8U8_HUMAN	OR8U9_MOUSE
OG0000006	OR5M8_HUMAN, OR5M3_HUMAN, OR5M9_HUMAN, OR5MB_HUMAN, OR5M1_HUMAN, OR5MA_HUMAN	OR5M5_MOUSE
OG0000006	OR8B4_HUMAN	OL143_MOUSE
OG0000006	OR8B8_HUMAN, OR8BC_HUMAN	OR8B8_MOUSE
OG0000006	OR8B2_HUMAN, OR8B3_HUMAN	OR8B3_MOUSE
OG0000006	OR8G5_HUMAN	O8G17_MOUSE
OG0000006	OR8G1_HUMAN	O8G18_MOUSE
OG0000006	OR8D1_HUMAN, OR8D2_HUMAN, OR8A1_HUMAN	OR8A1_MOUSE
OG0000006	OR5L1_HUMAN, OR5L2_HUMAN, OR5DG_HUMAN, OR5DI_HUMAN, OR5DE_HUMAN, OR5D3_HUMAN, OR5DD_HUMAN	O1165_MOUSE
OG0000006	OR9G4_HUMAN, OR9G1_HUMAN, OR9G9_HUMAN	O9G19_MOUSE
OG0000006	OR6K6_HUMAN, OR6Q1_HUMAN, O5BS1_HUMAN, O12D1_HUMAN, O14A2_HUMAN, O14AG_HUMAN, O14CZ_HUMAN, O14I1_HUMAN, O13A1_HUMAN, OR5A1_HUMAN, OR5A2_HUMAN, O5AN1_HUMAN	O5AN6_MOUSE
OG0000006	O5AP2_HUMAN	O5AP2_MOUSE
OG0000006	O5AK2_HUMAN, O5AK3_HUMAN, OR9K2_HUMAN, OR9H1_HUMAN	O9S13_MOUSE
OG0000006	OR5T1_HUMAN, OR5T3_HUMAN	O5T17_MOUSE, OR5T9_MOUSE
OG0000006	OR5T2_HUMAN	OL141_MOUSE
OG0000006	OR5C1_HUMAN, OR5W2_HUMAN, O5AR1_HUMAN	O5AR1_MOUSE
OG0000006	OR5BC_HUMAN, OR5B3_HUMAN, OR5B2_HUMAN, OR5BH_HUMAN, O5B21_HUMAN	O5B21_MOUSE
OG0000006	OR5P2_HUMAN	OR5P6_MOUSE, O5P76_MOUSE, O5P50_MOUSE, O5P51_MOUSE, O5P79_MOUSE, O5P81_MOUSE, O5P69_MOUSE, O5P70_MOUSE, O5P73_MOUSE, O5P58_MOUSE, O5P60_MOUSE, O5P67_MOUSE, O5P68_MOUSE, O5P66_MOUSE, O5P62_MOUSE, O5P64_MOUSE, O5P59_MOUSE, O5P72_MOUSE
OG0000006	OR5P3_HUMAN	OR5P1_MOUSE, O5P55_MOUSE, O5P56_MOUSE, O5P54_MOUSE, O5P52_MOUSE, O5P53_MOUSE, OR5P4_MOUSE, O5P80_MOUSE, O5P87_MOUSE
OG0000006	OR5G3_HUMAN	OR5G9_MOUSE, O5G25_MOUSE, O5G26_MOUSE, O5G29_MOUSE
OG0000007	OR6B2_HUMAN, OR6B3_HUMAN	OR6B9_MOUSE
OG0000007	O10X1_HUMAN, O10H2_HUMAN, O10H1_HUMAN, O10H5_HUMAN, O10H3_HUMAN, O10H4_HUMAN	10H28_MOUSE
OG0000007	O10J3_HUMAN, O10J4_HUMAN, O10J1_HUMAN, O10J6_HUMAN, O10J5_HUMAN	O10J5_MOUSE
OG0000007	O10AG_HUMAN, O10A3_HUMAN, O10A6_HUMAN, O10A7_HUMAN, O10A4_HUMAN, O10A2_HUMAN, O10A5_HUMAN, O10C1_HUMAN, O10P1_HUMAN	10P22_MOUSE
OG0000007	OR2H1_HUMAN, OR2H2_HUMAN, OR2C1_HUMAN	OR2C1_MOUSE
OG0000007	OR2W3_HUMAN, OR2W6_HUMAN, OR2W5_HUMAN, OR2W1_HUMAN, OR2G2_HUMAN, OR2G3_HUMAN, OR2G6_HUMAN, OR2C3_HUMAN, OR2B8_HUMAN, OR2J3_HUMAN, OR2J1_HUMAN, OR2J2_HUMAN, OR2I1_HUMAN, OR2Y1_HUMAN	O2Y1B_MOUSE
OG0000007	OR2BB_HUMAN, OR2B3_HUMAN, OR2B2_HUMAN, OR2B6_HUMAN	OR2B6_MOUSE
OG0000007	O2A12_HUMAN, O2A14_HUMAN, OR2A2_HUMAN, OR2A5_HUMAN, OR2A1_HUMAN, O2A25_HUMAN, OR2A4_HUMAN, OR2A7_HUMAN	OR2A7_MOUSE
OG0000007	OR6F1_HUMAN, OR6X1_HUMAN, OR6S1_HUMAN, OR6V1_HUMAN, OR9A2_HUMAN, OR9A4_HUMAN, OR9A1_HUMAN, OR6J1_HUMAN, OR6M1_HUMAN, OR6T1_HUMAN, O2AP1_HUMAN, OR6C4_HUMAN, O6C75_HUMAN, OR6C1_HUMAN, OR6C3_HUMAN, O6C70_HUMAN, OR6C6_HUMAN, O6C65_HUMAN, O6C76_HUMAN, O6C74_HUMAN, O6C68_HUMAN, OR6C2_HUMAN	OR6E1_MOUSE
OG0000007	OR6A2_HUMAN, OR6P1_HUMAN, OR6Y1_HUMAN, OR6B1_HUMAN	OR6Z7_MOUSE
OG0000009	RTL1_HUMAN	RTL1_MOUSE
OG0000013	GTD2A_HUMAN, GTD2B_HUMAN	GT2D2_MOUSE
OG0000013	ZMYM3_HUMAN	ZMYM3_MOUSE
OG0000013	ZMYM2_HUMAN	ZMYM2_MOUSE
OG0000013	QRIC1_HUMAN	QRIC1_MOUSE
OG0000013	ZMYM4_HUMAN	ZMYM4_MOUSE
OG0000013	ZN394_HUMAN	ZN394_MOUSE
OG0000013	ZN449_HUMAN, ZSC22_HUMAN, ZSC26_HUMAN	ZSC26_MOUSE
OG0000013	ZN197_HUMAN, ZKSC7_HUMAN, ZN852_HUMAN, ZN445_HUMAN	ZN445_MOUSE
OG0000013	ZN215_HUMAN, ZN483_HUMAN, ZN287_HUMAN	ZN287_MOUSE
OG0000013	ZKSC5_HUMAN	ZKSC5_MOUSE
OG0000013	ZSC9_HUMAN, ZSC23_HUMAN, ZSC12_HUMAN	ZSC12_MOUSE
OG0000013	ZN396_HUMAN, ZNF24_HUMAN	ZNF24_MOUSE
OG0000013	ZKSC3_HUMAN, ZKSC4_HUMAN	ZKSC3_MOUSE
OG0000013	Z876P_HUMAN, ZKSC8_HUMAN, ZKSC1_HUMAN	ZKSC1_MOUSE
OG0000013	ZN232_HUMAN, ZN397_HUMAN, ZSC30_HUMAN, ZN165_HUMAN, ZN213_HUMAN, ZSC21_HUMAN	ZSC21_MOUSE
OG0000013	ZN263_HUMAN	ZN263_MOUSE
OG0000013	SCND2_HUMAN, ZKSC2_HUMAN, ZSC29_HUMAN, ZSC32_HUMAN, ZN500_HUMAN, ZSC20_HUMAN	ZSC20_MOUSE
OG0000013	SCND1_HUMAN, ZSC18_HUMAN, ZSCA1_HUMAN, ZN446_HUMAN, ZN444_HUMAN, ZN496_HUMAN	ZN496_MOUSE
OG0000013	ZSA5D_HUMAN, ZSA5C_HUMAN, ZSA5A_HUMAN, ZSA5B_HUMAN, ZNF18_HUMAN	ZNF18_MOUSE
OG0000016	GPR83_HUMAN	GPR83_MOUSE
OG0000016	NK2R_HUMAN	NK2R_MOUSE
OG0000016	NK1R_HUMAN	NK1R_MOUSE
OG0000016	NK3R_HUMAN	NK3R_MOUSE
OG0000017	XLRS1_HUMAN	XLRS1_MOUSE
OG0000018	CUZD1_HUMAN	CUZD1_MOUSE
OG0000019	SDK2_HUMAN	SDK2_MOUSE
OG0000019	SDK1_HUMAN	SDK1_MOUSE
OG0000021	ASTE1_HUMAN	ASTE1_MOUSE
