Orthogroup	Species	Hsap	Orthologs
OG0000000	Gfas	ZN75A_HUMAN, ZN542_HUMAN, ZN789_HUMAN, ZN620_HUMAN, ZN662_HUMAN, ZNF8_HUMAN, ZN793_HUMAN, ZN350_HUMAN, ZN577_HUMAN, ZN589_HUMAN, ZN707_HUMAN, ZN454_HUMAN, ZNF74_HUMAN, ZN879_HUMAN, Z354C_HUMAN, ZN311_HUMAN, Z354A_HUMAN, Z354B_HUMAN, ZN485_HUMAN, ZN251_HUMAN, ZNF7_HUMAN, ZFP90_HUMAN, ZN214_HUMAN, ZN229_HUMAN, ZN285_HUMAN, ZN227_HUMAN, ZNF45_HUMAN, ZN233_HUMAN, ZN112_HUMAN, ZN224_HUMAN, ZN221_HUMAN, ZN155_HUMAN, ZN230_HUMAN, ZN223_HUMAN, ZN222_HUMAN, ZN225_HUMAN, ZN284_HUMAN, ZN226_HUMAN, ZN234_HUMAN, ZN235_HUMAN, ZN184_HUMAN, ZN135_HUMAN, ZFP28_HUMAN, ZN570_HUMAN, ZN583_HUMAN, ZN470_HUMAN, ZN471_HUMAN, ZN527_HUMAN, ZN140_HUMAN, ZN181_HUMAN, ZN302_HUMAN, ZN582_HUMAN, ZN461_HUMAN, ZN283_HUMAN, ZN331_HUMAN, ZN540_HUMAN, ZN573_HUMAN, ZN607_HUMAN, ZNF30_HUMAN, ZN546_HUMAN, Z780A_HUMAN, Z780B_HUMAN, ZFP14_HUMAN, ZFP30_HUMAN, ZFP82_HUMAN, ZN404_HUMAN, ZN529_HUMAN, ZN790_HUMAN, ZN420_HUMAN, ZN565_HUMAN, ZN571_HUMAN, ZN345_HUMAN, ZN850_HUMAN, ZN566_HUMAN, ZN383_HUMAN, ZN829_HUMAN, ZN460_HUMAN, ZN543_HUMAN, ZN264_HUMAN, ZN805_HUMAN, ZN550_HUMAN, ZN599_HUMAN, ZN391_HUMAN, ZN684_HUMAN, ZN606_HUMAN, ZNF10_HUMAN, ZN180_HUMAN, ZN544_HUMAN, ZN177_HUMAN, ZN554_HUMAN, ZN891_HUMAN, ZN557_HUMAN, ZN558_HUMAN, ZN317_HUMAN, ZN596_HUMAN, Z705E_HUMAN, Z705A_HUMAN, Z705G_HUMAN, Z705B_HUMAN, Z705D_HUMAN, ZN333_HUMAN, ZN833_HUMAN, ZN559_HUMAN, ZN121_HUMAN, ZN778_HUMAN, ZN560_HUMAN, ZN266_HUMAN, ZN561_HUMAN, ZN562_HUMAN, ZN426_HUMAN, ZN846_HUMAN, ZN624_HUMAN, ZN568_HUMAN, ZN569_HUMAN, ZN667_HUMAN, ZN268_HUMAN, ZNF26_HUMAN, ZN169_HUMAN, ZN133_HUMAN, ZN343_HUMAN, ZN337_HUMAN, ZN875_HUMAN, ZN432_HUMAN, ZN615_HUMAN, ZN614_HUMAN, ZN613_HUMAN, ZN649_HUMAN, ZN605_HUMAN, ZNF84_HUMAN, ZN182_HUMAN, KRBD4_HUMAN, ZN674_HUMAN, ZN300_HUMAN, ZN630_HUMAN, ZNF41_HUMAN, ZNF81_HUMAN, ZN484_HUMAN, ZN175_HUMAN, Z585A_HUMAN, Z585B_HUMAN, ZN782_HUMAN, ZN717_HUMAN, ZN334_HUMAN, ZN510_HUMAN, ZN487_HUMAN, ZN33A_HUMAN, ZN33B_HUMAN, ZN248_HUMAN, ZN37A_HUMAN, ZNF25_HUMAN, ZN840_HUMAN, RBAK_HUMAN, ZNF12_HUMAN, ZN567_HUMAN, ZN382_HUMAN, ZN157_HUMAN, Z658B_HUMAN, ZN658_HUMAN, ZIM3_HUMAN, ZFP1_HUMAN, ZN514_HUMAN, Z286A_HUMAN, Z286B_HUMAN, ZN892_HUMAN, ZNF80_HUMAN, ZN713_HUMAN, ZF69B_HUMAN, ZFP69_HUMAN	gfas1.m1.9889.m1
OG0000000	Mmus	ZNF8_HUMAN	ZNF8_MOUSE
OG0000000	Mmus	ZN793_HUMAN, ZN350_HUMAN, ZN577_HUMAN, ZN589_HUMAN, ZN707_HUMAN	ZFOI1_MOUSE, ZN809_MOUSE
OG0000000	Mmus	ZN879_HUMAN	ZN879_MOUSE
OG0000000	Mmus	Z354C_HUMAN	Z354C_MOUSE
OG0000000	Mmus	Z354A_HUMAN	Z354A_MOUSE
OG0000000	Mmus	Z354B_HUMAN	Z354B_MOUSE
OG0000000	Mmus	ZFP90_HUMAN	ZFP90_MOUSE
OG0000000	Mmus	ZN233_HUMAN, ZN112_HUMAN	ZN112_MOUSE
OG0000000	Mmus	ZN224_HUMAN, ZN221_HUMAN, ZN155_HUMAN, ZN230_HUMAN, ZN223_HUMAN, ZN222_HUMAN, ZN225_HUMAN, ZN284_HUMAN, ZN226_HUMAN, ZN234_HUMAN, ZN235_HUMAN	ZN235_MOUSE
OG0000000	Mmus	ZN184_HUMAN	ZN184_MOUSE
OG0000000	Mmus	ZFP28_HUMAN	ZFP28_MOUSE
OG0000000	Mmus	ZN570_HUMAN, ZN583_HUMAN	ZN583_MOUSE
OG0000000	Mmus	ZFP14_HUMAN	ZFP14_MOUSE
OG0000000	Mmus	ZFP30_HUMAN, ZFP82_HUMAN	ZFP82_MOUSE
OG0000000	Mmus	ZN121_HUMAN, ZN778_HUMAN, ZN560_HUMAN	ZFP26_MOUSE
OG0000000	Mmus	ZN266_HUMAN, ZN561_HUMAN, ZN562_HUMAN, ZN426_HUMAN	ZN426_MOUSE
OG0000000	Mmus	ZN568_HUMAN, ZN569_HUMAN	ZN569_MOUSE
OG0000000	Mmus	ZN667_HUMAN	ZN568_MOUSE, ZN667_MOUSE
OG0000000	Mmus	ZN268_HUMAN, ZNF26_HUMAN, ZN169_HUMAN, ZN133_HUMAN, ZN343_HUMAN, ZN337_HUMAN, ZN875_HUMAN, ZN432_HUMAN, ZN615_HUMAN, ZN614_HUMAN, ZN613_HUMAN, ZN649_HUMAN, ZN605_HUMAN, ZNF84_HUMAN, ZN182_HUMAN	ZN182_MOUSE
OG0000000	Mmus	KRBD4_HUMAN, ZN674_HUMAN, ZN300_HUMAN, ZN630_HUMAN, ZNF41_HUMAN, ZNF81_HUMAN, ZN484_HUMAN, ZN175_HUMAN, Z585A_HUMAN, Z585B_HUMAN	ZFP27_MOUSE
OG0000000	Mmus	ZN717_HUMAN	ZFP39_MOUSE
OG0000000	Mmus	RBAK_HUMAN	RBAK_MOUSE
OG0000000	Mmus	ZNF12_HUMAN	ZNF12_MOUSE
OG0000000	Mmus	ZN567_HUMAN, ZN382_HUMAN	ZN382_MOUSE
OG0000000	Mmus	Z658B_HUMAN, ZN658_HUMAN, ZIM3_HUMAN, ZFP1_HUMAN	ZFP1_MOUSE
OG0000000	Mmus	ZN514_HUMAN, Z286A_HUMAN, Z286B_HUMAN, ZN892_HUMAN, ZNF80_HUMAN, ZN713_HUMAN, ZF69B_HUMAN, ZFP69_HUMAN	ZFP69_MOUSE
