Orthogroup	Species	Mmus	Orthologs
OG0000003	Pdam	Z354A_MOUSE, Z354B_MOUSE, ZN879_MOUSE, ZFP90_MOUSE, Z354C_MOUSE, ZFP92_MOUSE, ZFOI1_MOUSE, ZFP39_MOUSE, ZN809_MOUSE, ZN568_MOUSE, ZFP28_MOUSE, ZN583_MOUSE, ZFP14_MOUSE, ZFP82_MOUSE, ZN184_MOUSE, ZFP26_MOUSE, ZN426_MOUSE, ZN112_MOUSE, ZN235_MOUSE, ZFP1_MOUSE, RBAK_MOUSE, ZNF12_MOUSE, ZN382_MOUSE, ZFP27_MOUSE, ZN182_MOUSE, ZN569_MOUSE, ZN667_MOUSE, ZNF8_MOUSE, ZFP69_MOUSE	pdam_00017595-RA, pdam_00000673-RA
OG0000003	Hsap	Z354A_MOUSE	Z354A_HUMAN
OG0000003	Hsap	Z354B_MOUSE	Z354B_HUMAN
OG0000003	Hsap	ZN879_MOUSE	ZN879_HUMAN
OG0000003	Hsap	ZFP90_MOUSE	ZN311_HUMAN, ZFP90_HUMAN
OG0000003	Hsap	Z354C_MOUSE	Z354C_HUMAN
OG0000003	Hsap	ZFP92_MOUSE	ZN620_HUMAN, ZN789_HUMAN, ZFP92_HUMAN
OG0000003	Hsap	ZFP28_MOUSE	ZFP28_HUMAN
OG0000003	Hsap	ZN583_MOUSE	ZN570_HUMAN, ZN583_HUMAN
OG0000003	Hsap	ZFP14_MOUSE	ZFP14_HUMAN
OG0000003	Hsap	ZFP82_MOUSE	ZFP30_HUMAN, ZFP82_HUMAN
OG0000003	Hsap	ZN184_MOUSE	ZN135_HUMAN, ZN544_HUMAN, ZN180_HUMAN, ZN606_HUMAN, ZNF10_HUMAN, ZN502_HUMAN, ZN619_HUMAN, ZN892_HUMAN, Z286A_HUMAN, Z286B_HUMAN, ZN514_HUMAN, ZN391_HUMAN, ZNF80_HUMAN, ZN184_HUMAN
OG0000003	Hsap	ZFP26_MOUSE	ZN846_HUMAN, ZN560_HUMAN, ZN266_HUMAN
OG0000003	Hsap	ZN426_MOUSE	ZN121_HUMAN, ZN778_HUMAN, ZN559_HUMAN, ZN561_HUMAN, ZN562_HUMAN, ZN426_HUMAN
OG0000003	Hsap	ZN112_MOUSE	ZN233_HUMAN, ZN112_HUMAN
OG0000003	Hsap	ZN235_MOUSE	ZN226_HUMAN, ZN234_HUMAN, ZN221_HUMAN, ZN225_HUMAN, ZN224_HUMAN, ZN284_HUMAN, ZN155_HUMAN, ZN230_HUMAN, ZN222_HUMAN, ZN223_HUMAN, ZN235_HUMAN
OG0000003	Hsap	ZFP1_MOUSE	ZFP1_HUMAN
OG0000003	Hsap	RBAK_MOUSE	RBAK_HUMAN
OG0000003	Hsap	ZNF12_MOUSE	ZNF12_HUMAN
OG0000003	Hsap	ZN382_MOUSE	ZN37A_HUMAN, ZN567_HUMAN, ZN382_HUMAN
OG0000003	Hsap	ZFP27_MOUSE	ZN300_HUMAN, ZN630_HUMAN, KRBD4_HUMAN, ZN674_HUMAN, ZNF41_HUMAN, ZNF81_HUMAN, ZN484_HUMAN, ZN175_HUMAN, Z585A_HUMAN, Z585B_HUMAN
