Orthogroup	Species	Mmus	Orthologs
OG0000000	Gfas	ZNF8_MOUSE, ZFOI1_MOUSE, ZN809_MOUSE, ZN879_MOUSE, Z354C_MOUSE, Z354A_MOUSE, Z354B_MOUSE, ZFP90_MOUSE, ZN112_MOUSE, ZN235_MOUSE, ZN184_MOUSE, ZFP28_MOUSE, ZN583_MOUSE, ZFP14_MOUSE, ZFP82_MOUSE, ZFP26_MOUSE, ZN426_MOUSE, ZN569_MOUSE, ZN568_MOUSE, ZN667_MOUSE, ZN182_MOUSE, ZFP27_MOUSE, ZFP39_MOUSE, RBAK_MOUSE, ZNF12_MOUSE, ZN382_MOUSE, ZFP1_MOUSE, ZFP69_MOUSE	gfas1.m1.9889.m1
OG0000000	Hsap	ZNF8_MOUSE	ZNF8_HUMAN
OG0000000	Hsap	ZFOI1_MOUSE, ZN809_MOUSE	ZN793_HUMAN, ZN350_HUMAN, ZN577_HUMAN, ZN589_HUMAN, ZN707_HUMAN
OG0000000	Hsap	ZN879_MOUSE	ZN879_HUMAN
OG0000000	Hsap	Z354C_MOUSE	Z354C_HUMAN
OG0000000	Hsap	Z354A_MOUSE	Z354A_HUMAN
OG0000000	Hsap	Z354B_MOUSE	Z354B_HUMAN
OG0000000	Hsap	ZFP90_MOUSE	ZFP90_HUMAN
OG0000000	Hsap	ZN112_MOUSE	ZN233_HUMAN, ZN112_HUMAN
OG0000000	Hsap	ZN235_MOUSE	ZN224_HUMAN, ZN221_HUMAN, ZN155_HUMAN, ZN230_HUMAN, ZN223_HUMAN, ZN222_HUMAN, ZN225_HUMAN, ZN284_HUMAN, ZN226_HUMAN, ZN234_HUMAN, ZN235_HUMAN
OG0000000	Hsap	ZN184_MOUSE	ZN184_HUMAN
OG0000000	Hsap	ZFP28_MOUSE	ZFP28_HUMAN
OG0000000	Hsap	ZN583_MOUSE	ZN570_HUMAN, ZN583_HUMAN
OG0000000	Hsap	ZFP14_MOUSE	ZFP14_HUMAN
OG0000000	Hsap	ZFP82_MOUSE	ZFP30_HUMAN, ZFP82_HUMAN
OG0000000	Hsap	ZFP26_MOUSE	ZN121_HUMAN, ZN778_HUMAN, ZN560_HUMAN
OG0000000	Hsap	ZN426_MOUSE	ZN266_HUMAN, ZN561_HUMAN, ZN562_HUMAN, ZN426_HUMAN
OG0000000	Hsap	ZN569_MOUSE	ZN568_HUMAN, ZN569_HUMAN
OG0000000	Hsap	ZN568_MOUSE, ZN667_MOUSE	ZN667_HUMAN
OG0000000	Hsap	ZN182_MOUSE	ZN268_HUMAN, ZNF26_HUMAN, ZN169_HUMAN, ZN133_HUMAN, ZN343_HUMAN, ZN337_HUMAN, ZN875_HUMAN, ZN432_HUMAN, ZN615_HUMAN, ZN614_HUMAN, ZN613_HUMAN, ZN649_HUMAN, ZN605_HUMAN, ZNF84_HUMAN, ZN182_HUMAN
OG0000000	Hsap	ZFP27_MOUSE	KRBD4_HUMAN, ZN674_HUMAN, ZN300_HUMAN, ZN630_HUMAN, ZNF41_HUMAN, ZNF81_HUMAN, ZN484_HUMAN, ZN175_HUMAN, Z585A_HUMAN, Z585B_HUMAN
OG0000000	Hsap	ZFP39_MOUSE	ZN717_HUMAN
OG0000000	Hsap	RBAK_MOUSE	RBAK_HUMAN
OG0000000	Hsap	ZNF12_MOUSE	ZNF12_HUMAN
OG0000000	Hsap	ZN382_MOUSE	ZN567_HUMAN, ZN382_HUMAN
OG0000000	Hsap	ZFP1_MOUSE	Z658B_HUMAN, ZN658_HUMAN, ZIM3_HUMAN, ZFP1_HUMAN
OG0000000	Hsap	ZFP69_MOUSE	ZN514_HUMAN, Z286A_HUMAN, Z286B_HUMAN, ZN892_HUMAN, ZNF80_HUMAN, ZN713_HUMAN, ZF69B_HUMAN, ZFP69_HUMAN
