Orthogroup	Acer	Hsap
OG0000007	KAK2550691.1, KAK2564519.1, KAK2547364.1, KAK2549584.1, KAK2555889.1, KAK2553585.1, KAK2555194.1, KAK2559141.1, KAK2568982.1, KAK2562501.1, KAK2559190.1, KAK2555740.1, KAK2559073.1, KAK2555776.1, KAK2564055.1, KAK2564678.1, KAK2552193.1, KAK2549140.1, KAK2555258.1, KAK2555836.1, KAK2561823.1, KAK2561758.1, KAK2554169.1, KAK2549000.1, KAK2571417.1, KAK2547372.1, KAK2554888.1, KAK2562412.1, KAK2560778.1, KAK2555207.1, KAK2547442.1, KAK2552069.1, KAK2548394.1, KAK2567631.1, KAK2568545.1, KAK2569823.1, KAK2551642.1, KAK2553693.1, KAK2567256.1, KAK2556460.1, KAK2554248.1, KAK2568540.1, KAK2558110.1, KAK2558109.1, KAK2567630.1, KAK2554247.1, KAK2556461.1, KAK2569822.1, KAK2567107.1, KAK2553689.1, KAK2554931.1, KAK2558771.1, KAK2549788.1, KAK2556975.1, KAK2548173.1, KAK2556181.1, KAK2563086.1, KAK2552057.1, KAK2552062.1, KAK2571669.1, KAK2553553.1, KAK2546801.1, KAK2550732.1, KAK2571416.1, KAK2554684.1, KAK2558129.1, KAK2565484.1, KAK2568753.1, KAK2564192.1, KAK2565615.1, KAK2549364.1, KAK2558923.1, KAK2553564.1, KAK2560769.1, KAK2558638.1, KAK2552350.1, KAK2555734.1, KAK2559458.1, KAK2566629.1, KAK2551129.1, KAK2546742.1, KAK2565102.1, KAK2550740.1, KAK2559153.1, KAK2552656.1, KAK2550735.1, KAK2564148.1, KAK2564873.1, KAK2550562.1, KAK2555827.1, KAK2549463.1, KAK2573776.1, KAK2548979.1, KAK2563416.1, KAK2568283.1, KAK2562627.1, KAK2552430.1, KAK2548531.1, KAK2548360.1, KAK2550325.1, KAK2554116.1, KAK2548487.1, KAK2549860.1, KAK2552011.1, KAK2565630.1, KAK2546688.1, KAK2551338.1, KAK2557560.1, KAK2548239.1	CFA68_HUMAN
OG0000003	KAK2571225.1, KAK2546761.1, KAK2565686.1, KAK2565427.1, KAK2551387.1, KAK2554191.1, KAK2559189.1, KAK2550122.1, KAK2562546.1, KAK2552047.1, KAK2557441.1, KAK2552751.1, KAK2559246.1, KAK2565683.1, KAK2556149.1, KAK2561962.1, KAK2550120.1, KAK2559292.1, KAK2557439.1, KAK2547040.1, KAK2558986.1, KAK2557440.1, KAK2558989.1, KAK2558615.1, KAK2549164.1, KAK2564145.1, KAK2549093.1, KAK2551152.1, KAK2564292.1, KAK2549266.1, KAK2551972.1, KAK2558593.1, KAK2564178.1, KAK2548873.1, KAK2568081.1, KAK2567995.1, KAK2551374.1, KAK2548030.1, KAK2548101.1, KAK2550345.1, KAK2547344.1, KAK2547153.1, KAK2549002.1, KAK2556136.1, KAK2548746.1, KAK2559234.1, KAK2565538.1, KAK2568837.1, KAK2564355.1, KAK2559196.1, KAK2550179.1, KAK2552424.1, KAK2559197.1, KAK2561777.1, KAK2556263.1, KAK2552976.1, KAK2552977.1, KAK2566262.1, KAK2548902.1, KAK2553545.1, KAK2571006.1, KAK2570197.1, KAK2558840.1, KAK2558859.1, KAK2548093.1, KAK2572194.1, KAK2549560.1, KAK2548094.1, KAK2556137.1, KAK2556007.1, KAK2560716.1, KAK2549325.1, KAK2549848.1, KAK2555107.1, KAK2561190.1, KAK2552461.1, KAK2560181.1, KAK2551765.1, KAK2567873.1, KAK2564043.1, KAK2570280.1, KAK2549324.1, KAK2562452.1, KAK2562725.1, KAK2570323.1, KAK2551620.1, KAK2556398.1, KAK2561213.1, KAK2573748.1, KAK2559396.1, KAK2554908.1, KAK2551954.1, KAK2550077.1, KAK2559012.1, KAK2546994.1, KAK2549204.1, KAK2568668.1, KAK2562264.1, KAK2557575.1, KAK2558858.1, KAK2564032.1, KAK2552079.1, KAK2557025.1, KAK2558004.1, KAK2553111.1, KAK2548081.1, KAK2561694.1, KAK2568407.1, KAK2570067.1, KAK2552033.1, KAK2554027.1, KAK2555189.1, KAK2548084.1, KAK2564321.1, KAK2555775.1, KAK2547008.1, KAK2560680.1, KAK2548698.1, KAK2569529.1, KAK2553584.1, KAK2555766.1, KAK2555242.1, KAK2556279.1, KAK2565849.1, KAK2568404.1, KAK2570273.1, KAK2559341.1, KAK2564252.1, KAK2555195.1, KAK2568524.1, KAK2568526.1, KAK2564530.1, KAK2562496.1, KAK2562495.1, KAK2568754.1, KAK2554036.1, KAK2562930.1, KAK2552373.1, KAK2557015.1, KAK2562929.1, KAK2553559.1, KAK2561418.1, KAK2564489.1, KAK2562471.1, KAK2550439.1, KAK2554859.1, KAK2561826.1, KAK2559072.1, KAK2564679.1, KAK2547049.1, KAK2561964.1, KAK2549129.1, KAK2561781.1, KAK2555197.1, KAK2561790.1, KAK2559142.1, KAK2553586.1, KAK2549578.1, KAK2547371.1, KAK2549285.1, KAK2549290.1, KAK2547388.1, KAK2555890.1, KAK2562500.1, KAK2554860.1, KAK2556258.1, KAK2548996.1, KAK2562405.1, KAK2556256.1, KAK2561881.1, KAK2555808.1, KAK2556363.1, KAK2559326.1, KAK2550748.1, KAK2551339.1, KAK2551344.1	THAP6_HUMAN
OG0000006	KAK2556282.1, KAK2561416.1, KAK2554961.1, KAK2553019.1, KAK2547337.1, KAK2564584.1, KAK2551980.1, KAK2567974.1, KAK2552037.1, KAK2561867.1, KAK2573321.1, KAK2559177.1, KAK2550455.1, KAK2549595.1, KAK2550096.1, KAK2571394.1, KAK2550180.1, KAK2555878.1, KAK2552223.1, KAK2562748.1, KAK2570095.1, KAK2548161.1, KAK2546709.1, KAK2566435.1, KAK2560484.1, KAK2550381.1, KAK2552971.1, KAK2550379.1, KAK2567729.1, KAK2550299.1, KAK2551981.1, KAK2571750.1, KAK2560840.1, KAK2560328.1, KAK2548048.1, KAK2558684.1, KAK2566808.1, KAK2547018.1, KAK2560323.1, KAK2557941.1, KAK2572006.1, KAK2555773.1, KAK2558921.1, KAK2547338.1, KAK2558521.1, KAK2572678.1, KAK2573421.1, KAK2557896.1, KAK2549467.1, KAK2562708.1, KAK2571207.1, KAK2558553.1, KAK2546759.1, KAK2548310.1, KAK2548642.1, KAK2561921.1, KAK2556445.1, KAK2557574.1, KAK2560100.1, KAK2566060.1, KAK2557257.1, KAK2556278.1, KAK2550850.1, KAK2550173.1, KAK2550172.1, KAK2565351.1, KAK2560750.1, KAK2547250.1, KAK2558381.1, KAK2557897.1, KAK2550672.1, KAK2562053.1, KAK2550875.1, KAK2555573.1, KAK2558952.1, KAK2559068.1, KAK2565462.1, KAK2549272.1, KAK2561664.1, KAK2550084.1, KAK2555577.1, KAK2560314.1, KAK2547012.1, KAK2567080.1, KAK2564607.1, KAK2558890.1, KAK2558613.1, KAK2552027.1, KAK2562709.1, KAK2561739.1, KAK2569713.1, KAK2546725.1, KAK2554962.1, KAK2561923.1, KAK2559299.1, KAK2551964.1, KAK2560816.1, KAK2547709.1, KAK2561919.1, KAK2551967.1, KAK2550073.1, KAK2558922.1, KAK2565740.1, KAK2552925.1, KAK2558567.1, KAK2568706.1, KAK2558447.1, KAK2564880.1, KAK2549630.1, KAK2549200.1, KAK2554843.1, KAK2560821.1, KAK2555927.1, KAK2547891.1, KAK2555906.1, KAK2552038.1, KAK2549158.1, KAK2547387.1, KAK2549819.1, KAK2550382.1, KAK2551401.1, KAK2562549.1	STPG1_HUMAN
OG0000000	KAK2555414.1, KAK2549296.1, KAK2562736.1, KAK2565661.1, KAK2548275.1, KAK2551943.1, KAK2555389.1, KAK2551090.1, KAK2551944.1, KAK2549263.1, KAK2571587.1, KAK2551946.1, KAK2551086.1, KAK2551592.1, KAK2551544.1, KAK2551591.1, KAK2552803.1, KAK2553065.1, KAK2564450.1, KAK2553066.1, KAK2548210.1, KAK2570470.1, KAK2559240.1, KAK2555355.1, KAK2560659.1, KAK2574504.1, KAK2564249.1, KAK2558945.1, KAK2555736.1, KAK2555240.1, KAK2571162.1, KAK2564211.1, KAK2571672.1, KAK2547440.1, KAK2551962.1, KAK2552743.1, KAK2549843.1, KAK2554049.1, KAK2560970.1, KAK2561756.1, KAK2564074.1, KAK2568012.1, KAK2549083.1, KAK2564647.1, KAK2553645.1, KAK2558854.1, KAK2547269.1, KAK2556999.1, KAK2548062.1, KAK2547271.1, KAK2548065.1, KAK2558779.1, KAK2549338.1, KAK2552773.1, KAK2549330.1, KAK2572925.1, KAK2549339.1, KAK2564352.1, KAK2558624.1, KAK2558892.1, KAK2552807.1, KAK2547504.1, KAK2552366.1, KAK2546807.1, KAK2557513.1, KAK2559811.1, KAK2551372.1, KAK2548274.1, KAK2564674.1, KAK2566453.1, KAK2550689.1, KAK2564666.1, KAK2551371.1, KAK2559286.1, KAK2559407.1, KAK2556964.1, KAK2551963.1, KAK2550393.1, KAK2563193.1, KAK2561528.1, KAK2563196.1, KAK2559274.1, KAK2560089.1, KAK2550695.1, KAK2563195.1, KAK2561453.1, KAK2572805.1, KAK2546690.1, KAK2572917.1, KAK2546691.1, KAK2550140.1, KAK2559406.1, KAK2556429.1, KAK2557299.1, KAK2562403.1, KAK2552837.1, KAK2563948.1, KAK2553646.1, KAK2548231.1, KAK2554083.1, KAK2560684.1, KAK2553710.1, KAK2549376.1, KAK2560968.1, KAK2556014.1, KAK2559080.1, KAK2556015.1, KAK2560969.1, KAK2568011.1, KAK2555682.1, KAK2571014.1, KAK2559471.1, KAK2569731.1, KAK2556972.1, KAK2567036.1, KAK2546643.1, KAK2571020.1, KAK2559389.1, KAK2551281.1, KAK2548899.1, KAK2551276.1, KAK2571021.1, KAK2567037.1, KAK2548898.1, KAK2569730.1, KAK2559388.1, KAK2549299.1, KAK2548232.1, KAK2559468.1, KAK2556971.1, KAK2565870.1, KAK2551172.1, KAK2572931.1, KAK2551174.1, KAK2568472.1, KAK2560410.1, KAK2555311.1, KAK2562770.1, KAK2547470.1, KAK2548196.1, KAK2562243.1, KAK2564565.1, KAK2564559.1, KAK2549278.1, KAK2551629.1, KAK2549279.1, KAK2550413.1, KAK2560812.1, KAK2558891.1, KAK2551984.1, KAK2556969.1, KAK2558647.1, KAK2568584.1, KAK2552136.1, KAK2564054.1, KAK2547894.1, KAK2558534.1, KAK2547120.1, KAK2552409.1, KAK2546744.1, KAK2551635.1, KAK2551939.1, KAK2562729.1, KAK2555847.1, KAK2560823.1, KAK2546618.1, KAK2572293.1, KAK2566307.1, KAK2547003.1, KAK2560645.1, KAK2553368.1, KAK2573522.1, KAK2568332.1, KAK2554755.1, KAK2557501.1, KAK2572193.1, KAK2551482.1, KAK2556169.1, KAK2547002.1, KAK2554758.1, KAK2546619.1, KAK2566374.1, KAK2551481.1, KAK2549464.1, KAK2551360.1, KAK2557507.1, KAK2571539.1, KAK2571538.1, KAK2559519.1, KAK2548212.1, KAK2570905.1, KAK2547184.1, KAK2553629.1, KAK2551361.1, KAK2549265.1, KAK2571265.1, KAK2560822.1, KAK2573521.1, KAK2569319.1, KAK2553369.1, KAK2572294.1, KAK2568331.1, KAK2570013.1, KAK2553631.1, KAK2564578.1, KAK2548059.1, KAK2555791.1, KAK2568972.1, KAK2562703.1, KAK2550655.1, KAK2555250.1, KAK2559030.1, KAK2559566.1, KAK2555141.1, KAK2552231.1, KAK2555768.1, KAK2572169.1, KAK2565660.1, KAK2565659.1, KAK2549342.1, KAK2566432.1, KAK2564155.1, KAK2553064.1, KAK2556043.1, KAK2550594.1, KAK2559023.1, KAK2562809.1, KAK2565115.1, KAK2551494.1, KAK2565830.1, KAK2567813.1, KAK2568064.1, KAK2558216.1, KAK2565724.1, KAK2563558.1, KAK2562998.1, KAK2572772.1	CE290_HUMAN
OG0000008	KAK2547887.1, KAK2548209.1, KAK2555924.1, KAK2559450.1, KAK2555950.1, KAK2547904.1, KAK2546823.1, KAK2546667.1, KAK2547893.1, KAK2562278.1, KAK2568583.1, KAK2547534.1, KAK2571050.1, KAK2561828.1, KAK2548454.1, KAK2559291.1, KAK2555948.1, KAK2556365.1, KAK2549259.1, KAK2564037.1, KAK2573229.1, KAK2565976.1, KAK2556974.1, KAK2565834.1, KAK2547888.1, KAK2547903.1, KAK2557039.1, KAK2564085.1, KAK2547889.1, KAK2556280.1, KAK2548184.1, KAK2570152.1, KAK2551829.1, KAK2568590.1, KAK2547546.1, KAK2547537.1, KAK2567788.1, KAK2547540.1, KAK2546963.1, KAK2560668.1, KAK2552058.1, KAK2556475.1, KAK2559449.1, KAK2561655.1, KAK2549911.1, KAK2561660.1, KAK2570151.1, KAK2563844.1, KAK2549306.1, KAK2551634.1, KAK2550867.1, KAK2551127.1, KAK2558576.1, KAK2558580.1, KAK2547385.1, KAK2558581.1, KAK2549912.1, KAK2558530.1, KAK2549594.1, KAK2555536.1, KAK2552776.1, KAK2555738.1, KAK2554080.1, KAK2561770.1, KAK2548185.1, KAK2564297.1, KAK2547547.1, KAK2561769.1, KAK2547165.1, KAK2568043.1, KAK2551370.1, KAK2573322.1, KAK2554918.1, KAK2553495.1, KAK2547696.1, KAK2548103.1, KAK2573598.1, KAK2550846.1, KAK2551369.1, KAK2547124.1, KAK2559398.1, KAK2553048.1, KAK2561690.1, KAK2551541.1, KAK2551538.1, KAK2558807.1, KAK2561698.1, KAK2561691.1, KAK2559399.1, KAK2549291.1, KAK2550667.1, KAK2558646.1, KAK2565702.1, KAK2550845.1, KAK2560811.1, KAK2558604.1, KAK2558603.1, KAK2560809.1, KAK2547469.1, KAK2547384.1, KAK2558677.1, KAK2564600.1, KAK2565831.1, KAK2552782.1, KAK2560995.1, KAK2571015.1	PRORY_HUMAN
OG0000009	KAK2564457.1, KAK2564670.1, KAK2557587.1, KAK2546917.1, KAK2550810.1, KAK2546913.1, KAK2557510.1, KAK2550808.1, KAK2557489.1, KAK2546687.1, KAK2551351.1, KAK2568676.1, KAK2547564.1, KAK2566396.1, KAK2546645.1, KAK2557492.1, KAK2557561.1, KAK2566769.1, KAK2557511.1, KAK2560414.1, KAK2568942.1, KAK2561932.1, KAK2550807.1, KAK2557542.1, KAK2557559.1, KAK2560914.1, KAK2558039.1, KAK2553680.1, KAK2553679.1, KAK2553685.1, KAK2553681.1, KAK2553732.1, KAK2547017.1, KAK2559922.1, KAK2562527.1, KAK2573986.1, KAK2562610.1, KAK2573985.1, KAK2570037.1, KAK2563804.1, KAK2556546.1, KAK2563952.1, KAK2546693.1	DZIP3_HUMAN
OG0000030	KAK2569275.1, KAK2551043.1, KAK2569273.1, KAK2551044.1, KAK2570348.1, KAK2561452.1, KAK2548955.1, KAK2548977.1, KAK2548976.1, KAK2548971.1, KAK2548973.1, KAK2559905.1, KAK2560268.1, KAK2569258.1, KAK2555325.1, KAK2559145.1, KAK2561292.1, KAK2555594.1	UROM_HUMAN, GP2_HUMAN, OIT3_HUMAN
OG0000017	KAK2572147.1, KAK2572148.1, KAK2549548.1, KAK2547122.1, KAK2559466.1, KAK2572800.1, KAK2569167.1, KAK2560838.1, KAK2547123.1, KAK2562008.1, KAK2564587.1, KAK2548038.1, KAK2549080.1, KAK2570676.1, KAK2570799.1, KAK2564325.1, KAK2562851.1, KAK2566565.1, KAK2547214.1, KAK2551777.1, KAK2547854.1, KAK2548993.1, KAK2566377.1, KAK2553023.1, KAK2572183.1, KAK2548737.1, KAK2564540.1, KAK2558765.1, KAK2559249.1, KAK2546703.1, KAK2547412.1, KAK2547231.1, KAK2549811.1, KAK2557414.1, KAK2562942.1, KAK2570474.1, KAK2549053.1, KAK2559041.1, KAK2568809.1, KAK2568094.1, KAK2554850.1, KAK2570691.1, KAK2568672.1, KAK2557413.1, KAK2551626.1, KAK2562941.1, KAK2560145.1, KAK2566192.1, KAK2551091.1, KAK2547595.1, KAK2557530.1, KAK2547594.1, KAK2551089.1, KAK2547706.1, KAK2562572.1, KAK2547311.1, KAK2547707.1, KAK2549388.1, KAK2554847.1, KAK2557552.1, KAK2558774.1, KAK2567505.1, KAK2548031.1, KAK2549615.1, KAK2553836.1, KAK2549614.1, KAK2557038.1, KAK2546631.1, KAK2569915.1, KAK2555958.1, KAK2569624.1, KAK2556902.1, KAK2569817.1	CC14A_HUMAN
OG0000016	KAK2565130.1, KAK2565131.1, KAK2573590.1, KAK2572460.1, KAK2559581.1, KAK2559580.1, KAK2559583.1, KAK2572150.1, KAK2572365.1, KAK2572359.1, KAK2562365.1, KAK2572380.1, KAK2573133.1, KAK2572853.1, KAK2572858.1, KAK2573228.1, KAK2572993.1, KAK2558350.1, KAK2563666.1, KAK2573106.1, KAK2563854.1, KAK2572748.1, KAK2572749.1, KAK2563852.1, KAK2572952.1, KAK2572951.1, KAK2572755.1, KAK2573187.1, KAK2572750.1, KAK2572753.1, KAK2572751.1	NPY2R_HUMAN, GPR83_HUMAN, NK2R_HUMAN, NK3R_HUMAN, NK1R_HUMAN, QRFPR_HUMAN, OX1R_HUMAN, OX2R_HUMAN, NPFF1_HUMAN, NPFF2_HUMAN
OG0000039	KAK2564525.1, KAK2546768.1, KAK2564105.1, KAK2547163.1, KAK2548376.1, KAK2547128.1, KAK2547127.1, KAK2564599.1, KAK2567583.1, KAK2560861.1, KAK2567741.1, KAK2554734.1, KAK2553217.1, KAK2557890.1, KAK2566161.1, KAK2550623.1, KAK2553605.1, KAK2546981.1, KAK2556119.1, KAK2548339.1, KAK2568130.1, KAK2556828.1, KAK2557891.1, KAK2553967.1, KAK2556568.1, KAK2553214.1, KAK2555648.1, KAK2555647.1, KAK2552963.1, KAK2569303.1, KAK2557525.1, KAK2555649.1, KAK2553225.1, KAK2546720.1, KAK2557349.1, KAK2550432.1, KAK2555182.1, KAK2550430.1, KAK2566044.1, KAK2547310.1, KAK2554148.1, KAK2554147.1, KAK2549024.1, KAK2554197.1, KAK2550433.1, KAK2549212.1, KAK2555142.1, KAK2567673.1, KAK2565308.1, KAK2567674.1, KAK2555143.1, KAK2547302.1, KAK2554905.1	DDX41_HUMAN
