Orthogroup	Gfas	Mmus
OG0000000	gfas1.m1.9889.m1	ZNF8_MOUSE, ZFOI1_MOUSE, ZN809_MOUSE, ZN879_MOUSE, Z354C_MOUSE, Z354A_MOUSE, Z354B_MOUSE, ZFP90_MOUSE, ZN112_MOUSE, ZN235_MOUSE, ZN184_MOUSE, ZFP28_MOUSE, ZN583_MOUSE, ZFP14_MOUSE, ZFP82_MOUSE, ZFP26_MOUSE, ZN426_MOUSE, ZN569_MOUSE, ZN568_MOUSE, ZN667_MOUSE, ZN182_MOUSE, ZFP27_MOUSE, ZFP39_MOUSE, RBAK_MOUSE, ZNF12_MOUSE, ZN382_MOUSE, ZFP1_MOUSE, ZFP69_MOUSE
OG0000001	gfas1.m1.2667.m1, gfas1.m1.11546.m1, gfas1.m1.11622.m1, gfas1.m1.11506.m1, gfas1.m1.11409.m1, gfas1.m1.11823.m1, gfas1.m1.12251.m1, gfas1.m1.3234.m1, gfas1.m1.8499.m1, gfas1.m1.17249.m1, gfas1.m1.17250.m1, gfas1.m1.16641.m1, gfas1.m1.22810.m1, gfas1.m1.12577.m1, gfas1.m1.10822.m1, gfas1.m1.9846.m1, gfas1.m1.10823.m1, gfas1.m1.14892.m1, gfas1.m1.12060.m1, gfas1.m1.12061.m1, gfas1.m1.12918.m1, gfas1.m1.11465.m1, gfas1.m1.12446.m1, gfas1.m1.21479.m1, gfas1.m1.12917.m1, gfas1.m1.11575.m1, gfas1.m1.19328.m1, gfas1.m1.20034.m1, gfas1.m1.11175.m1, gfas1.m1.8543.m1, gfas1.m1.10928.m1, gfas1.m1.8544.m1, gfas1.m1.10929.m1, gfas1.m1.11176.m1, gfas1.m1.8540.m1, gfas1.m1.21515.m1, gfas1.m1.12021.m1, gfas1.m1.23635.m1, gfas1.m1.11284.m1, gfas1.m1.11129.m1, gfas1.m1.11309.m1, gfas1.m1.8784.m1, gfas1.m1.19145.m1, gfas1.m1.13327.m1, gfas1.m1.51.m1, gfas1.m1.10.m1, gfas1.m1.19179.m1, gfas1.m1.12173.m1, gfas1.m1.21124.m1, gfas1.m1.4490.m1, gfas1.m1.6.m1, gfas1.m1.12137.m1, gfas1.m1.12136.m1, gfas1.m1.9978.m1, gfas1.m1.12626.m1, gfas1.m1.22824.m1, gfas1.m1.23956.m1, gfas1.m1.11778.m1, gfas1.m1.14938.m1, gfas1.m1.23414.m1, gfas1.m1.18660.m1, gfas1.m1.10530.m1, gfas1.m1.2083.m1, gfas1.m1.22396.m1, gfas1.m1.6303.m1, gfas1.m1.21450.m1, gfas1.m1.12253.m1, gfas1.m1.12949.m1, gfas1.m1.12369.m1, gfas1.m1.12912.m1, gfas1.m1.11554.m1, gfas1.m1.18013.m1, gfas1.m1.12942.m1, gfas1.m1.22622.m1, gfas1.m1.12735.m1, gfas1.m1.11907.m1, gfas1.m1.10047.m1, gfas1.m1.4140.m1, gfas1.m1.10046.m1, gfas1.m1.11906.m1, gfas1.m1.1133.m1, gfas1.m1.23761.m1, gfas1.m1.8234.m1, gfas1.m1.12633.m1, gfas1.m1.22553.m1, gfas1.m1.13076.m1, gfas1.m1.22552.m1, gfas1.m1.11328.m1, gfas1.m1.12436.m1, gfas1.m1.12475.m1, gfas1.m1.22324.m1, gfas1.m1.11327.m1, gfas1.m1.22859.m1, gfas1.m1.12287.m1, gfas1.m1.13108.m1, gfas1.m1.11859.m1, gfas1.m1.20561.m1, gfas1.m1.15274.m1, gfas1.m1.12316.m1, gfas1.m1.20094.m1, gfas1.m1.12290.m1, gfas1.m1.12736.m1, gfas1.m1.13083.m1, gfas1.m1.11245.m1, gfas1.m1.20148.m1, gfas1.m1.20741.m1, gfas1.m1.9899.m1, gfas1.m1.3719.m1, gfas1.m1.17928.m1, gfas1.m1.7731.m1, gfas1.m1.12321.m1, gfas1.m1.9935.m1, gfas1.m1.22322.m1, gfas1.m1.12520.m1, gfas1.m1.4439.m1, gfas1.m1.10233.m1, gfas1.m1.10232.m1, gfas1.m1.23638.m1, gfas1.m1.15436.m1, gfas1.m1.12250.m1, gfas1.m1.12977.m1, gfas1.m1.10449.m1, gfas1.m1.10812.m1, gfas1.m1.23943.m1, gfas1.m1.22721.m1, gfas1.m1.23586.m1, gfas1.m1.21607.m1, gfas1.m1.16898.m1, gfas1.m1.11862.m1, gfas1.m1.12166.m1, gfas1.m1.21091.m1, gfas1.m1.12517.m1, gfas1.m1.11953.m1, gfas1.m1.20994.m1, gfas1.m1.7445.m1, gfas1.m1.8709.m1, gfas1.m1.11065.m1, gfas1.m1.21636.m1, gfas1.m1.20407.m1, gfas1.m1.1156.m1, gfas1.m1.13754.m1, gfas1.m1.9783.m1, gfas1.m1.9527.m1, gfas1.m1.7446.m1, gfas1.m1.7447.m1, gfas1.m1.7448.m1, gfas1.m1.19241.m1, gfas1.m1.9411.m1, gfas1.m1.21191.m1, gfas1.m1.9784.m1, gfas1.m1.9785.m1, gfas1.m1.12653.m1, gfas1.m1.11372.m1, gfas1.m1.11962.m1, gfas1.m1.20723.m1, gfas1.m1.13316.m1, gfas1.m1.3158.m1, gfas1.m1.1945.m1, gfas1.m1.3341.m1, gfas1.m1.1947.m1, gfas1.m1.568.m1, gfas1.m1.5452.m1, gfas1.m1.11582.m1, gfas1.m1.12195.m1, gfas1.m1.22378.m1, gfas1.m1.631.m1, gfas1.m1.3346.m1, gfas1.m1.3340.m1, gfas1.m1.12040.m1, gfas1.m1.18402.m1, gfas1.m1.20968.m1, gfas1.m1.23283.m1, gfas1.m1.12852.m1, gfas1.m1.7060.m1, gfas1.m1.7911.m1, gfas1.m1.3487.m1, gfas1.m1.984.m1, gfas1.m1.17542.m1, gfas1.m1.3492.m1, gfas1.m1.19171.m1	DZIP3_MOUSE
OG0000002	gfas1.m1.79.m1, gfas1.m1.100.m1, gfas1.m1.13295.m1, gfas1.m1.7740.m1, gfas1.m1.13299.m1, gfas1.m1.10556.m1, gfas1.m1.1100.m1, gfas1.m1.22911.m1, gfas1.m1.10547.m1, gfas1.m1.10546.m1, gfas1.m1.119.m1, gfas1.m1.19503.m1, gfas1.m1.16185.m1, gfas1.m1.11628.m1, gfas1.m1.5966.m1, gfas1.m1.16184.m1, gfas1.m1.16186.m1, gfas1.m1.2866.m1, gfas1.m1.20577.m1, gfas1.m1.7266.m1, gfas1.m1.11670.m1, gfas1.m1.12385.m1, gfas1.m1.9376.m1, gfas1.m1.5964.m1, gfas1.m1.10395.m1, gfas1.m1.21954.m1, gfas1.m1.11874.m1, gfas1.m1.3993.m1, gfas1.m1.9375.m1, gfas1.m1.12244.m1, gfas1.m1.6859.m1, gfas1.m1.11438.m1, gfas1.m1.6671.m1, gfas1.m1.10393.m1, gfas1.m1.12567.m1, gfas1.m1.11972.m1, gfas1.m1.19997.m1, gfas1.m1.13027.m1, gfas1.m1.10978.m1, gfas1.m1.11202.m1, gfas1.m1.20147.m1, gfas1.m1.1723.m1, gfas1.m1.11437.m1, gfas1.m1.11333.m1, gfas1.m1.4638.m1, gfas1.m1.12572.m1, gfas1.m1.12059.m1, gfas1.m1.15607.m1, gfas1.m1.12246.m1, gfas1.m1.4644.m1, gfas1.m1.12435.m1, gfas1.m1.10716.m1, gfas1.m1.10715.m1, gfas1.m1.10266.m1, gfas1.m1.20872.m1, gfas1.m1.11331.m1, gfas1.m1.21599.m1, gfas1.m1.12856.m1, gfas1.m1.12058.m1, gfas1.m1.12414.m1, gfas1.m1.21726.m1, gfas1.m1.20871.m1, gfas1.m1.12571.m1, gfas1.m1.20734.m1, gfas1.m1.22440.m1, gfas1.m1.21662.m1, gfas1.m1.12676.m1, gfas1.m1.11311.m1, gfas1.m1.11775.m1, gfas1.m1.11776.m1, gfas1.m1.4650.m1, gfas1.m1.9548.m1, gfas1.m1.4643.m1, gfas1.m1.4651.m1, gfas1.m1.11433.m1, gfas1.m1.4639.m1, gfas1.m1.21312.m1, gfas1.m1.10093.m1, gfas1.m1.20389.m1, gfas1.m1.9549.m1, gfas1.m1.11671.m1, gfas1.m1.19848.m1, gfas1.m1.12661.m1, gfas1.m1.11439.m1, gfas1.m1.4272.m1, gfas1.m1.8529.m1, gfas1.m1.7858.m1, gfas1.m1.7860.m1, gfas1.m1.9827.m1, gfas1.m1.12772.m1, gfas1.m1.22952.m1, gfas1.m1.22329.m1, gfas1.m1.8160.m1, gfas1.m1.14354.m1, gfas1.m1.12790.m1, gfas1.m1.12886.m1, gfas1.m1.12372.m1, gfas1.m1.12245.m1, gfas1.m1.1437.m1, gfas1.m1.14919.m1, gfas1.m1.16785.m1, gfas1.m1.19969.m1, gfas1.m1.1449.m1, gfas1.m1.18405.m1, gfas1.m1.12590.m1, gfas1.m1.16180.m1, gfas1.m1.16178.m1, gfas1.m1.11295.m1, gfas1.m1.22832.m1, gfas1.m1.12358.m1, gfas1.m1.12357.m1, gfas1.m1.23686.m1, gfas1.m1.23054.m1, gfas1.m1.23879.m1, gfas1.m1.22713.m1, gfas1.m1.11292.m1, gfas1.m1.12703.m1, gfas1.m1.11293.m1, gfas1.m1.8528.m1, gfas1.m1.19968.m1, gfas1.m1.10157.m1, gfas1.m1.19380.m1, gfas1.m1.4641.m1, gfas1.m1.8241.m1, gfas1.m1.8240.m1, gfas1.m1.22602.m1, gfas1.m1.11312.m1, gfas1.m1.21727.m1, gfas1.m1.22488.m1, gfas1.m1.12807.m1, gfas1.m1.4647.m1, gfas1.m1.12773.m1, gfas1.m1.19063.m1, gfas1.m1.9551.m1, gfas1.m1.4646.m1, gfas1.m1.22746.m1, gfas1.m1.20867.m1, gfas1.m1.22482.m1, gfas1.m1.17965.m1, gfas1.m1.18012.m1	CRP_MOUSE, SAMP_MOUSE, MPTX_MOUSE
OG0000003	gfas1.m1.5899.m1, gfas1.m1.9955.m1, gfas1.m1.20738.m1, gfas1.m1.12311.m1, gfas1.m1.10712.m1, gfas1.m1.22783.m1, gfas1.m1.21233.m1, gfas1.m1.22724.m1, gfas1.m1.10711.m1, gfas1.m1.3630.m1, gfas1.m1.22896.m1, gfas1.m1.19143.m1, gfas1.m1.14084.m1, gfas1.m1.8993.m1, gfas1.m1.18156.m1, gfas1.m1.20843.m1, gfas1.m1.20632.m1, gfas1.m1.22198.m1, gfas1.m1.22626.m1, gfas1.m1.14902.m1, gfas1.m1.8144.m1, gfas1.m1.18218.m1, gfas1.m1.18217.m1, gfas1.m1.11337.m1, gfas1.m1.11338.m1, gfas1.m1.12724.m1, gfas1.m1.11476.m1, gfas1.m1.12256.m1, gfas1.m1.20846.m1, gfas1.m1.6392.m1, gfas1.m1.11339.m1, gfas1.m1.13172.m1, gfas1.m1.12491.m1, gfas1.m1.20728.m1, gfas1.m1.12592.m1, gfas1.m1.21918.m1, gfas1.m1.12236.m1, gfas1.m1.11467.m1, gfas1.m1.21861.m1, gfas1.m1.12594.m1, gfas1.m1.12392.m1, gfas1.m1.11096.m1, gfas1.m1.21355.m1, gfas1.m1.12398.m1, gfas1.m1.10215.m1, gfas1.m1.6710.m1, gfas1.m1.3070.m1, gfas1.m1.6707.m1, gfas1.m1.22754.m1, gfas1.m1.12538.m1, gfas1.m1.1413.m1, gfas1.m1.1415.m1, gfas1.m1.1412.m1, gfas1.m1.16160.m1, gfas1.m1.13245.m1, gfas1.m1.20842.m1, gfas1.m1.3227.m1, gfas1.m1.13441.m1, gfas1.m1.20812.m1, gfas1.m1.4106.m1, gfas1.m1.7050.m1, gfas1.m1.816.m1, gfas1.m1.10889.m1, gfas1.m1.17230.m1, gfas1.m1.21592.m1, gfas1.m1.12045.m1, gfas1.m1.8483.m1, gfas1.m1.8481.m1, gfas1.m1.818.m1, gfas1.m1.3787.m1, gfas1.m1.13142.m1, gfas1.m1.7178.m1, gfas1.m1.23110.m1, gfas1.m1.8970.m1, gfas1.m1.6553.m1, gfas1.m1.19483.m1, gfas1.m1.19092.m1, gfas1.m1.20425.m1, gfas1.m1.21393.m1, gfas1.m1.10225.m1, gfas1.m1.8021.m1, gfas1.m1.20890.m1, gfas1.m1.8022.m1, gfas1.m1.22998.m1, gfas1.m1.7052.m1, gfas1.m1.1644.m1, gfas1.m1.4113.m1, gfas1.m1.2093.m1, gfas1.m1.4238.m1, gfas1.m1.7944.m1, gfas1.m1.9836.m1, gfas1.m1.10245.m1, gfas1.m1.10249.m1, gfas1.m1.23328.m1, gfas1.m1.17277.m1, gfas1.m1.18060.m1, gfas1.m1.8226.m1, gfas1.m1.7086.m1, gfas1.m1.7085.m1, gfas1.m1.12615.m1, gfas1.m1.9607.m1, gfas1.m1.5450.m1, gfas1.m1.9608.m1, gfas1.m1.22196.m1, gfas1.m1.9612.m1, gfas1.m1.2682.m1, gfas1.m1.4746.m1, gfas1.m1.11425.m1, gfas1.m1.11390.m1, gfas1.m1.11839.m1, gfas1.m1.9187.m1, gfas1.m1.11391.m1, gfas1.m1.10605.m1, gfas1.m1.12843.m1, gfas1.m1.23681.m1	UROM_MOUSE, GP2_MOUSE
OG0000009	gfas1.m1.10514.m1	RTL1_MOUSE
OG0000013	gfas1.m1.22343.m1, gfas1.m1.8225.m1	GT2D2_MOUSE, ZMYM3_MOUSE, ZMYM2_MOUSE, QRIC1_MOUSE, ZMYM4_MOUSE, ZN394_MOUSE, ZSC26_MOUSE, ZN445_MOUSE, ZN287_MOUSE, ZKSC5_MOUSE, ZSC12_MOUSE, ZNF24_MOUSE, ZKSC3_MOUSE, ZKSC1_MOUSE, ZSC21_MOUSE, ZN263_MOUSE, ZSC20_MOUSE, ZN496_MOUSE, ZNF18_MOUSE
OG0000016	gfas1.m1.16724.m1, gfas1.m1.19741.m1, gfas1.m1.6766.m1, gfas1.m1.15017.m1, gfas1.m1.15473.m1, gfas1.m1.4603.m1, gfas1.m1.1985.m1, gfas1.m1.7300.m1, gfas1.m1.2400.m1, gfas1.m1.2403.m1, gfas1.m1.2826.m1, gfas1.m1.6046.m1, gfas1.m1.11651.m1, gfas1.m1.11650.m1, gfas1.m1.4599.m1, gfas1.m1.21663.m1, gfas1.m1.16062.m1, gfas1.m1.16725.m1, gfas1.m1.2405.m1, gfas1.m1.13696.m1, gfas1.m1.9567.m1, gfas1.m1.9566.m1, gfas1.m1.11054.m1, gfas1.m1.23077.m1, gfas1.m1.22331.m1, gfas1.m1.12630.m1, gfas1.m1.13000.m1, gfas1.m1.18015.m1, gfas1.m1.218.m1, gfas1.m1.3725.m1, gfas1.m1.15742.m1, gfas1.m1.4480.m1, gfas1.m1.5714.m1, gfas1.m1.16726.m1, gfas1.m1.5716.m1, gfas1.m1.9870.m1, gfas1.m1.5717.m1, gfas1.m1.9869.m1, gfas1.m1.15476.m1, gfas1.m1.7979.m1, gfas1.m1.703.m1, gfas1.m1.708.m1	GPR83_MOUSE, NK2R_MOUSE, NK1R_MOUSE, NK3R_MOUSE
OG0000017	gfas1.m1.19752.m1, gfas1.m1.3885.m1, gfas1.m1.14478.m1, gfas1.m1.23531.m1, gfas1.m1.5627.m1, gfas1.m1.5629.m1, gfas1.m1.21584.m1, gfas1.m1.21046.m1, gfas1.m1.5633.m1, gfas1.m1.16894.m1, gfas1.m1.12202.m1, gfas1.m1.12978.m1, gfas1.m1.12793.m1, gfas1.m1.8831.m1, gfas1.m1.13067.m1, gfas1.m1.8830.m1, gfas1.m1.22651.m1, gfas1.m1.22462.m1, gfas1.m1.20666.m1, gfas1.m1.9615.m1, gfas1.m1.10890.m1, gfas1.m1.21686.m1, gfas1.m1.10867.m1, gfas1.m1.10316.m1, gfas1.m1.10318.m1, gfas1.m1.21689.m1, gfas1.m1.21484.m1, gfas1.m1.5689.m1, gfas1.m1.18703.m1, gfas1.m1.20041.m1, gfas1.m1.18998.m1, gfas1.m1.12512.m1, gfas1.m1.21833.m1, gfas1.m1.16321.m1, gfas1.m1.19287.m1, gfas1.m1.17525.m1, gfas1.m1.18523.m1, gfas1.m1.2676.m1, gfas1.m1.1029.m1, gfas1.m1.12673.m1, gfas1.m1.20427.m1, gfas1.m1.17787.m1, gfas1.m1.12989.m1, gfas1.m1.12988.m1, gfas1.m1.12763.m1, gfas1.m1.11857.m1, gfas1.m1.11737.m1, gfas1.m1.11855.m1, gfas1.m1.2810.m1, gfas1.m1.11896.m1, gfas1.m1.12049.m1, gfas1.m1.20499.m1, gfas1.m1.20667.m1, gfas1.m1.9900.m1, gfas1.m1.9902.m1, gfas1.m1.15913.m1, gfas1.m1.18875.m1, gfas1.m1.17715.m1, gfas1.m1.8069.m1, gfas1.m1.14051.m1, gfas1.m1.22696.m1, gfas1.m1.1617.m1, gfas1.m1.18103.m1	XLRS1_MOUSE
OG0000018	gfas1.m1.4287.m1, gfas1.m1.4290.m1, gfas1.m1.4286.m1, gfas1.m1.19142.m1, gfas1.m1.9539.m1, gfas1.m1.17742.m1, gfas1.m1.17744.m1, gfas1.m1.4283.m1, gfas1.m1.10020.m1, gfas1.m1.19705.m1, gfas1.m1.12343.m1, gfas1.m1.7041.m1, gfas1.m1.22918.m1, gfas1.m1.11832.m1, gfas1.m1.4284.m1, gfas1.m1.22853.m1, gfas1.m1.8236.m1, gfas1.m1.19544.m1, gfas1.m1.3474.m1, gfas1.m1.11307.m1, gfas1.m1.21382.m1, gfas1.m1.21177.m1, gfas1.m1.20937.m1, gfas1.m1.20207.m1, gfas1.m1.10856.m1, gfas1.m1.21878.m1, gfas1.m1.19314.m1, gfas1.m1.6541.m1, gfas1.m1.10855.m1, gfas1.m1.22960.m1, gfas1.m1.20206.m1, gfas1.m1.13866.m1, gfas1.m1.21110.m1, gfas1.m1.12347.m1, gfas1.m1.4727.m1	CUZD1_MOUSE
OG0000019	gfas1.m1.22901.m1, gfas1.m1.14416.m1, gfas1.m1.22514.m1, gfas1.m1.23823.m1, gfas1.m1.8458.m1, gfas1.m1.9456.m1, gfas1.m1.18196.m1, gfas1.m1.9457.m1, gfas1.m1.22873.m1, gfas1.m1.19304.m1, gfas1.m1.16818.m1, gfas1.m1.19306.m1, gfas1.m1.16815.m1, gfas1.m1.19305.m1, gfas1.m1.17291.m1, gfas1.m1.12975.m1, gfas1.m1.14308.m1, gfas1.m1.22492.m1, gfas1.m1.6696.m1, gfas1.m1.14307.m1, gfas1.m1.22928.m1, gfas1.m1.12820.m1, gfas1.m1.8856.m1, gfas1.m1.3585.m1, gfas1.m1.19292.m1, gfas1.m1.12647.m1, gfas1.m1.21057.m1, gfas1.m1.6956.m1, gfas1.m1.23967.m1, gfas1.m1.11379.m1, gfas1.m1.10517.m1, gfas1.m1.10516.m1, gfas1.m1.20406.m1, gfas1.m1.10515.m1, gfas1.m1.10857.m1, gfas1.m1.17260.m1, gfas1.m1.15437.m1, gfas1.m1.16813.m1, gfas1.m1.6025.m1, gfas1.m1.16811.m1, gfas1.m1.6023.m1, gfas1.m1.5147.m1, gfas1.m1.5142.m1, gfas1.m1.9591.m1, gfas1.m1.12541.m1, gfas1.m1.21968.m1, gfas1.m1.23000.m1, gfas1.m1.20481.m1, gfas1.m1.9590.m1, gfas1.m1.20663.m1, gfas1.m1.23964.m1	SDK2_MOUSE, SDK1_MOUSE
