Orthogroup	Nvec	Acer
OG0000009	NV2t007509001.1, NV2t007506001.1, NV2t007507001.1, NV2t007507002.1, NV2t008103002.1, NV2t008103004.1, NV2t008103008.1, NV2t008103025.1, NV2t008103019.1, NV2t008103022.1, NV2t008103024.1, NV2t008103018.1, NV2t008103020.1, NV2t008103021.1, NV2t008103023.1, NV2t008103015.1, NV2t008103026.1, NV2t008103001.1, NV2t008103005.1, NV2t008103011.1, NV2t008103012.1, NV2t008103013.1, NV2t008103014.1, NV2t008103007.1, NV2t008103009.1, NV2t008103010.1, NV2t008097001.1, NV2t008097002.1, NV2t008097006.1, NV2t008097003.1, NV2t008097004.1, NV2t008097005.1, NV2t015587001.1, NV2t015647001.1, NV2t015641001.1, NV2t015641016.1, NV2t015643001.1, NV2t015656001.1, NV2t015641022.1, NV2t015641023.1, NV2t015641024.1, NV2t015652001.1, NV2t015641009.1, NV2t015654001.1, NV2t015641005.1, NV2t015641018.1, NV2t015645001.1, NV2t015651001.1, NV2t015641019.1, NV2t015641021.1, NV2t015641003.1, NV2t015641011.1, NV2t015641004.1, NV2t015641010.1, NV2t015641014.1, NV2t015641012.1, NV2t015641002.1, NV2t015641015.1, NV2t015641007.1, NV2t015641008.1, NV2t015641006.1, NV2t015641013.1, NV2t015641017.1, NV2t015641020.1	KAK2564457.1, KAK2564670.1, KAK2557587.1, KAK2546917.1, KAK2550810.1, KAK2546913.1, KAK2557510.1, KAK2550808.1, KAK2557489.1, KAK2546687.1, KAK2551351.1, KAK2568676.1
OG0000009	NV2t016381001.1	KAK2547564.1, KAK2566396.1, KAK2546645.1, KAK2557492.1, KAK2557561.1, KAK2566769.1, KAK2557511.1, KAK2560414.1, KAK2568942.1, KAK2561932.1, KAK2550807.1, KAK2557542.1, KAK2557559.1, KAK2560914.1, KAK2558039.1, KAK2553680.1, KAK2553679.1, KAK2553685.1, KAK2553681.1, KAK2553732.1, KAK2547017.1, KAK2559922.1, KAK2562527.1, KAK2573986.1, KAK2562610.1, KAK2573985.1, KAK2570037.1, KAK2563804.1, KAK2556546.1, KAK2563952.1, KAK2546693.1
OG0000014	NV2t024428001.1, NV2t024428002.1	KAK2567092.1, KAK2549878.1, KAK2555949.1, KAK2573101.1, KAK2550948.1, KAK2547639.1, KAK2573066.1, KAK2549119.1, KAK2568591.1, KAK2552739.1, KAK2565862.1, KAK2556290.1, KAK2550666.1, KAK2547146.1, KAK2550195.1, KAK2570150.1, KAK2556292.1, KAK2551926.1, KAK2548474.1, KAK2556177.1, KAK2555528.1, KAK2556178.1, KAK2559048.1, KAK2569331.1, KAK2548699.1, KAK2556640.1, KAK2566079.1, KAK2548913.1, KAK2556291.1, KAK2568998.1, KAK2564542.1, KAK2558595.1, KAK2568997.1, KAK2549825.1, KAK2554274.1, KAK2559170.1, KAK2547651.1, KAK2556038.1, KAK2550380.1, KAK2560319.1, KAK2566112.1, KAK2547126.1, KAK2560320.1, KAK2556289.1, KAK2560808.1, KAK2561548.1, KAK2546876.1, KAK2546872.1, KAK2560807.1, KAK2552702.1, KAK2564372.1, KAK2552201.1, KAK2570382.1, KAK2556243.1, KAK2552980.1, KAK2566578.1, KAK2550310.1, KAK2547125.1, KAK2568390.1, KAK2546842.1, KAK2546840.1, KAK2564441.1, KAK2547509.1, KAK2551373.1, KAK2549214.1, KAK2566142.1, KAK2549215.1, KAK2566259.1, KAK2549939.1, KAK2549529.1, KAK2558717.1, KAK2558828.1, KAK2553544.1, KAK2565023.1, KAK2550423.1, KAK2558876.1, KAK2550225.1, KAK2564318.1, KAK2552698.1, KAK2569285.1, KAK2551904.1, KAK2558151.1, KAK2551049.1, KAK2551601.1, KAK2573415.1, KAK2555911.1, KAK2561433.1
OG0000030	NV2t001244001.1	KAK2551043.1, KAK2569273.1, KAK2551044.1, KAK2570348.1, KAK2561452.1, KAK2548955.1, KAK2548977.1, KAK2548976.1, KAK2548971.1, KAK2548973.1
OG0000030	NV2t006197001.1	KAK2559905.1, KAK2560268.1
OG0000030	NV2t003071001.1, NV2t006411001.1, NV2t025572001.1	KAK2569258.1
OG0000030	NV2t025300001.1	KAK2555325.1, KAK2559145.1
OG0000030	NV2t025182001.1, NV2t014524001.1, NV2t015016001.1, NV2t011904013.1, NV2t011904016.1, NV2t011904001.1, NV2t011904002.1, NV2t011904010.1, NV2t011904007.1, NV2t011904015.1, NV2t011904014.1, NV2t011904008.1, NV2t011904003.1, NV2t011904009.1, NV2t011904004.1, NV2t011904006.1, NV2t011904012.1, NV2t011904005.1, NV2t011904011.1, NV2t011903001.1, NV2t011904017.1	KAK2561292.1
OG0000030	NV2t006099001.1, NV2t006100001.1	KAK2555594.1
OG0000007	NV2t015371001.1	KAK2550691.1, KAK2564519.1, KAK2547364.1, KAK2549584.1, KAK2555889.1, KAK2553585.1, KAK2555194.1, KAK2559141.1, KAK2568982.1, KAK2562501.1, KAK2559190.1, KAK2555740.1, KAK2559073.1, KAK2555776.1, KAK2564055.1, KAK2564678.1, KAK2552193.1, KAK2549140.1, KAK2555258.1, KAK2555836.1, KAK2561823.1, KAK2561758.1, KAK2554169.1, KAK2549000.1, KAK2571417.1, KAK2547372.1, KAK2554888.1, KAK2562412.1, KAK2560778.1, KAK2555207.1, KAK2547442.1, KAK2552069.1, KAK2548394.1, KAK2567631.1, KAK2568545.1, KAK2569823.1, KAK2551642.1, KAK2553693.1, KAK2567256.1, KAK2556460.1, KAK2554248.1, KAK2568540.1, KAK2558110.1, KAK2558109.1, KAK2567630.1, KAK2554247.1, KAK2556461.1, KAK2569822.1, KAK2567107.1, KAK2553689.1, KAK2554931.1, KAK2558771.1, KAK2549788.1, KAK2556975.1, KAK2548173.1, KAK2556181.1, KAK2563086.1, KAK2552057.1, KAK2552062.1, KAK2571669.1, KAK2553553.1, KAK2546801.1, KAK2550732.1, KAK2571416.1, KAK2554684.1, KAK2558129.1, KAK2565484.1, KAK2568753.1, KAK2564192.1, KAK2565615.1, KAK2549364.1, KAK2558923.1, KAK2553564.1, KAK2560769.1, KAK2558638.1, KAK2552350.1, KAK2555734.1, KAK2559458.1, KAK2566629.1, KAK2551129.1, KAK2546742.1, KAK2565102.1, KAK2550740.1, KAK2559153.1, KAK2552656.1, KAK2550735.1, KAK2564148.1, KAK2564873.1, KAK2550562.1, KAK2555827.1, KAK2549463.1, KAK2573776.1, KAK2548979.1, KAK2563416.1, KAK2568283.1, KAK2562627.1, KAK2552430.1, KAK2548531.1, KAK2548360.1, KAK2550325.1, KAK2554116.1, KAK2548487.1, KAK2549860.1, KAK2552011.1, KAK2565630.1
