Orthogroup	Nvec	Hsap
OG0000009	NV2t007509001.1, NV2t007506001.1, NV2t007507001.1, NV2t007507002.1, NV2t008103002.1, NV2t008103004.1, NV2t008103008.1, NV2t008103025.1, NV2t008103019.1, NV2t008103022.1, NV2t008103024.1, NV2t008103018.1, NV2t008103020.1, NV2t008103021.1, NV2t008103023.1, NV2t008103015.1, NV2t008103026.1, NV2t008103001.1, NV2t008103005.1, NV2t008103011.1, NV2t008103012.1, NV2t008103013.1, NV2t008103014.1, NV2t008103007.1, NV2t008103009.1, NV2t008103010.1, NV2t008097001.1, NV2t008097002.1, NV2t008097006.1, NV2t008097003.1, NV2t008097004.1, NV2t008097005.1, NV2t015587001.1, NV2t015647001.1, NV2t015641001.1, NV2t015641016.1, NV2t015643001.1, NV2t015656001.1, NV2t015641022.1, NV2t015641023.1, NV2t015641024.1, NV2t015652001.1, NV2t015641009.1, NV2t015654001.1, NV2t015641005.1, NV2t015641018.1, NV2t015645001.1, NV2t015651001.1, NV2t015641019.1, NV2t015641021.1, NV2t015641003.1, NV2t015641011.1, NV2t015641004.1, NV2t015641010.1, NV2t015641014.1, NV2t015641012.1, NV2t015641002.1, NV2t015641015.1, NV2t015641007.1, NV2t015641008.1, NV2t015641006.1, NV2t015641013.1, NV2t015641017.1, NV2t015641020.1, NV2t016381001.1	DZIP3_HUMAN
OG0000030	NV2t000849001.1, NV2t001244001.1, NV2t006197001.1, NV2t003071001.1, NV2t006411001.1, NV2t025572001.1, NV2t010176001.1, NV2t023746001.1, NV2t008000001.1, NV2t022307001.1, NV2t020124001.1, NV2t020124002.1, NV2t020124004.1, NV2t020124003.1, NV2t020124005.1, NV2t019957001.1, NV2t025300001.1, NV2t025182001.1, NV2t014524001.1, NV2t015016001.1, NV2t011904013.1, NV2t011904016.1, NV2t011904001.1, NV2t011904002.1, NV2t011904010.1, NV2t011904007.1, NV2t011904015.1, NV2t011904014.1, NV2t011904008.1, NV2t011904003.1, NV2t011904009.1, NV2t011904004.1, NV2t011904006.1, NV2t011904012.1, NV2t011904005.1, NV2t011904011.1, NV2t011903001.1, NV2t011904017.1, NV2t006099001.1, NV2t006100001.1	UROM_HUMAN, GP2_HUMAN, OIT3_HUMAN
OG0000007	NV2t015371001.1, NV2t021653001.1	CFA68_HUMAN
OG0000016	NV2t008555001.1, NV2t009618001.1, NV2t018622001.1, NV2t011008001.1, NV2t016530001.1, NV2t016530002.1, NV2t016530003.1, NV2t016530004.1, NV2t016530005.1, NV2t010575001.1, NV2t010575005.1, NV2t010575002.1, NV2t010575004.1, NV2t010575003.1, NV2t010575006.1, NV2t010575007.1, NV2t009619001.1, NV2t009619002.1, NV2t009619003.1, NV2t000557001.1, NV2t010078001.1, NV2t010078002.1, NV2t002941001.1, NV2t009730001.1, NV2t009730002.1, NV2t009527001.1, NV2t009922001.1, NV2t009996001.1, NV2t010586001.1, NV2t010100001.1, NV2t010102001.1	NPY2R_HUMAN, GPR83_HUMAN, NK2R_HUMAN, NK3R_HUMAN, NK1R_HUMAN, QRFPR_HUMAN, OX1R_HUMAN, OX2R_HUMAN, NPFF1_HUMAN, NPFF2_HUMAN
OG0000039	NV2t021126001.1, NV2t011677001.1, NV2t017910001.1	DDX41_HUMAN
OG0000008	NV2t025372001.1, NV2t025372002.1, NV2t024758001.1, NV2t015019001.1, NV2t001502001.1	PRORY_HUMAN
OG0000038	NV2t011687001.1, NV2t005346001.1, NV2t005347001.1, NV2t017817001.1, NV2t017818001.1, NV2t017818002.1, NV2t017818003.1, NV2t017818005.1, NV2t017818004.1, NV2t017818006.1, NV2t017818007.1, NV2t017679001.1, NV2t017813001.1, NV2t017795001.1, NV2t018127001.1, NV2t018362001.1, NV2t021256001.1, NV2t005982001.1, NV2t015750001.1, NV2t018530001.1, NV2t018519001.1, NV2t018515001.1, NV2t017365001.1, NV2t018517001.1, NV2t018517002.1, NV2t018517003.1, NV2t018517004.1, NV2t018517005.1, NV2t009418001.1, NV2t021261001.1	HRH2_HUMAN, ADRB2_HUMAN, ADRB1_HUMAN, ADRB3_HUMAN, DRD1_HUMAN, DRD5_HUMAN
OG0000047	NV2t016280001.1, NV2t015545001.1, NV2t017123001.1	BKRB2_HUMAN, BKRB1_HUMAN, AGTR2_HUMAN, AGTR1_HUMAN, ACKR2_HUMAN, XCR1_HUMAN, CCR4_HUMAN, CCR5_HUMAN, CCR2_HUMAN, CCR3_HUMAN, CCR1_HUMAN, CCR8_HUMAN, CX3C1_HUMAN, CXCR2_HUMAN, CXCR1_HUMAN, CCR7_HUMAN, CCR6_HUMAN, CXCR4_HUMAN, CXCR3_HUMAN
OG0000072	NV2t010237001.1, NV2t019451001.1, NV2t005755001.1, NV2t007620001.1, NV2t004364001.1, NV2t025406001.1, NV2t015343001.1, NV2t018128001.1, NV2t018688001.1, NV2t009325001.1, NV2t009659001.1, NV2t015180001.1, NV2t025784003.1, NV2t014097001.1, NV2t025784001.1, NV2t015173001.1, NV2t025784002.1, NV2t018627001.1	SPD2A_HUMAN, SPD2B_HUMAN
OG0000003	NV2t023758001.1, NV2t012317001.1	THAP6_HUMAN
