Orthogroup	Species	Gfas	Orthologs
OG0000000	Hsap	gfas1.m1.9889.m1	ZN75A_HUMAN, ZN542_HUMAN, ZN789_HUMAN, ZN620_HUMAN, ZN662_HUMAN, ZNF8_HUMAN, ZN793_HUMAN, ZN350_HUMAN, ZN577_HUMAN, ZN589_HUMAN, ZN707_HUMAN, ZN454_HUMAN, ZNF74_HUMAN, ZN879_HUMAN, Z354C_HUMAN, ZN311_HUMAN, Z354A_HUMAN, Z354B_HUMAN, ZN485_HUMAN, ZN251_HUMAN, ZNF7_HUMAN, ZFP90_HUMAN, ZN214_HUMAN, ZN229_HUMAN, ZN285_HUMAN, ZN227_HUMAN, ZNF45_HUMAN, ZN233_HUMAN, ZN112_HUMAN, ZN224_HUMAN, ZN221_HUMAN, ZN155_HUMAN, ZN230_HUMAN, ZN223_HUMAN, ZN222_HUMAN, ZN225_HUMAN, ZN284_HUMAN, ZN226_HUMAN, ZN234_HUMAN, ZN235_HUMAN, ZN184_HUMAN, ZN135_HUMAN, ZFP28_HUMAN, ZN570_HUMAN, ZN583_HUMAN, ZN470_HUMAN, ZN471_HUMAN, ZN527_HUMAN, ZN140_HUMAN, ZN181_HUMAN, ZN302_HUMAN, ZN582_HUMAN, ZN461_HUMAN, ZN283_HUMAN, ZN331_HUMAN, ZN540_HUMAN, ZN573_HUMAN, ZN607_HUMAN, ZNF30_HUMAN, ZN546_HUMAN, Z780A_HUMAN, Z780B_HUMAN, ZFP14_HUMAN, ZFP30_HUMAN, ZFP82_HUMAN, ZN404_HUMAN, ZN529_HUMAN, ZN790_HUMAN, ZN420_HUMAN, ZN565_HUMAN, ZN571_HUMAN, ZN345_HUMAN, ZN850_HUMAN, ZN566_HUMAN, ZN383_HUMAN, ZN829_HUMAN, ZN460_HUMAN, ZN543_HUMAN, ZN264_HUMAN, ZN805_HUMAN, ZN550_HUMAN, ZN599_HUMAN, ZN391_HUMAN, ZN684_HUMAN, ZN606_HUMAN, ZNF10_HUMAN, ZN180_HUMAN, ZN544_HUMAN, ZN177_HUMAN, ZN554_HUMAN, ZN891_HUMAN, ZN557_HUMAN, ZN558_HUMAN, ZN317_HUMAN, ZN596_HUMAN, Z705E_HUMAN, Z705A_HUMAN, Z705G_HUMAN, Z705B_HUMAN, Z705D_HUMAN, ZN333_HUMAN, ZN833_HUMAN, ZN559_HUMAN, ZN121_HUMAN, ZN778_HUMAN, ZN560_HUMAN, ZN266_HUMAN, ZN561_HUMAN, ZN562_HUMAN, ZN426_HUMAN, ZN846_HUMAN, ZN624_HUMAN, ZN568_HUMAN, ZN569_HUMAN, ZN667_HUMAN, ZN268_HUMAN, ZNF26_HUMAN, ZN169_HUMAN, ZN133_HUMAN, ZN343_HUMAN, ZN337_HUMAN, ZN875_HUMAN, ZN432_HUMAN, ZN615_HUMAN, ZN614_HUMAN, ZN613_HUMAN, ZN649_HUMAN, ZN605_HUMAN, ZNF84_HUMAN, ZN182_HUMAN, KRBD4_HUMAN, ZN674_HUMAN, ZN300_HUMAN, ZN630_HUMAN, ZNF41_HUMAN, ZNF81_HUMAN, ZN484_HUMAN, ZN175_HUMAN, Z585A_HUMAN, Z585B_HUMAN, ZN782_HUMAN, ZN717_HUMAN, ZN334_HUMAN, ZN510_HUMAN, ZN487_HUMAN, ZN33A_HUMAN, ZN33B_HUMAN, ZN248_HUMAN, ZN37A_HUMAN, ZNF25_HUMAN, ZN840_HUMAN, RBAK_HUMAN, ZNF12_HUMAN, ZN567_HUMAN, ZN382_HUMAN, ZN157_HUMAN, Z658B_HUMAN, ZN658_HUMAN, ZIM3_HUMAN, ZFP1_HUMAN, ZN514_HUMAN, Z286A_HUMAN, Z286B_HUMAN, ZN892_HUMAN, ZNF80_HUMAN, ZN713_HUMAN, ZF69B_HUMAN, ZFP69_HUMAN
OG0000000	Mmus	gfas1.m1.9889.m1	ZNF8_MOUSE, ZFOI1_MOUSE, ZN809_MOUSE, ZN879_MOUSE, Z354C_MOUSE, Z354A_MOUSE, Z354B_MOUSE, ZFP90_MOUSE, ZN112_MOUSE, ZN235_MOUSE, ZN184_MOUSE, ZFP28_MOUSE, ZN583_MOUSE, ZFP14_MOUSE, ZFP82_MOUSE, ZFP26_MOUSE, ZN426_MOUSE, ZN569_MOUSE, ZN568_MOUSE, ZN667_MOUSE, ZN182_MOUSE, ZFP27_MOUSE, ZFP39_MOUSE, RBAK_MOUSE, ZNF12_MOUSE, ZN382_MOUSE, ZFP1_MOUSE, ZFP69_MOUSE
OG0000001	Hsap	gfas1.m1.2667.m1, gfas1.m1.11546.m1, gfas1.m1.11622.m1, gfas1.m1.11506.m1, gfas1.m1.11409.m1, gfas1.m1.11823.m1, gfas1.m1.12251.m1, gfas1.m1.3234.m1, gfas1.m1.8499.m1, gfas1.m1.17249.m1, gfas1.m1.17250.m1, gfas1.m1.16641.m1, gfas1.m1.22810.m1, gfas1.m1.12577.m1, gfas1.m1.10822.m1, gfas1.m1.9846.m1, gfas1.m1.10823.m1, gfas1.m1.14892.m1, gfas1.m1.12060.m1, gfas1.m1.12061.m1, gfas1.m1.12918.m1, gfas1.m1.11465.m1, gfas1.m1.12446.m1, gfas1.m1.21479.m1, gfas1.m1.12917.m1, gfas1.m1.11575.m1, gfas1.m1.19328.m1, gfas1.m1.20034.m1, gfas1.m1.11175.m1, gfas1.m1.8543.m1, gfas1.m1.10928.m1, gfas1.m1.8544.m1, gfas1.m1.10929.m1, gfas1.m1.11176.m1, gfas1.m1.8540.m1, gfas1.m1.21515.m1, gfas1.m1.12021.m1, gfas1.m1.23635.m1, gfas1.m1.11284.m1, gfas1.m1.11129.m1, gfas1.m1.11309.m1, gfas1.m1.8784.m1, gfas1.m1.19145.m1, gfas1.m1.13327.m1, gfas1.m1.51.m1, gfas1.m1.10.m1, gfas1.m1.19179.m1, gfas1.m1.12173.m1, gfas1.m1.21124.m1, gfas1.m1.4490.m1, gfas1.m1.6.m1, gfas1.m1.12137.m1, gfas1.m1.12136.m1, gfas1.m1.9978.m1, gfas1.m1.12626.m1, gfas1.m1.22824.m1, gfas1.m1.23956.m1, gfas1.m1.11778.m1, gfas1.m1.14938.m1, gfas1.m1.23414.m1, gfas1.m1.18660.m1, gfas1.m1.10530.m1, gfas1.m1.2083.m1, gfas1.m1.22396.m1, gfas1.m1.6303.m1, gfas1.m1.21450.m1, gfas1.m1.12253.m1, gfas1.m1.12949.m1, gfas1.m1.12369.m1, gfas1.m1.12912.m1, gfas1.m1.11554.m1, gfas1.m1.18013.m1, gfas1.m1.12942.m1, gfas1.m1.22622.m1, gfas1.m1.12735.m1, gfas1.m1.11907.m1, gfas1.m1.10047.m1, gfas1.m1.4140.m1, gfas1.m1.10046.m1, gfas1.m1.11906.m1, gfas1.m1.1133.m1, gfas1.m1.23761.m1, gfas1.m1.8234.m1, gfas1.m1.12633.m1, gfas1.m1.22553.m1, gfas1.m1.13076.m1, gfas1.m1.22552.m1, gfas1.m1.11328.m1, gfas1.m1.12436.m1, gfas1.m1.12475.m1, gfas1.m1.22324.m1, gfas1.m1.11327.m1, gfas1.m1.22859.m1, gfas1.m1.12287.m1, gfas1.m1.13108.m1, gfas1.m1.11859.m1, gfas1.m1.20561.m1, gfas1.m1.15274.m1, gfas1.m1.12316.m1, gfas1.m1.20094.m1, gfas1.m1.12290.m1, gfas1.m1.12736.m1, gfas1.m1.13083.m1, gfas1.m1.11245.m1, gfas1.m1.20148.m1, gfas1.m1.20741.m1, gfas1.m1.9899.m1, gfas1.m1.3719.m1, gfas1.m1.17928.m1, gfas1.m1.7731.m1, gfas1.m1.12321.m1, gfas1.m1.9935.m1, gfas1.m1.22322.m1, gfas1.m1.12520.m1, gfas1.m1.4439.m1, gfas1.m1.10233.m1, gfas1.m1.10232.m1, gfas1.m1.23638.m1, gfas1.m1.15436.m1, gfas1.m1.12250.m1, gfas1.m1.12977.m1, gfas1.m1.10449.m1, gfas1.m1.10812.m1, gfas1.m1.23943.m1, gfas1.m1.22721.m1, gfas1.m1.23586.m1, gfas1.m1.21607.m1, gfas1.m1.16898.m1, gfas1.m1.11862.m1, gfas1.m1.12166.m1, gfas1.m1.21091.m1, gfas1.m1.12517.m1, gfas1.m1.11953.m1, gfas1.m1.20994.m1, gfas1.m1.7445.m1, gfas1.m1.8709.m1, gfas1.m1.11065.m1, gfas1.m1.21636.m1, gfas1.m1.20407.m1, gfas1.m1.1156.m1, gfas1.m1.13754.m1, gfas1.m1.9783.m1, gfas1.m1.9527.m1, gfas1.m1.7446.m1, gfas1.m1.7447.m1, gfas1.m1.7448.m1, gfas1.m1.19241.m1, gfas1.m1.9411.m1, gfas1.m1.21191.m1, gfas1.m1.9784.m1, gfas1.m1.9785.m1, gfas1.m1.12653.m1, gfas1.m1.11372.m1, gfas1.m1.11962.m1, gfas1.m1.20723.m1, gfas1.m1.13316.m1, gfas1.m1.3158.m1, gfas1.m1.1945.m1, gfas1.m1.3341.m1, gfas1.m1.1947.m1, gfas1.m1.568.m1, gfas1.m1.5452.m1, gfas1.m1.11582.m1, gfas1.m1.12195.m1, gfas1.m1.22378.m1, gfas1.m1.631.m1, gfas1.m1.3346.m1, gfas1.m1.3340.m1, gfas1.m1.12040.m1, gfas1.m1.18402.m1, gfas1.m1.20968.m1, gfas1.m1.23283.m1, gfas1.m1.12852.m1, gfas1.m1.7060.m1, gfas1.m1.7911.m1, gfas1.m1.3487.m1, gfas1.m1.984.m1, gfas1.m1.17542.m1, gfas1.m1.3492.m1, gfas1.m1.19171.m1	DZIP3_HUMAN
OG0000001	Mmus	gfas1.m1.2667.m1, gfas1.m1.11546.m1, gfas1.m1.11622.m1, gfas1.m1.11506.m1, gfas1.m1.11409.m1, gfas1.m1.11823.m1, gfas1.m1.12251.m1, gfas1.m1.3234.m1, gfas1.m1.8499.m1, gfas1.m1.17249.m1, gfas1.m1.17250.m1, gfas1.m1.16641.m1, gfas1.m1.22810.m1, gfas1.m1.12577.m1, gfas1.m1.10822.m1, gfas1.m1.9846.m1, gfas1.m1.10823.m1, gfas1.m1.14892.m1, gfas1.m1.12060.m1, gfas1.m1.12061.m1, gfas1.m1.12918.m1, gfas1.m1.11465.m1, gfas1.m1.12446.m1, gfas1.m1.21479.m1, gfas1.m1.12917.m1, gfas1.m1.11575.m1, gfas1.m1.19328.m1, gfas1.m1.20034.m1, gfas1.m1.11175.m1, gfas1.m1.8543.m1, gfas1.m1.10928.m1, gfas1.m1.8544.m1, gfas1.m1.10929.m1, gfas1.m1.11176.m1, gfas1.m1.8540.m1, gfas1.m1.21515.m1, gfas1.m1.12021.m1, gfas1.m1.23635.m1, gfas1.m1.11284.m1, gfas1.m1.11129.m1, gfas1.m1.11309.m1, gfas1.m1.8784.m1, gfas1.m1.19145.m1, gfas1.m1.13327.m1, gfas1.m1.51.m1, gfas1.m1.10.m1, gfas1.m1.19179.m1, gfas1.m1.12173.m1, gfas1.m1.21124.m1, gfas1.m1.4490.m1, gfas1.m1.6.m1, gfas1.m1.12137.m1, gfas1.m1.12136.m1, gfas1.m1.9978.m1, gfas1.m1.12626.m1, gfas1.m1.22824.m1, gfas1.m1.23956.m1, gfas1.m1.11778.m1, gfas1.m1.14938.m1, gfas1.m1.23414.m1, gfas1.m1.18660.m1, gfas1.m1.10530.m1, gfas1.m1.2083.m1, gfas1.m1.22396.m1, gfas1.m1.6303.m1, gfas1.m1.21450.m1, gfas1.m1.12253.m1, gfas1.m1.12949.m1, gfas1.m1.12369.m1, gfas1.m1.12912.m1, gfas1.m1.11554.m1, gfas1.m1.18013.m1, gfas1.m1.12942.m1, gfas1.m1.22622.m1, gfas1.m1.12735.m1, gfas1.m1.11907.m1, gfas1.m1.10047.m1, gfas1.m1.4140.m1, gfas1.m1.10046.m1, gfas1.m1.11906.m1, gfas1.m1.1133.m1, gfas1.m1.23761.m1, gfas1.m1.8234.m1, gfas1.m1.12633.m1, gfas1.m1.22553.m1, gfas1.m1.13076.m1, gfas1.m1.22552.m1, gfas1.m1.11328.m1, gfas1.m1.12436.m1, gfas1.m1.12475.m1, gfas1.m1.22324.m1, gfas1.m1.11327.m1, gfas1.m1.22859.m1, gfas1.m1.12287.m1, gfas1.m1.13108.m1, gfas1.m1.11859.m1, gfas1.m1.20561.m1, gfas1.m1.15274.m1, gfas1.m1.12316.m1, gfas1.m1.20094.m1, gfas1.m1.12290.m1, gfas1.m1.12736.m1, gfas1.m1.13083.m1, gfas1.m1.11245.m1, gfas1.m1.20148.m1, gfas1.m1.20741.m1, gfas1.m1.9899.m1, gfas1.m1.3719.m1, gfas1.m1.17928.m1, gfas1.m1.7731.m1, gfas1.m1.12321.m1, gfas1.m1.9935.m1, gfas1.m1.22322.m1, gfas1.m1.12520.m1, gfas1.m1.4439.m1, gfas1.m1.10233.m1, gfas1.m1.10232.m1, gfas1.m1.23638.m1, gfas1.m1.15436.m1, gfas1.m1.12250.m1, gfas1.m1.12977.m1, gfas1.m1.10449.m1, gfas1.m1.10812.m1, gfas1.m1.23943.m1, gfas1.m1.22721.m1, gfas1.m1.23586.m1, gfas1.m1.21607.m1, gfas1.m1.16898.m1, gfas1.m1.11862.m1, gfas1.m1.12166.m1, gfas1.m1.21091.m1, gfas1.m1.12517.m1, gfas1.m1.11953.m1, gfas1.m1.20994.m1, gfas1.m1.7445.m1, gfas1.m1.8709.m1, gfas1.m1.11065.m1, gfas1.m1.21636.m1, gfas1.m1.20407.m1, gfas1.m1.1156.m1, gfas1.m1.13754.m1, gfas1.m1.9783.m1, gfas1.m1.9527.m1, gfas1.m1.7446.m1, gfas1.m1.7447.m1, gfas1.m1.7448.m1, gfas1.m1.19241.m1, gfas1.m1.9411.m1, gfas1.m1.21191.m1, gfas1.m1.9784.m1, gfas1.m1.9785.m1, gfas1.m1.12653.m1, gfas1.m1.11372.m1, gfas1.m1.11962.m1, gfas1.m1.20723.m1, gfas1.m1.13316.m1, gfas1.m1.3158.m1, gfas1.m1.1945.m1, gfas1.m1.3341.m1, gfas1.m1.1947.m1, gfas1.m1.568.m1, gfas1.m1.5452.m1, gfas1.m1.11582.m1, gfas1.m1.12195.m1, gfas1.m1.22378.m1, gfas1.m1.631.m1, gfas1.m1.3346.m1, gfas1.m1.3340.m1, gfas1.m1.12040.m1, gfas1.m1.18402.m1, gfas1.m1.20968.m1, gfas1.m1.23283.m1, gfas1.m1.12852.m1, gfas1.m1.7060.m1, gfas1.m1.7911.m1, gfas1.m1.3487.m1, gfas1.m1.984.m1, gfas1.m1.17542.m1, gfas1.m1.3492.m1, gfas1.m1.19171.m1	DZIP3_MOUSE
OG0000001	Nvec	gfas1.m1.2667.m1	NV2t005425001.1
OG0000001	Nvec	gfas1.m1.11546.m1, gfas1.m1.11622.m1, gfas1.m1.11506.m1, gfas1.m1.11409.m1, gfas1.m1.11823.m1, gfas1.m1.12251.m1, gfas1.m1.3234.m1, gfas1.m1.8499.m1, gfas1.m1.17249.m1, gfas1.m1.17250.m1, gfas1.m1.16641.m1, gfas1.m1.22810.m1, gfas1.m1.12577.m1, gfas1.m1.10822.m1, gfas1.m1.9846.m1, gfas1.m1.10823.m1, gfas1.m1.14892.m1, gfas1.m1.12060.m1, gfas1.m1.12061.m1, gfas1.m1.12918.m1, gfas1.m1.11465.m1, gfas1.m1.12446.m1, gfas1.m1.21479.m1, gfas1.m1.12917.m1, gfas1.m1.11575.m1, gfas1.m1.19328.m1, gfas1.m1.20034.m1, gfas1.m1.11175.m1, gfas1.m1.8543.m1, gfas1.m1.10928.m1, gfas1.m1.8544.m1, gfas1.m1.10929.m1, gfas1.m1.11176.m1, gfas1.m1.8540.m1, gfas1.m1.21515.m1, gfas1.m1.12021.m1, gfas1.m1.23635.m1, gfas1.m1.11284.m1, gfas1.m1.11129.m1, gfas1.m1.11309.m1, gfas1.m1.8784.m1, gfas1.m1.19145.m1, gfas1.m1.13327.m1, gfas1.m1.51.m1, gfas1.m1.10.m1, gfas1.m1.19179.m1, gfas1.m1.12173.m1, gfas1.m1.21124.m1, gfas1.m1.4490.m1, gfas1.m1.6.m1, gfas1.m1.12137.m1, gfas1.m1.12136.m1, gfas1.m1.9978.m1, gfas1.m1.12626.m1, gfas1.m1.22824.m1, gfas1.m1.23956.m1, gfas1.m1.11778.m1	NV2t006998001.1, NV2t006998002.1
OG0000001	Nvec	gfas1.m1.14938.m1, gfas1.m1.23414.m1	NV2t023676001.1
OG0000001	Nvec	gfas1.m1.18660.m1, gfas1.m1.10530.m1	NV2t023433001.1
OG0000001	Nvec	gfas1.m1.18013.m1	NV2t005383001.1
OG0000001	Nvec	gfas1.m1.11907.m1, gfas1.m1.10047.m1, gfas1.m1.4140.m1, gfas1.m1.10046.m1, gfas1.m1.11906.m1, gfas1.m1.1133.m1, gfas1.m1.23761.m1, gfas1.m1.8234.m1, gfas1.m1.12633.m1, gfas1.m1.22553.m1, gfas1.m1.13076.m1, gfas1.m1.22552.m1, gfas1.m1.11328.m1, gfas1.m1.12436.m1, gfas1.m1.12475.m1, gfas1.m1.22324.m1, gfas1.m1.11327.m1, gfas1.m1.22859.m1, gfas1.m1.12287.m1, gfas1.m1.13108.m1, gfas1.m1.11859.m1, gfas1.m1.20561.m1, gfas1.m1.15274.m1, gfas1.m1.12316.m1, gfas1.m1.20094.m1, gfas1.m1.12290.m1, gfas1.m1.12736.m1, gfas1.m1.13083.m1, gfas1.m1.11245.m1, gfas1.m1.20148.m1, gfas1.m1.20741.m1, gfas1.m1.9899.m1, gfas1.m1.3719.m1	NV2t008569001.1
