# SignalP-6.0	Organism: Eukarya	Timestamp: 20260625005346
# ID	Prediction	OTHER	SP(Sec/SPI)	CS Position
NV2t025931001.1	OTHER	0.999992	0.000000	
NV2t025877001.1	OTHER	1.000000	0.000000	
NV2t025879001.1	OTHER	1.000000	0.000000	
NV2t025880001.1	SP	0.000164	0.999833	CS pos: 23-24. Pr: 0.9816
NV2t025881001.1	OTHER	0.999988	0.000000	
NV2t025882001.1	OTHER	1.000000	0.000000	
NV2t025884001.1	OTHER	1.000000	0.000000	
NV2t025884002.1	OTHER	1.000000	0.000000	
NV2t025885001.1	OTHER	1.000000	0.000000	
NV2t025886001.1	OTHER	1.000000	0.000000	
NV2t025887001.1	OTHER	1.000000	0.000000	
NV2t025888001.1	OTHER	0.999982	0.000000	
NV2t025888002.1	OTHER	0.999980	0.000000	
NV2t025889001.1	OTHER	1.000000	0.000000	
NV2t025890001.1	OTHER	0.999983	0.000000	
NV2t025890002.1	OTHER	0.999983	0.000000	
NV2t025891001.1	OTHER	0.999983	0.000000	
NV2t025892001.1	OTHER	0.999983	0.000000	
NV2t025892002.1	OTHER	0.999983	0.000000	
NV2t025894001.1	OTHER	0.999983	0.000000	
NV2t025895001.1	OTHER	0.999984	0.000000	
NV2t025898001.1	OTHER	0.999999	0.000000	
NV2t025899001.1	OTHER	1.000000	0.000000	
NV2t025900001.1	OTHER	0.999978	0.000000	
NV2t025902001.1	OTHER	0.999979	0.000000	
NV2t025903001.1	OTHER	1.000000	0.000000	
NV2t025905001.1	OTHER	1.000000	0.000000	
NV2t025907001.1	OTHER	0.999993	0.000000	
NV2t025910001.1	OTHER	0.999995	0.000000	
NV2t025912001.1	OTHER	1.000000	0.000000	
NV2t025922001.1	OTHER	1.000000	0.000000	
NV2t025928001.1	OTHER	1.000000	0.000000	
NV2t025955001.1	OTHER	0.999997	0.000000	
NV2t025956001.1	OTHER	0.999987	0.000000	
NV2t025957001.1	OTHER	1.000000	0.000000	
NV2t025958001.1	OTHER	1.000000	0.000000	
NV2t025959001.1	OTHER	0.999993	0.000020	
NV2t025960001.1	SP	0.000178	0.999831	CS pos: 20-21. Pr: 0.9895
NV2t025961001.1	SP	0.000156	0.999815	CS pos: 20-21. Pr: 0.9847
NV2t025963001.1	OTHER	1.000000	0.000000	
NV2t025964001.1	OTHER	1.000000	0.000000	
NV2t025966001.1	OTHER	1.000000	0.000000	
NV2t025932001.1	OTHER	1.000000	0.000000	
NV2t025933001.1	OTHER	1.000000	0.000000	
NV2t025934001.1	OTHER	1.000000	0.000000	
NV2t025935001.1	OTHER	1.000000	0.000000	
NV2t025935002.1	OTHER	0.999996	0.000000	
NV2t025936001.1	OTHER	0.999979	0.000000	
NV2t025936002.1	OTHER	0.999979	0.000000	
NV2t025936003.1	OTHER	1.000000	0.000000	
NV2t025937001.1	OTHER	1.000000	0.000000	
NV2t025938001.1	OTHER	0.999976	0.000000	
NV2t025939001.1	OTHER	1.000000	0.000000	
NV2t025940001.1	OTHER	1.000000	0.000000	
NV2t025941001.1	OTHER	1.000000	0.000000	
NV2t025942001.1	OTHER	0.999988	0.000000	
NV2t025942002.1	OTHER	0.999999	0.000000	
NV2t025943001.1	OTHER	1.000000	0.000000	
NV2t025944001.1	OTHER	0.999978	0.000000	
NV2t025945001.1	OTHER	0.999991	0.000000	
NV2t025946001.1	OTHER	1.000000	0.000000	
NV2t025947001.1	OTHER	1.000000	0.000000	
NV2t025950001.1	OTHER	0.999995	0.000000	
NV2t025951001.1	OTHER	0.999995	0.000000	
NV2t025952001.1	OTHER	0.999995	0.000000	
NV2t025981001.1	OTHER	0.999985	0.000000	
NV2t025981002.1	OTHER	0.999985	0.000000	
NV2t025982001.1	OTHER	0.999977	0.000000	
NV2t025984001.1	OTHER	1.000000	0.000000	
NV2t025984002.1	OTHER	1.000000	0.000000	
NV2t025984003.1	OTHER	1.000000	0.000000	
NV2t025985001.1	OTHER	0.999993	0.000000	
NV2t025968001.1	OTHER	0.999970	0.000000	
NV2t025969001.1	OTHER	1.000000	0.000000	
NV2t025970001.1	OTHER	0.999978	0.000000	
NV2t025971001.1	OTHER	0.666809	0.333211	
NV2t025972001.1	OTHER	0.999977	0.000000	
NV2t025975001.1	OTHER	1.000000	0.000000	
NV2t025976001.1	OTHER	1.000000	0.000000	
NV2t025977001.1	OTHER	1.000000	0.000000	
NV2t025978001.1	OTHER	1.000000	0.000000	
NV2t025979001.1	OTHER	0.999978	0.000000	
NV2t025979002.1	OTHER	0.999604	0.000370	
NV2t025980001.1	OTHER	1.000000	0.000000	
NV2t025980002.1	OTHER	1.000000	0.000000	
NV2t025986001.1	OTHER	1.000000	0.000000	
NV2t025988001.1	OTHER	1.000000	0.000000	
NV2t025989001.1	OTHER	1.000000	0.000000	
NV2t025989002.1	OTHER	1.000000	0.000000	
NV2t025989003.1	OTHER	1.000000	0.000000	
NV2t008252001.1	OTHER	1.000000	0.000000	
NV2t008252002.1	OTHER	0.999981	0.000000	
NV2t008254001.1	OTHER	0.999984	0.000000	
NV2t008255001.1	OTHER	0.999966	0.000000	
NV2t008257001.1	OTHER	0.999995	0.000000	
NV2t008258001.1	SP	0.000166	0.999802	CS pos: 19-20. Pr: 0.9847
NV2t008258002.1	SP	0.000166	0.999802	CS pos: 19-20. Pr: 0.9847
NV2t008259001.1	SP	0.000202	0.999793	CS pos: 21-22. Pr: 0.9665
NV2t008259002.1	SP	0.000202	0.999793	CS pos: 21-22. Pr: 0.9665
NV2t008259003.1	SP	0.000202	0.999793	CS pos: 21-22. Pr: 0.9665
NV2t008259004.1	SP	0.000202	0.999793	CS pos: 21-22. Pr: 0.9665
NV2t008259005.1	SP	0.000202	0.999793	CS pos: 21-22. Pr: 0.9665
NV2t008259006.1	SP	0.000202	0.999793	CS pos: 21-22. Pr: 0.9665
NV2t008259007.1	SP	0.000202	0.999793	CS pos: 21-22. Pr: 0.9665
NV2t008259008.1	SP	0.000202	0.999793	CS pos: 21-22. Pr: 0.9665
NV2t008259009.1	SP	0.000202	0.999793	CS pos: 21-22. Pr: 0.9665
NV2t008259010.1	SP	0.000202	0.999793	CS pos: 21-22. Pr: 0.9665
NV2t008259011.1	SP	0.000202	0.999793	CS pos: 21-22. Pr: 0.9665
NV2t008260001.1	OTHER	1.000000	0.000000	
NV2t008261001.1	OTHER	1.000000	0.000000	
NV2t008262001.1	OTHER	1.000000	0.000000	
NV2t008263001.1	OTHER	1.000000	0.000000	
NV2t008264001.1	OTHER	1.000000	0.000000	
NV2t008265001.1	OTHER	1.000000	0.000000	
NV2t008266001.1	OTHER	1.000000	0.000000	
NV2t008267001.1	OTHER	0.999991	0.000000	
NV2t008267002.1	OTHER	0.999991	0.000000	
NV2t008267003.1	OTHER	1.000000	0.000000	
NV2t008267004.1	OTHER	1.000000	0.000000	
NV2t008267005.1	OTHER	1.000000	0.000000	
NV2t008267006.1	OTHER	1.000000	0.000000	
NV2t008268001.1	OTHER	1.000000	0.000000	
NV2t008268002.1	OTHER	1.000000	0.000000	
NV2t008268003.1	OTHER	1.000000	0.000000	
NV2t008267007.1	OTHER	1.000000	0.000000	
NV2t008267008.1	OTHER	1.000000	0.000000	
NV2t008267009.1	OTHER	1.000000	0.000000	
NV2t008267010.1	OTHER	1.000000	0.000000	
NV2t008267011.1	OTHER	1.000000	0.000000	
NV2t008267012.1	OTHER	1.000000	0.000000	
NV2t008269001.1	OTHER	1.000000	0.000000	
NV2t008270001.1	OTHER	1.000000	0.000000	
NV2t008271001.1	OTHER	1.000000	0.000000	
NV2t008271002.1	OTHER	0.998552	0.001433	
NV2t008271003.1	OTHER	1.000000	0.000000	
NV2t008273001.1	OTHER	1.000000	0.000000	
NV2t008274001.1	OTHER	1.000000	0.000000	
NV2t008276001.1	OTHER	0.999997	0.000000	
NV2t008278001.1	OTHER	1.000000	0.000000	
NV2t008279001.1	OTHER	0.913865	0.086117	
NV2t008280001.1	OTHER	1.000000	0.000000	
NV2t008280002.1	OTHER	1.000000	0.000000	
NV2t008281001.1	OTHER	0.999996	0.000000	
NV2t008283001.1	SP	0.000148	0.999854	CS pos: 20-21. Pr: 0.9844
NV2t008283002.1	SP	0.000148	0.999854	CS pos: 20-21. Pr: 0.9844
NV2t008284001.1	SP	0.000183	0.999824	CS pos: 30-31. Pr: 0.9778
NV2t008285001.1	SP	0.000145	0.999848	CS pos: 18-19. Pr: 0.9853
NV2t008287001.1	SP	0.000153	0.999853	CS pos: 23-24. Pr: 0.9855
NV2t008287002.1	OTHER	1.000000	0.000000	
NV2t008289001.1	OTHER	1.000000	0.000000	
NV2t008290001.1	OTHER	1.000000	0.000000	
NV2t008290002.1	OTHER	1.000000	0.000000	
NV2t008291001.1	OTHER	1.000000	0.000000	
NV2t008292001.1	OTHER	1.000000	0.000000	
NV2t008292002.1	OTHER	1.000000	0.000000	
NV2t008293001.1	OTHER	1.000000	0.000001	
NV2t008294001.1	OTHER	1.000000	0.000000	
NV2t008295001.1	OTHER	0.668112	0.331889	
NV2t008295002.1	OTHER	1.000000	0.000000	
NV2t008295003.1	OTHER	1.000000	0.000000	
NV2t008296001.1	OTHER	1.000000	0.000000	
NV2t008297001.1	OTHER	1.000000	0.000000	
NV2t008299001.1	OTHER	1.000000	0.000000	
NV2t008299002.1	OTHER	1.000000	0.000000	
