Orthogroup	Mmus	Nvec
OG0000008	JAM1_MOUSE, JAM3_MOUSE, JAM2_MOUSE	NV2t000346001.1, NV2t012263001.1, NV2t021149001.1, NV2t021216001.1, NV2t019862001.1, NV2t019855001.1, NV2t025997001.1, NV2t019866001.1, NV2t019860001.1, NV2t019864001.1, NV2t019863001.1, NV2t019863002.1, NV2t019861001.1, NV2t019858001.1, NV2t021535001.1, NV2t021535003.1, NV2t021535002.1, NV2t020637001.1
OG0000012	PP6R2_MOUSE, PP6R3_MOUSE, PP6R1_MOUSE	NV2t006140001.1, NV2t010135001.1, NV2t010135002.1, NV2t010553001.1, NV2t005969009.1, NV2t005969010.1, NV2t005969013.1, NV2t005969012.1, NV2t005969015.1, NV2t005969017.1, NV2t022086002.1, NV2t005969014.1, NV2t005969005.1, NV2t005969001.1, NV2t005969003.1, NV2t005969004.1, NV2t005969002.1, NV2t005969011.1, NV2t005969007.1, NV2t005969006.1, NV2t005969008.1, NV2t019067001.1, NV2t019067002.1, NV2t019067004.1, NV2t019067003.1, NV2t005425001.1, NV2t009657001.1
OG0000013	NK2R_MOUSE, NK1R_MOUSE, NK3R_MOUSE	NV2t022046001.1, NV2t000557001.1, NV2t010078001.1, NV2t010078002.1, NV2t016530001.1, NV2t016530002.1, NV2t016530003.1, NV2t016530004.1, NV2t016530005.1, NV2t011008001.1, NV2t018622001.1, NV2t018120001.1, NV2t018120002.1, NV2t000925001.1, NV2t001992001.1, NV2t010575001.1, NV2t010575005.1, NV2t010575002.1, NV2t010575004.1, NV2t010575003.1, NV2t010575006.1, NV2t010575007.1, NV2t009619001.1, NV2t009619002.1, NV2t009619003.1, NV2t009922001.1, NV2t014996001.1, NV2t014995001.1, NV2t008989001.1, NV2t010100001.1, NV2t010102001.1, NV2t010586001.1, NV2t009527001.1, NV2t009996001.1, NV2t000262001.1
OG0000014	MTR1L_MOUSE, MTR1A_MOUSE, MTR1B_MOUSE	NV2t005634001.1, NV2t005685001.1, NV2t006156001.1, NV2t017888001.1, NV2t017888002.1, NV2t014321001.1, NV2t014321002.1, NV2t006023001.1, NV2t003658001.1, NV2t018782001.1, NV2t009759001.1, NV2t010396001.1, NV2t025027001.1, NV2t004565001.1, NV2t005336001.1, NV2t020327001.1, NV2t011571001.1, NV2t019367001.1, NV2t019368001.1, NV2t019368002.1, NV2t019845001.1, NV2t019842001.1, NV2t006395001.1, NV2t004537001.1, NV2t022394001.1, NV2t023196001.1
OG0000015	VKOR1_MOUSE	NV2t015409001.1, NV2t018400001.1, NV2t018400002.1, NV2t000061001.1, NV2t000100001.1, NV2t003390001.1, NV2t002125003.1, NV2t015626001.1, NV2t015632001.1
OG0000018	RXFP1_MOUSE, RXFP2_MOUSE	NV2t007608001.1, NV2t023280001.1, NV2t023815001.1, NV2t023024001.1, NV2t023056001.1, NV2t023294001.1, NV2t022974001.1, NV2t023019001.1, NV2t023292001.1, NV2t016342001.1, NV2t010391001.1, NV2t023818001.1, NV2t023028001.1, NV2t023044001.1, NV2t023029001.1, NV2t022984001.1, NV2t023037001.1, NV2t023042001.1, NV2t022985001.1, NV2t023022001.1, NV2t023009001.1, NV2t023035001.1, NV2t023023001.1, NV2t022974002.1, NV2t023295002.1, NV2t023715001.1
OG0000019	MFAP4_MOUSE, FCN1_MOUSE, FCN2_MOUSE	NV2t025526001.1, NV2t006804001.1, NV2t019779001.1, NV2t019779002.1, NV2t006014001.1, NV2t006014002.1
OG0000020	OIT3_MOUSE, UROM_MOUSE, GP2_MOUSE	NV2t012864001.1, NV2t011069001.1, NV2t008000001.1, NV2t022307001.1, NV2t020124001.1, NV2t020124002.1, NV2t020124004.1, NV2t020124003.1, NV2t020124005.1, NV2t010176001.1, NV2t023746001.1, NV2t011904017.1, NV2t011904011.1, NV2t011903001.1, NV2t011904008.1, NV2t011904006.1, NV2t011904003.1, NV2t011904009.1, NV2t011904004.1, NV2t011904005.1, NV2t011904015.1, NV2t011904007.1, NV2t011904010.1, NV2t011904013.1, NV2t011904016.1, NV2t011904001.1, NV2t011904002.1, NV2t011904014.1, NV2t011904012.1, NV2t014524001.1
OG0000022	MEP1A_MOUSE, MEP1B_MOUSE, ASTL_MOUSE	NV2t021684001.1, NV2t021687001.1, NV2t016729001.1, NV2t016730001.1, NV2t024493002.1, NV2t024493001.1, NV2t024493003.1, NV2t018310001.1, NV2t018306001.1, NV2t018306002.1, NV2t018077001.1, NV2t023064001.1, NV2t023064002.1, NV2t023859001.1, NV2t023644001.1, NV2t013368001.1, NV2t013994001.1, NV2t003279001.1, NV2t021385001.1, NV2t002433001.1, NV2t011270001.1, NV2t016035001.1, NV2t016035002.1, NV2t016036001.1, NV2t025961001.1, NV2t020641001.1, NV2t020641002.1, NV2t020641003.1, NV2t020641005.1, NV2t020641004.1, NV2t020640001.1, NV2t020639001.1, NV2t008948001.1, NV2t015924001.1, NV2t016077001.1, NV2t017022001.1, NV2t015925001.1, NV2t015925002.1, NV2t017021001.1, NV2t023642001.1, NV2t016574001.1, NV2t016080001.1, NV2t007357001.1, NV2t006019001.1, NV2t003953001.1, NV2t010250001.1, NV2t004041001.1
OG0000023	KISSR_MOUSE, GALR1_MOUSE, GALR3_MOUSE, GALR2_MOUSE, OX1R_MOUSE, OX2R_MOUSE, NPY2R_MOUSE, NPFF2_MOUSE	NV2t010075001.1, NV2t010075002.1, NV2t010076001.1, NV2t010076002.1, NV2t023421001.1, NV2t023421003.1, NV2t023421004.1, NV2t023421005.1, NV2t023421006.1, NV2t023421007.1, NV2t023421008.1, NV2t023421009.1, NV2t023421002.1, NV2t009939001.1, NV2t024983001.1, NV2t002307001.1, NV2t001943001.1, NV2t001943002.1, NV2t000511001.1, NV2t000513001.1, NV2t000513002.1, NV2t003314001.1, NV2t003314002.1, NV2t003314003.1, NV2t003314004.1, NV2t021659001.1, NV2t021659002.1, NV2t021659003.1, NV2t021302002.1, NV2t021302001.1, NV2t021303001.1, NV2t022132001.1, NV2t022132002.1, NV2t022136001.1, NV2t011164002.1, NV2t011164001.1, NV2t011164003.1, NV2t011164004.1, NV2t000620001.1, NV2t009673001.1, NV2t008331001.1
