Orthogroup	Mmus	Hsap
OG0000004	OR8A1_MOUSE	OR8A1_HUMAN
OG0000004	OL143_MOUSE	OR8B4_HUMAN
OG0000004	OR8B8_MOUSE	OR8B8_HUMAN, OR8BC_HUMAN
OG0000004	OR8B3_MOUSE	OR8B2_HUMAN, OR8B3_HUMAN
OG0000004	O8G17_MOUSE	OR8G5_HUMAN
OG0000004	O8G18_MOUSE	OR8G1_HUMAN
OG0000004	OR8U3_MOUSE	OR5R1_HUMAN
OG0000004	OR8U9_MOUSE	OR8U9_HUMAN, OR8U1_HUMAN, OR8U8_HUMAN
OG0000004	OR5M5_MOUSE	OR5M8_HUMAN, OR5M3_HUMAN, OR5M9_HUMAN, OR5MB_HUMAN, OR5M1_HUMAN, OR5MA_HUMAN
OG0000004	OR5P6_MOUSE, O5P76_MOUSE, O5P69_MOUSE, O5P70_MOUSE, O5P73_MOUSE, O5P58_MOUSE, O5P60_MOUSE, O5P67_MOUSE, O5P68_MOUSE, O5P59_MOUSE, O5P72_MOUSE, O5P62_MOUSE, O5P64_MOUSE, O5P66_MOUSE, O5P79_MOUSE, O5P81_MOUSE, O5P50_MOUSE, O5P51_MOUSE	OR5P2_HUMAN
OG0000004	OR5P1_MOUSE, O5P55_MOUSE, O5P56_MOUSE, O5P54_MOUSE, O5P52_MOUSE, O5P53_MOUSE, OR5P4_MOUSE, O5P80_MOUSE, O5P87_MOUSE	OR5P3_HUMAN
OG0000004	O5AN6_MOUSE	OR5A1_HUMAN, OR5A2_HUMAN, O5AN1_HUMAN
OG0000004	OR6E1_MOUSE	O12D1_HUMAN, O5BS1_HUMAN, O13A1_HUMAN, O14CZ_HUMAN, O14A2_HUMAN, O14AG_HUMAN, O14I1_HUMAN, OR6K6_HUMAN, OR6Q1_HUMAN, OR6F1_HUMAN, OR6X1_HUMAN, OR6T1_HUMAN, OR6J1_HUMAN, OR6M1_HUMAN, OR6S1_HUMAN, OR6V1_HUMAN, OR9A2_HUMAN, OR9A4_HUMAN, OR9A1_HUMAN, O2AP1_HUMAN, OR6C4_HUMAN, O6C70_HUMAN, OR6C6_HUMAN, O6C65_HUMAN, O6C76_HUMAN, O6C75_HUMAN, OR6C1_HUMAN, OR6C3_HUMAN, O6C74_HUMAN, O6C68_HUMAN, OR6C2_HUMAN
OG0000004	OR5J3_MOUSE	OR5J2_HUMAN
OG0000004	OR5G9_MOUSE, O5G25_MOUSE, O5G26_MOUSE, O5G29_MOUSE	OR5G3_HUMAN
OG0000004	O5AP2_MOUSE	O5AP2_HUMAN
OG0000004	O9S13_MOUSE	OR9K2_HUMAN, OR9H1_HUMAN
OG0000004	O5T17_MOUSE, OR5T9_MOUSE	OR5T1_HUMAN, OR5T3_HUMAN
OG0000004	OL141_MOUSE	OR5T2_HUMAN
OG0000004	O5AR1_MOUSE	O5AR1_HUMAN
OG0000004	O5B21_MOUSE	OR5BC_HUMAN, OR5B3_HUMAN, OR5B2_HUMAN, OR5BH_HUMAN, O5B21_HUMAN
