Orthogroup	Mmus	Acer
OG0000045	K1C18_MOUSE, K1C20_MOUSE, K1C42_MOUSE, K1C17_MOUSE, K1C14_MOUSE, K1C16_MOUSE, K1C12_MOUSE, K1C24_MOUSE, K1C26_MOUSE, K1C28_MOUSE, K1C25_MOUSE, K1C27_MOUSE, K1C9_MOUSE, K1C10_MOUSE, K1C19_MOUSE, K1C13_MOUSE, K1C15_MOUSE, KRT36_MOUSE, KRT35_MOUSE, K1H2_MOUSE, K1C39_MOUSE, K1C40_MOUSE, KRT34_MOUSE, K1H1_MOUSE, KT33A_MOUSE, KT33B_MOUSE	KAK2547790.1
OG0000013	CTRB1_MOUSE, KLK7_MOUSE, KLK14_MOUSE, KLK4_MOUSE, KLK8_MOUSE, KLK11_MOUSE, TRY2_MOUSE, TRY4_MOUSE, TRY5_MOUSE, TMPS9_MOUSE, TEST_MOUSE, PRS41_MOUSE, PRS30_MOUSE, PRS33_MOUSE, BSSP4_MOUSE, PRS27_MOUSE, TRYB1_MOUSE, TRYB2_MOUSE, PRS28_MOUSE, PRS29_MOUSE, PRS39_MOUSE, PRS40_MOUSE, PRS38_MOUSE	KAK2573735.1, KAK2553845.1, KAK2570101.1, KAK2565368.1, KAK2568182.1, KAK2568184.1, KAK2559376.1, KAK2565258.1, KAK2558430.1, KAK2559309.1, KAK2559444.1, KAK2572836.1, KAK2572356.1, KAK2554716.1
OG0000063	GRIA1_MOUSE, GRIA2_MOUSE, GRIA4_MOUSE, GRIA3_MOUSE, GRIK5_MOUSE, GRIK4_MOUSE, GRIK2_MOUSE, GRIK3_MOUSE, GRIK1_MOUSE	KAK2560020.1, KAK2552985.1, KAK2553015.1, KAK2553028.1, KAK2553030.1, KAK2560025.1, KAK2552984.1, KAK2559850.1, KAK2559935.1, KAK2559853.1, KAK2559934.1, KAK2559933.1, KAK2559931.1, KAK2559937.1, KAK2559852.1, KAK2574075.1, KAK2574078.1, KAK2566425.1, KAK2566473.1, KAK2566474.1, KAK2559754.1
OG0000029	ZNF18_MOUSE, ZN496_MOUSE, ZN263_MOUSE, ZSC20_MOUSE, ZN394_MOUSE, ZSC26_MOUSE, ZKSC1_MOUSE, ZNF24_MOUSE, ZKSC3_MOUSE, ZSC12_MOUSE, ZN445_MOUSE, ZSC21_MOUSE, ZKSC5_MOUSE	KAK2572785.1
OG0000060	GALR1_MOUSE, GALR3_MOUSE, GALR2_MOUSE	KAK2573348.1, KAK2573760.1, KAK2573349.1, KAK2573761.1, KAK2560539.1, KAK2551731.1, KAK2552141.1, KAK2551672.1, KAK2551671.1, KAK2552139.1, KAK2547806.1, KAK2551867.1, KAK2548644.1, KAK2572782.1, KAK2573180.1, KAK2557206.1, KAK2572655.1, KAK2573181.1, KAK2565199.1
OG0000077	RINI_MOUSE, NLRP6_MOUSE, NLRP3_MOUSE, NAL12_MOUSE, NAL10_MOUSE, NLR1A_MOUSE, NL1B2_MOUSE, NL1B3_MOUSE, NL1B4_MOUSE, NL1B1_MOUSE, NL1B5_MOUSE, NAL4B_MOUSE, NAL4F_MOUSE, NAL4A_MOUSE, NAL4C_MOUSE, NAL4E_MOUSE, NLR9B_MOUSE, NLR9A_MOUSE, NLR9C_MOUSE, NALP5_MOUSE, NAL14_MOUSE	KAK2565404.1
OG0000136	TEFF2_MOUSE, TEFF1_MOUSE	KAK2551187.1, KAK2551794.1, KAK2566200.1, KAK2566384.1, KAK2566380.1, KAK2566383.1, KAK2551239.1
OG0000017	CC14A_MOUSE	KAK2572147.1, KAK2572148.1, KAK2549548.1, KAK2547122.1, KAK2559466.1, KAK2572800.1, KAK2569167.1, KAK2560838.1, KAK2547123.1, KAK2562008.1, KAK2564587.1, KAK2548038.1, KAK2549080.1, KAK2570676.1, KAK2570799.1, KAK2564325.1, KAK2562851.1, KAK2566565.1, KAK2547214.1, KAK2551777.1, KAK2547854.1, KAK2548993.1, KAK2566377.1, KAK2553023.1, KAK2572183.1, KAK2548737.1, KAK2564540.1, KAK2558765.1, KAK2559249.1, KAK2546703.1, KAK2547412.1, KAK2547231.1, KAK2549811.1, KAK2557414.1, KAK2562942.1, KAK2570474.1, KAK2549053.1, KAK2559041.1, KAK2568809.1, KAK2568094.1, KAK2554850.1, KAK2570691.1, KAK2568672.1, KAK2557413.1, KAK2551626.1, KAK2562941.1, KAK2560145.1, KAK2566192.1, KAK2551091.1, KAK2547595.1, KAK2557530.1, KAK2547594.1, KAK2551089.1, KAK2547706.1, KAK2562572.1, KAK2547311.1, KAK2547707.1, KAK2549388.1, KAK2554847.1, KAK2557552.1, KAK2558774.1, KAK2567505.1, KAK2548031.1, KAK2549615.1, KAK2553836.1, KAK2549614.1, KAK2557038.1, KAK2546631.1, KAK2569915.1, KAK2555958.1, KAK2569624.1, KAK2556902.1, KAK2569817.1
OG0000037	P52K_MOUSE	KAK2549573.1, KAK2548314.1, KAK2549571.1, KAK2561742.1, KAK2552154.1, KAK2558618.1, KAK2566099.1, KAK2552153.1, KAK2568036.1, KAK2571665.1, KAK2561865.1, KAK2571227.1, KAK2561757.1, KAK2562793.1, KAK2550745.1, KAK2571485.1, KAK2550114.1, KAK2548291.1, KAK2555443.1, KAK2563359.1, KAK2564778.1, KAK2558882.1, KAK2572357.1, KAK2561127.1, KAK2557805.1, KAK2548160.1, KAK2558900.1, KAK2555912.1, KAK2558879.1, KAK2569571.1, KAK2564027.1, KAK2553973.1, KAK2548485.1, KAK2572910.1, KAK2573203.1, KAK2568976.1, KAK2550693.1, KAK2558651.1, KAK2556062.1, KAK2551621.1, KAK2561744.1, KAK2571415.1, KAK2569726.1, KAK2569725.1, KAK2564046.1, KAK2558772.1, KAK2558773.1, KAK2569438.1
OG0000068	B3GN5_MOUSE, B3GT1_MOUSE, B3GT2_MOUSE, B3GT5_MOUSE, B3GL1_MOUSE	KAK2556527.1, KAK2560187.1, KAK2560185.1, KAK2560238.1, KAK2560186.1, KAK2560237.1, KAK2563589.1, KAK2563587.1, KAK2556352.1, KAK2556351.1, KAK2556447.1, KAK2558088.1, KAK2561866.1, KAK2574433.1, KAK2551011.1, KAK2551012.1, KAK2553140.1, KAK2562758.1, KAK2572838.1
