Orthogroup	Species	Acer	Orthologs
OG0000007	Hsap	KAK2550691.1, KAK2564519.1, KAK2547364.1, KAK2549584.1, KAK2555889.1, KAK2553585.1, KAK2555194.1, KAK2559141.1, KAK2568982.1, KAK2562501.1, KAK2559190.1, KAK2555740.1, KAK2559073.1, KAK2555776.1, KAK2564055.1, KAK2564678.1, KAK2552193.1, KAK2549140.1, KAK2555258.1, KAK2555836.1, KAK2561823.1, KAK2561758.1, KAK2554169.1, KAK2549000.1, KAK2571417.1, KAK2547372.1, KAK2554888.1, KAK2562412.1, KAK2560778.1, KAK2555207.1, KAK2547442.1, KAK2552069.1, KAK2548394.1, KAK2567631.1, KAK2568545.1, KAK2569823.1, KAK2551642.1, KAK2553693.1, KAK2567256.1, KAK2556460.1, KAK2554248.1, KAK2568540.1, KAK2558110.1, KAK2558109.1, KAK2567630.1, KAK2554247.1, KAK2556461.1, KAK2569822.1, KAK2567107.1, KAK2553689.1, KAK2554931.1, KAK2558771.1, KAK2549788.1, KAK2556975.1, KAK2548173.1, KAK2556181.1, KAK2563086.1, KAK2552057.1, KAK2552062.1, KAK2571669.1, KAK2553553.1, KAK2546801.1, KAK2550732.1, KAK2571416.1, KAK2554684.1, KAK2558129.1, KAK2565484.1, KAK2568753.1, KAK2564192.1, KAK2565615.1, KAK2549364.1, KAK2558923.1, KAK2553564.1, KAK2560769.1, KAK2558638.1, KAK2552350.1, KAK2555734.1, KAK2559458.1, KAK2566629.1, KAK2551129.1, KAK2546742.1, KAK2565102.1, KAK2550740.1, KAK2559153.1, KAK2552656.1, KAK2550735.1, KAK2564148.1, KAK2564873.1, KAK2550562.1, KAK2555827.1, KAK2549463.1, KAK2573776.1, KAK2548979.1, KAK2563416.1, KAK2568283.1, KAK2562627.1, KAK2552430.1, KAK2548531.1, KAK2548360.1, KAK2550325.1, KAK2554116.1, KAK2548487.1, KAK2549860.1, KAK2552011.1, KAK2565630.1, KAK2546688.1, KAK2551338.1, KAK2557560.1, KAK2548239.1	CFA68_HUMAN
OG0000007	Mmus	KAK2550691.1, KAK2564519.1, KAK2547364.1, KAK2549584.1, KAK2555889.1, KAK2553585.1, KAK2555194.1, KAK2559141.1, KAK2568982.1, KAK2562501.1, KAK2559190.1, KAK2555740.1, KAK2559073.1, KAK2555776.1, KAK2564055.1, KAK2564678.1, KAK2552193.1, KAK2549140.1, KAK2555258.1, KAK2555836.1, KAK2561823.1, KAK2561758.1, KAK2554169.1, KAK2549000.1, KAK2571417.1, KAK2547372.1, KAK2554888.1, KAK2562412.1, KAK2560778.1, KAK2555207.1, KAK2547442.1, KAK2552069.1, KAK2548394.1, KAK2567631.1, KAK2568545.1, KAK2569823.1, KAK2551642.1, KAK2553693.1, KAK2567256.1, KAK2556460.1, KAK2554248.1, KAK2568540.1, KAK2558110.1, KAK2558109.1, KAK2567630.1, KAK2554247.1, KAK2556461.1, KAK2569822.1, KAK2567107.1, KAK2553689.1, KAK2554931.1, KAK2558771.1, KAK2549788.1, KAK2556975.1, KAK2548173.1, KAK2556181.1, KAK2563086.1, KAK2552057.1, KAK2552062.1, KAK2571669.1, KAK2553553.1, KAK2546801.1, KAK2550732.1, KAK2571416.1, KAK2554684.1, KAK2558129.1, KAK2565484.1, KAK2568753.1, KAK2564192.1, KAK2565615.1, KAK2549364.1, KAK2558923.1, KAK2553564.1, KAK2560769.1, KAK2558638.1, KAK2552350.1, KAK2555734.1, KAK2559458.1, KAK2566629.1, KAK2551129.1, KAK2546742.1, KAK2565102.1, KAK2550740.1, KAK2559153.1, KAK2552656.1, KAK2550735.1, KAK2564148.1, KAK2564873.1, KAK2550562.1, KAK2555827.1, KAK2549463.1, KAK2573776.1, KAK2548979.1, KAK2563416.1, KAK2568283.1, KAK2562627.1, KAK2552430.1, KAK2548531.1, KAK2548360.1, KAK2550325.1, KAK2554116.1, KAK2548487.1, KAK2549860.1, KAK2552011.1, KAK2565630.1, KAK2546688.1, KAK2551338.1, KAK2557560.1, KAK2548239.1	CFA68_MOUSE
OG0000007	Nvec	KAK2550691.1, KAK2564519.1, KAK2547364.1, KAK2549584.1, KAK2555889.1, KAK2553585.1, KAK2555194.1, KAK2559141.1, KAK2568982.1, KAK2562501.1, KAK2559190.1, KAK2555740.1, KAK2559073.1, KAK2555776.1, KAK2564055.1, KAK2564678.1, KAK2552193.1, KAK2549140.1, KAK2555258.1, KAK2555836.1, KAK2561823.1, KAK2561758.1, KAK2554169.1, KAK2549000.1, KAK2571417.1, KAK2547372.1, KAK2554888.1, KAK2562412.1, KAK2560778.1, KAK2555207.1, KAK2547442.1, KAK2552069.1, KAK2548394.1, KAK2567631.1, KAK2568545.1, KAK2569823.1, KAK2551642.1, KAK2553693.1, KAK2567256.1, KAK2556460.1, KAK2554248.1, KAK2568540.1, KAK2558110.1, KAK2558109.1, KAK2567630.1, KAK2554247.1, KAK2556461.1, KAK2569822.1, KAK2567107.1, KAK2553689.1, KAK2554931.1, KAK2558771.1, KAK2549788.1, KAK2556975.1, KAK2548173.1, KAK2556181.1, KAK2563086.1, KAK2552057.1, KAK2552062.1, KAK2571669.1, KAK2553553.1, KAK2546801.1, KAK2550732.1, KAK2571416.1, KAK2554684.1, KAK2558129.1, KAK2565484.1, KAK2568753.1, KAK2564192.1, KAK2565615.1, KAK2549364.1, KAK2558923.1, KAK2553564.1, KAK2560769.1, KAK2558638.1, KAK2552350.1, KAK2555734.1, KAK2559458.1, KAK2566629.1, KAK2551129.1, KAK2546742.1, KAK2565102.1, KAK2550740.1, KAK2559153.1, KAK2552656.1, KAK2550735.1, KAK2564148.1, KAK2564873.1, KAK2550562.1, KAK2555827.1, KAK2549463.1, KAK2573776.1, KAK2548979.1, KAK2563416.1, KAK2568283.1, KAK2562627.1, KAK2552430.1, KAK2548531.1, KAK2548360.1, KAK2550325.1, KAK2554116.1, KAK2548487.1, KAK2549860.1, KAK2552011.1, KAK2565630.1	NV2t015371001.1
OG0000007	Nvec	KAK2546688.1, KAK2551338.1, KAK2557560.1, KAK2548239.1	NV2t021653001.1
OG0000003	Hsap	KAK2571225.1, KAK2546761.1, KAK2565686.1, KAK2565427.1, KAK2551387.1, KAK2554191.1, KAK2559189.1, KAK2550122.1, KAK2562546.1, KAK2552047.1, KAK2557441.1, KAK2552751.1, KAK2559246.1, KAK2565683.1, KAK2556149.1, KAK2561962.1, KAK2550120.1, KAK2559292.1, KAK2557439.1, KAK2547040.1, KAK2558986.1, KAK2557440.1, KAK2558989.1, KAK2558615.1, KAK2549164.1, KAK2564145.1, KAK2549093.1, KAK2551152.1, KAK2564292.1, KAK2549266.1, KAK2551972.1, KAK2558593.1, KAK2564178.1, KAK2548873.1, KAK2568081.1, KAK2567995.1, KAK2551374.1, KAK2548030.1, KAK2548101.1, KAK2550345.1, KAK2547344.1, KAK2547153.1, KAK2549002.1, KAK2556136.1, KAK2548746.1, KAK2559234.1, KAK2565538.1, KAK2568837.1, KAK2564355.1, KAK2559196.1, KAK2550179.1, KAK2552424.1, KAK2559197.1, KAK2561777.1, KAK2556263.1, KAK2552976.1, KAK2552977.1, KAK2566262.1, KAK2548902.1, KAK2553545.1, KAK2571006.1, KAK2570197.1, KAK2558840.1, KAK2558859.1, KAK2548093.1, KAK2572194.1, KAK2549560.1, KAK2548094.1, KAK2556137.1, KAK2556007.1, KAK2560716.1, KAK2549325.1, KAK2549848.1, KAK2555107.1, KAK2561190.1, KAK2552461.1, KAK2560181.1, KAK2551765.1, KAK2567873.1, KAK2564043.1, KAK2570280.1, KAK2549324.1, KAK2562452.1, KAK2562725.1, KAK2570323.1, KAK2551620.1, KAK2556398.1, KAK2561213.1, KAK2573748.1, KAK2559396.1, KAK2554908.1, KAK2551954.1, KAK2550077.1, KAK2559012.1, KAK2546994.1, KAK2549204.1, KAK2568668.1, KAK2562264.1, KAK2557575.1, KAK2558858.1, KAK2564032.1, KAK2552079.1, KAK2557025.1, KAK2558004.1, KAK2553111.1, KAK2548081.1, KAK2561694.1, KAK2568407.1, KAK2570067.1, KAK2552033.1, KAK2554027.1, KAK2555189.1, KAK2548084.1, KAK2564321.1, KAK2555775.1, KAK2547008.1, KAK2560680.1, KAK2548698.1, KAK2569529.1, KAK2553584.1, KAK2555766.1, KAK2555242.1, KAK2556279.1, KAK2565849.1, KAK2568404.1, KAK2570273.1, KAK2559341.1, KAK2564252.1, KAK2555195.1, KAK2568524.1, KAK2568526.1, KAK2564530.1, KAK2562496.1, KAK2562495.1, KAK2568754.1, KAK2554036.1, KAK2562930.1, KAK2552373.1, KAK2557015.1, KAK2562929.1, KAK2553559.1, KAK2561418.1, KAK2564489.1, KAK2562471.1, KAK2550439.1, KAK2554859.1, KAK2561826.1, KAK2559072.1, KAK2564679.1, KAK2547049.1, KAK2561964.1, KAK2549129.1, KAK2561781.1, KAK2555197.1, KAK2561790.1, KAK2559142.1, KAK2553586.1, KAK2549578.1, KAK2547371.1, KAK2549285.1, KAK2549290.1, KAK2547388.1, KAK2555890.1, KAK2562500.1, KAK2554860.1, KAK2556258.1, KAK2548996.1, KAK2562405.1, KAK2556256.1, KAK2561881.1, KAK2555808.1, KAK2556363.1, KAK2559326.1, KAK2550748.1, KAK2551339.1, KAK2551344.1	THAP6_HUMAN
OG0000003	Nvec	KAK2551387.1, KAK2554191.1, KAK2559189.1, KAK2550122.1, KAK2562546.1	NV2t023758001.1
OG0000003	Nvec	KAK2552047.1, KAK2557441.1, KAK2552751.1, KAK2559246.1, KAK2565683.1, KAK2556149.1, KAK2561962.1, KAK2550120.1, KAK2559292.1, KAK2557439.1, KAK2547040.1, KAK2558986.1, KAK2557440.1, KAK2558989.1, KAK2558615.1, KAK2549164.1, KAK2564145.1, KAK2549093.1, KAK2551152.1, KAK2564292.1, KAK2549266.1, KAK2551972.1, KAK2558593.1, KAK2564178.1, KAK2548873.1, KAK2568081.1, KAK2567995.1, KAK2551374.1, KAK2548030.1, KAK2548101.1, KAK2550345.1, KAK2547344.1, KAK2547153.1, KAK2549002.1, KAK2556136.1, KAK2548746.1, KAK2559234.1, KAK2565538.1, KAK2568837.1, KAK2564355.1, KAK2559196.1, KAK2550179.1, KAK2552424.1, KAK2559197.1, KAK2561777.1, KAK2556263.1, KAK2552976.1, KAK2552977.1, KAK2566262.1, KAK2548902.1, KAK2553545.1, KAK2571006.1, KAK2570197.1, KAK2558840.1, KAK2558859.1, KAK2548093.1, KAK2572194.1, KAK2549560.1, KAK2548094.1, KAK2556137.1, KAK2556007.1, KAK2560716.1, KAK2549325.1, KAK2549848.1, KAK2555107.1, KAK2561190.1, KAK2552461.1, KAK2560181.1, KAK2551765.1, KAK2567873.1, KAK2564043.1, KAK2570280.1, KAK2549324.1, KAK2562452.1, KAK2562725.1, KAK2570323.1, KAK2551620.1, KAK2556398.1, KAK2561213.1, KAK2573748.1, KAK2559396.1, KAK2554908.1, KAK2551954.1, KAK2550077.1, KAK2559012.1, KAK2546994.1, KAK2549204.1, KAK2568668.1, KAK2562264.1, KAK2557575.1, KAK2558858.1, KAK2564032.1, KAK2552079.1, KAK2557025.1, KAK2558004.1, KAK2553111.1, KAK2548081.1, KAK2561694.1, KAK2568407.1, KAK2570067.1, KAK2552033.1, KAK2554027.1, KAK2555189.1, KAK2548084.1, KAK2564321.1, KAK2555775.1, KAK2547008.1, KAK2560680.1, KAK2548698.1, KAK2569529.1, KAK2553584.1, KAK2555766.1, KAK2555242.1, KAK2556279.1, KAK2565849.1, KAK2568404.1, KAK2570273.1, KAK2559341.1, KAK2564252.1, KAK2555195.1, KAK2568524.1, KAK2568526.1, KAK2564530.1, KAK2562496.1, KAK2562495.1, KAK2568754.1, KAK2554036.1, KAK2562930.1, KAK2552373.1, KAK2557015.1, KAK2562929.1, KAK2553559.1, KAK2561418.1, KAK2564489.1, KAK2562471.1, KAK2550439.1, KAK2554859.1, KAK2561826.1, KAK2559072.1, KAK2564679.1, KAK2547049.1, KAK2561964.1, KAK2549129.1, KAK2561781.1, KAK2555197.1, KAK2561790.1, KAK2559142.1, KAK2553586.1, KAK2549578.1, KAK2547371.1, KAK2549285.1, KAK2549290.1, KAK2547388.1, KAK2555890.1, KAK2562500.1, KAK2554860.1, KAK2556258.1, KAK2548996.1, KAK2562405.1, KAK2556256.1, KAK2561881.1, KAK2555808.1, KAK2556363.1, KAK2559326.1, KAK2550748.1, KAK2551339.1, KAK2551344.1	NV2t012317001.1
OG0000005	Nvec	KAK2553588.1	NV2t009579001.1
OG0000005	Nvec	KAK2561795.1, KAK2550412.1, KAK2554081.1, KAK2561793.1, KAK2565025.1, KAK2564117.1, KAK2564973.1, KAK2565454.1, KAK2549281.1, KAK2553600.1, KAK2553621.1, KAK2551627.1, KAK2567632.1, KAK2549704.1, KAK2555947.1, KAK2556066.1, KAK2556148.1, KAK2549576.1, KAK2570326.1, KAK2558626.1	NV2t009984001.1
OG0000005	Nvec	KAK2550279.1, KAK2567802.1, KAK2554152.1, KAK2549010.1, KAK2554153.1, KAK2555237.1, KAK2563070.1, KAK2553547.1, KAK2562628.1, KAK2562705.1, KAK2552961.1, KAK2562704.1, KAK2567819.1, KAK2552390.1, KAK2552479.1, KAK2554150.1, KAK2549043.1, KAK2567855.1, KAK2567854.1, KAK2571535.1, KAK2558993.1, KAK2548287.1, KAK2552049.1, KAK2564605.1, KAK2551647.1, KAK2555917.1, KAK2570387.1, KAK2550337.1, KAK2555916.1, KAK2549846.1, KAK2551644.1, KAK2546696.1, KAK2549597.1, KAK2559797.1, KAK2551334.1, KAK2549545.1, KAK2559796.1, KAK2565908.1, KAK2553512.1, KAK2561725.1, KAK2566697.1, KAK2557744.1, KAK2564681.1, KAK2559802.1, KAK2553587.1, KAK2557049.1, KAK2563076.1, KAK2571601.1, KAK2549382.1, KAK2563077.1, KAK2571597.1, KAK2557087.1, KAK2546944.1, KAK2562645.1, KAK2548387.1, KAK2547357.1, KAK2549231.1, KAK2561658.1, KAK2564680.1, KAK2548425.1, KAK2557339.1, KAK2551596.1, KAK2546731.1, KAK2564383.1, KAK2552064.1, KAK2562269.1, KAK2551988.1, KAK2547482.1, KAK2546730.1, KAK2552269.1, KAK2564585.1, KAK2558827.1, KAK2564035.1, KAK2569515.1, KAK2574217.1, KAK2548727.1, KAK2557293.1, KAK2549885.1, KAK2558915.1, KAK2551989.1, KAK2564053.1, KAK2548418.1, KAK2556249.1, KAK2555238.1, KAK2558609.1, KAK2550088.1, KAK2553549.1, KAK2568666.1, KAK2550089.1, KAK2558881.1, KAK2566041.1, KAK2550336.1, KAK2549284.1, KAK2568665.1, KAK2568482.1, KAK2548422.1, KAK2555271.1, KAK2572830.1, KAK2548888.1, KAK2549591.1, KAK2552192.1, KAK2558716.1, KAK2558608.1, KAK2548085.1, KAK2548726.1, KAK2557292.1	NV2t017957001.1
