Orthogroup	Mmus	Hsap
OG0000000	ZNF8_MOUSE	ZNF8_HUMAN
OG0000000	ZFOI1_MOUSE, ZN809_MOUSE	ZN793_HUMAN, ZN350_HUMAN, ZN577_HUMAN, ZN589_HUMAN, ZN707_HUMAN
OG0000000	ZN879_MOUSE	ZN879_HUMAN
OG0000000	Z354C_MOUSE	Z354C_HUMAN
OG0000000	Z354A_MOUSE	Z354A_HUMAN
OG0000000	Z354B_MOUSE	Z354B_HUMAN
OG0000000	ZFP90_MOUSE	ZFP90_HUMAN
OG0000000	ZN112_MOUSE	ZN233_HUMAN, ZN112_HUMAN
OG0000000	ZN235_MOUSE	ZN224_HUMAN, ZN221_HUMAN, ZN155_HUMAN, ZN230_HUMAN, ZN223_HUMAN, ZN222_HUMAN, ZN225_HUMAN, ZN284_HUMAN, ZN226_HUMAN, ZN234_HUMAN, ZN235_HUMAN
OG0000000	ZN184_MOUSE	ZN184_HUMAN
OG0000000	ZFP28_MOUSE	ZFP28_HUMAN
OG0000000	ZN583_MOUSE	ZN570_HUMAN, ZN583_HUMAN
OG0000000	ZFP14_MOUSE	ZFP14_HUMAN
OG0000000	ZFP82_MOUSE	ZFP30_HUMAN, ZFP82_HUMAN
OG0000000	ZFP26_MOUSE	ZN121_HUMAN, ZN778_HUMAN, ZN560_HUMAN
OG0000000	ZN426_MOUSE	ZN266_HUMAN, ZN561_HUMAN, ZN562_HUMAN, ZN426_HUMAN
OG0000000	ZN569_MOUSE	ZN568_HUMAN, ZN569_HUMAN
OG0000000	ZN568_MOUSE, ZN667_MOUSE	ZN667_HUMAN
OG0000000	ZN182_MOUSE	ZN268_HUMAN, ZNF26_HUMAN, ZN169_HUMAN, ZN133_HUMAN, ZN343_HUMAN, ZN337_HUMAN, ZN875_HUMAN, ZN432_HUMAN, ZN615_HUMAN, ZN614_HUMAN, ZN613_HUMAN, ZN649_HUMAN, ZN605_HUMAN, ZNF84_HUMAN, ZN182_HUMAN
OG0000000	ZFP27_MOUSE	KRBD4_HUMAN, ZN674_HUMAN, ZN300_HUMAN, ZN630_HUMAN, ZNF41_HUMAN, ZNF81_HUMAN, ZN484_HUMAN, ZN175_HUMAN, Z585A_HUMAN, Z585B_HUMAN
OG0000000	ZFP39_MOUSE	ZN717_HUMAN
OG0000000	RBAK_MOUSE	RBAK_HUMAN
OG0000000	ZNF12_MOUSE	ZNF12_HUMAN
OG0000000	ZN382_MOUSE	ZN567_HUMAN, ZN382_HUMAN
OG0000000	ZFP1_MOUSE	Z658B_HUMAN, ZN658_HUMAN, ZIM3_HUMAN, ZFP1_HUMAN
OG0000000	ZFP69_MOUSE	ZN514_HUMAN, Z286A_HUMAN, Z286B_HUMAN, ZN892_HUMAN, ZNF80_HUMAN, ZN713_HUMAN, ZF69B_HUMAN, ZFP69_HUMAN
OG0000001	DZIP3_MOUSE	DZIP3_HUMAN
OG0000002	CRP_MOUSE	CRP_HUMAN
OG0000002	SAMP_MOUSE	SAMP_HUMAN
OG0000002	MPTX_MOUSE	MPTX_HUMAN
OG0000003	UROM_MOUSE	UROM_HUMAN
OG0000003	GP2_MOUSE	GP2_HUMAN
OG0000006	OR5J3_MOUSE	OR5J2_HUMAN
OG0000006	OR8U3_MOUSE	OR5R1_HUMAN
OG0000006	OR8U9_MOUSE	OR8U9_HUMAN, OR8U1_HUMAN, OR8U8_HUMAN
OG0000006	OR5M5_MOUSE	OR5M8_HUMAN, OR5M3_HUMAN, OR5M9_HUMAN, OR5MB_HUMAN, OR5M1_HUMAN, OR5MA_HUMAN
OG0000006	OL143_MOUSE	OR8B4_HUMAN
OG0000006	OR8B8_MOUSE	OR8B8_HUMAN, OR8BC_HUMAN
OG0000006	OR8B3_MOUSE	OR8B2_HUMAN, OR8B3_HUMAN
OG0000006	O8G17_MOUSE	OR8G5_HUMAN
OG0000006	O8G18_MOUSE	OR8G1_HUMAN
OG0000006	OR8A1_MOUSE	OR8D1_HUMAN, OR8D2_HUMAN, OR8A1_HUMAN
OG0000006	O1165_MOUSE	OR5L1_HUMAN, OR5L2_HUMAN, OR5DG_HUMAN, OR5DI_HUMAN, OR5DE_HUMAN, OR5D3_HUMAN, OR5DD_HUMAN
OG0000006	O9G19_MOUSE	OR9G4_HUMAN, OR9G1_HUMAN, OR9G9_HUMAN
OG0000006	O5AN6_MOUSE	OR6K6_HUMAN, OR6Q1_HUMAN, O5BS1_HUMAN, O12D1_HUMAN, O14A2_HUMAN, O14AG_HUMAN, O14CZ_HUMAN, O14I1_HUMAN, O13A1_HUMAN, OR5A1_HUMAN, OR5A2_HUMAN, O5AN1_HUMAN
OG0000006	O5AP2_MOUSE	O5AP2_HUMAN
OG0000006	O9S13_MOUSE	O5AK2_HUMAN, O5AK3_HUMAN, OR9K2_HUMAN, OR9H1_HUMAN
OG0000006	O5T17_MOUSE, OR5T9_MOUSE	OR5T1_HUMAN, OR5T3_HUMAN
OG0000006	OL141_MOUSE	OR5T2_HUMAN
OG0000006	O5AR1_MOUSE	OR5C1_HUMAN, OR5W2_HUMAN, O5AR1_HUMAN
OG0000006	O5B21_MOUSE	OR5BC_HUMAN, OR5B3_HUMAN, OR5B2_HUMAN, OR5BH_HUMAN, O5B21_HUMAN
OG0000006	OR5P6_MOUSE, O5P76_MOUSE, O5P50_MOUSE, O5P51_MOUSE, O5P79_MOUSE, O5P81_MOUSE, O5P69_MOUSE, O5P70_MOUSE, O5P73_MOUSE, O5P58_MOUSE, O5P60_MOUSE, O5P67_MOUSE, O5P68_MOUSE, O5P66_MOUSE, O5P62_MOUSE, O5P64_MOUSE, O5P59_MOUSE, O5P72_MOUSE	OR5P2_HUMAN
OG0000006	OR5P1_MOUSE, O5P55_MOUSE, O5P56_MOUSE, O5P54_MOUSE, O5P52_MOUSE, O5P53_MOUSE, OR5P4_MOUSE, O5P80_MOUSE, O5P87_MOUSE	OR5P3_HUMAN
OG0000006	OR5G9_MOUSE, O5G25_MOUSE, O5G26_MOUSE, O5G29_MOUSE	OR5G3_HUMAN
OG0000007	OR6B9_MOUSE	OR6B2_HUMAN, OR6B3_HUMAN
OG0000007	10H28_MOUSE	O10X1_HUMAN, O10H2_HUMAN, O10H1_HUMAN, O10H5_HUMAN, O10H3_HUMAN, O10H4_HUMAN
OG0000007	O10J5_MOUSE	O10J3_HUMAN, O10J4_HUMAN, O10J1_HUMAN, O10J6_HUMAN, O10J5_HUMAN
OG0000007	10P22_MOUSE	O10AG_HUMAN, O10A3_HUMAN, O10A6_HUMAN, O10A7_HUMAN, O10A4_HUMAN, O10A2_HUMAN, O10A5_HUMAN, O10C1_HUMAN, O10P1_HUMAN
OG0000007	OR2C1_MOUSE	OR2H1_HUMAN, OR2H2_HUMAN, OR2C1_HUMAN
OG0000007	O2Y1B_MOUSE	OR2W3_HUMAN, OR2W6_HUMAN, OR2W5_HUMAN, OR2W1_HUMAN, OR2G2_HUMAN, OR2G3_HUMAN, OR2G6_HUMAN, OR2C3_HUMAN, OR2B8_HUMAN, OR2J3_HUMAN, OR2J1_HUMAN, OR2J2_HUMAN, OR2I1_HUMAN, OR2Y1_HUMAN
OG0000007	OR2B6_MOUSE	OR2BB_HUMAN, OR2B3_HUMAN, OR2B2_HUMAN, OR2B6_HUMAN
OG0000007	OR2A7_MOUSE	O2A12_HUMAN, O2A14_HUMAN, OR2A2_HUMAN, OR2A5_HUMAN, OR2A1_HUMAN, O2A25_HUMAN, OR2A4_HUMAN, OR2A7_HUMAN
OG0000007	OR6E1_MOUSE	OR6F1_HUMAN, OR6X1_HUMAN, OR6S1_HUMAN, OR6V1_HUMAN, OR9A2_HUMAN, OR9A4_HUMAN, OR9A1_HUMAN, OR6J1_HUMAN, OR6M1_HUMAN, OR6T1_HUMAN, O2AP1_HUMAN, OR6C4_HUMAN, O6C75_HUMAN, OR6C1_HUMAN, OR6C3_HUMAN, O6C70_HUMAN, OR6C6_HUMAN, O6C65_HUMAN, O6C76_HUMAN, O6C74_HUMAN, O6C68_HUMAN, OR6C2_HUMAN
OG0000007	OR6Z7_MOUSE	OR6A2_HUMAN, OR6P1_HUMAN, OR6Y1_HUMAN, OR6B1_HUMAN
OG0000009	RTL1_MOUSE	RTL1_HUMAN
OG0000013	GT2D2_MOUSE	GTD2A_HUMAN, GTD2B_HUMAN
OG0000013	ZMYM3_MOUSE	ZMYM3_HUMAN
OG0000013	ZMYM2_MOUSE	ZMYM2_HUMAN
OG0000013	QRIC1_MOUSE	QRIC1_HUMAN
OG0000013	ZMYM4_MOUSE	ZMYM4_HUMAN
OG0000013	ZN394_MOUSE	ZN394_HUMAN
OG0000013	ZSC26_MOUSE	ZN449_HUMAN, ZSC22_HUMAN, ZSC26_HUMAN
OG0000013	ZN445_MOUSE	ZN197_HUMAN, ZKSC7_HUMAN, ZN852_HUMAN, ZN445_HUMAN
OG0000013	ZN287_MOUSE	ZN215_HUMAN, ZN483_HUMAN, ZN287_HUMAN
OG0000013	ZKSC5_MOUSE	ZKSC5_HUMAN
OG0000013	ZSC12_MOUSE	ZSC9_HUMAN, ZSC23_HUMAN, ZSC12_HUMAN
OG0000013	ZNF24_MOUSE	ZN396_HUMAN, ZNF24_HUMAN
OG0000013	ZKSC3_MOUSE	ZKSC3_HUMAN, ZKSC4_HUMAN
OG0000013	ZKSC1_MOUSE	Z876P_HUMAN, ZKSC8_HUMAN, ZKSC1_HUMAN
OG0000013	ZSC21_MOUSE	ZN232_HUMAN, ZN397_HUMAN, ZSC30_HUMAN, ZN165_HUMAN, ZN213_HUMAN, ZSC21_HUMAN
OG0000013	ZN263_MOUSE	ZN263_HUMAN
OG0000013	ZSC20_MOUSE	SCND2_HUMAN, ZKSC2_HUMAN, ZSC29_HUMAN, ZSC32_HUMAN, ZN500_HUMAN, ZSC20_HUMAN
OG0000013	ZN496_MOUSE	SCND1_HUMAN, ZSC18_HUMAN, ZSCA1_HUMAN, ZN446_HUMAN, ZN444_HUMAN, ZN496_HUMAN
OG0000013	ZNF18_MOUSE	ZSA5D_HUMAN, ZSA5C_HUMAN, ZSA5A_HUMAN, ZSA5B_HUMAN, ZNF18_HUMAN
OG0000016	GPR83_MOUSE	GPR83_HUMAN
OG0000016	NK2R_MOUSE	NK2R_HUMAN
OG0000016	NK1R_MOUSE	NK1R_HUMAN
OG0000016	NK3R_MOUSE	NK3R_HUMAN
OG0000017	XLRS1_MOUSE	XLRS1_HUMAN
OG0000018	CUZD1_MOUSE	CUZD1_HUMAN
OG0000019	SDK2_MOUSE	SDK2_HUMAN
OG0000019	SDK1_MOUSE	SDK1_HUMAN
OG0000021	ASTE1_MOUSE	ASTE1_HUMAN
OG0000022	O4C3D_MOUSE	OR4C3_HUMAN
OG0000022	OR4E2_MOUSE	OR4E1_HUMAN, OR4E2_HUMAN
OG0000022	O10D3_MOUSE	O10D3_HUMAN
OG0000022	O10N1_MOUSE	O10D4_HUMAN
OG0000022	OR4M1_MOUSE	OR4Q3_HUMAN, OR4L1_HUMAN, OR4F4_HUMAN, O4F17_HUMAN, OR4F5_HUMAN, OR4F6_HUMAN, O4F15_HUMAN, O4F21_HUMAN, OR4F3_HUMAN, OR4K1_HUMAN, OR4K2_HUMAN, OR4K3_HUMAN, OR4KH_HUMAN, OR4K5_HUMAN, OR4KF_HUMAN, OR4KD_HUMAN, OR4KE_HUMAN, OR4D5_HUMAN, OR4D1_HUMAN, OR4D2_HUMAN, OR4D6_HUMAN, OR4D9_HUMAN, OR4DA_HUMAN, OR4DB_HUMAN, OR4Q2_HUMAN, OR4N5_HUMAN, OR4N2_HUMAN, OR4N4_HUMAN, ORN4C_HUMAN, OR4M1_HUMAN, OR4M2_HUMAN, ORM2B_HUMAN
OG0000022	O4B13_MOUSE	OR4X1_HUMAN, OR4X2_HUMAN, OR4B1_HUMAN
