# SignalP-6.0	Organism: Eukarya	Timestamp: 20260618101210
# ID	Prediction	OTHER	SP(Sec/SPI)	CS Position
KAK2546610.1	OTHER	1.000000	0.000000	
KAK2546611.1	OTHER	0.999995	0.000000	
KAK2546612.1	OTHER	1.000000	0.000000	
KAK2546613.1	OTHER	1.000000	0.000000	
KAK2546614.1	OTHER	1.000000	0.000000	
KAK2546615.1	OTHER	0.999962	0.000000	
KAK2546616.1	OTHER	0.999999	0.000000	
KAK2546617.1	OTHER	1.000000	0.000000	
KAK2546618.1	OTHER	0.999997	0.000000	
KAK2546619.1	OTHER	1.000000	0.000000	
KAK2546620.1	OTHER	1.000000	0.000000	
KAK2546621.1	OTHER	0.999988	0.000000	
KAK2546622.1	OTHER	0.999974	0.000000	
KAK2546623.1	OTHER	1.000000	0.000000	
KAK2546624.1	OTHER	0.999993	0.000000	
KAK2546625.1	OTHER	1.000000	0.000000	
KAK2546626.1	OTHER	1.000000	0.000000	
KAK2546627.1	OTHER	1.000000	0.000000	
KAK2546628.1	OTHER	0.999997	0.000000	
KAK2546629.1	OTHER	1.000000	0.000000	
KAK2546630.1	OTHER	1.000000	0.000000	
KAK2546631.1	OTHER	0.999995	0.000000	
KAK2546632.1	OTHER	1.000000	0.000000	
KAK2546633.1	OTHER	1.000000	0.000000	
KAK2546634.1	OTHER	1.000000	0.000000	
KAK2546635.1	OTHER	1.000000	0.000000	
KAK2546636.1	OTHER	1.000000	0.000000	
KAK2546637.1	OTHER	1.000000	0.000000	
KAK2546638.1	SP	0.000166	0.999857	CS pos: 20-21. Pr: 0.9837
KAK2546639.1	OTHER	0.999975	0.000000	
KAK2546640.1	OTHER	1.000000	0.000000	
KAK2546641.1	OTHER	0.999996	0.000000	
KAK2546642.1	OTHER	1.000000	0.000000	
KAK2546643.1	OTHER	1.000000	0.000000	
KAK2546644.1	OTHER	0.662430	0.337577	
KAK2546645.1	OTHER	0.999989	0.000000	
KAK2546646.1	OTHER	1.000000	0.000000	
KAK2546647.1	OTHER	1.000000	0.000000	
