Orthogroup	Mmus	Pdam
OG0000003	Z354A_MOUSE, Z354B_MOUSE, ZN879_MOUSE, ZFP90_MOUSE, Z354C_MOUSE, ZFP92_MOUSE, ZFOI1_MOUSE, ZFP39_MOUSE, ZN809_MOUSE, ZN568_MOUSE, ZFP28_MOUSE, ZN583_MOUSE, ZFP14_MOUSE, ZFP82_MOUSE, ZN184_MOUSE, ZFP26_MOUSE, ZN426_MOUSE, ZN112_MOUSE, ZN235_MOUSE, ZFP1_MOUSE, RBAK_MOUSE, ZNF12_MOUSE, ZN382_MOUSE, ZFP27_MOUSE, ZN182_MOUSE, ZN569_MOUSE, ZN667_MOUSE, ZNF8_MOUSE, ZFP69_MOUSE	pdam_00017595-RA, pdam_00000673-RA
OG0000008	JAM1_MOUSE, JAM3_MOUSE, JAM2_MOUSE	pdam_00023708-RA, pdam_00020574-RA, pdam_00020575-RA, pdam_00004129-RA, pdam_00021344-RA, pdam_00021343-RA, pdam_00026001-RA, pdam_00023532-RA, pdam_00020576-RA, pdam_00024254-RA, pdam_00024255-RA, pdam_00002288-RA, pdam_00017923-RA, pdam_00025823-RA, pdam_00025727-RA, pdam_00023748-RA, pdam_00020793-RA, pdam_00024963-RA, pdam_00024900-RA, pdam_00023733-RA, pdam_00004821-RA, pdam_00022549-RA, pdam_00015914-RA, pdam_00016193-RA, pdam_00018978-RA, pdam_00018976-RA, pdam_00014274-RA, pdam_00023299-RA, pdam_00023298-RA, pdam_00018980-RA, pdam_00018974-RA, pdam_00018977-RA, pdam_00021977-RA, pdam_00014277-RA, pdam_00014276-RA, pdam_00024928-RA, pdam_00023709-RA, pdam_00024000-RA, pdam_00024001-RA, pdam_00023999-RA, pdam_00016661-RA, pdam_00016664-RA, pdam_00022230-RA, pdam_00025215-RA, pdam_00014851-RA, pdam_00025283-RA, pdam_00023728-RA, pdam_00023707-RA, pdam_00014831-RA, pdam_00014852-RA, pdam_00023729-RA, pdam_00023698-RA, pdam_00023699-RA, pdam_00020783-RA, pdam_00024814-RA, pdam_00025772-RA, pdam_00016104-RA, pdam_00016099-RA, pdam_00016102-RA, pdam_00020786-RA, pdam_00024437-RA, pdam_00024438-RA, pdam_00023697-RA, pdam_00001043-RA, pdam_00020781-RA, pdam_00020780-RA, pdam_00023696-RA, pdam_00020778-RA, pdam_00020782-RA, pdam_00021979-RA, pdam_00022229-RA, pdam_00023531-RA, pdam_00016103-RA, pdam_00016101-RA, pdam_00016098-RA, pdam_00016100-RA, pdam_00025043-RA, pdam_00021976-RA, pdam_00021975-RA, pdam_00024813-RA, pdam_00023732-RA, pdam_00003862-RA, pdam_00020573-RA, pdam_00020572-RA, pdam_00000224-RA, pdam_00000895-RA, pdam_00011127-RA, pdam_00018270-RA, pdam_00022997-RA, pdam_00014043-RA, pdam_00016192-RA, pdam_00018132-RA, pdam_00012852-RA, pdam_00012850-RA, pdam_00013942-RA, pdam_00024747-RA, pdam_00014218-RA, pdam_00024748-RA, pdam_00006541-RA, pdam_00014275-RA, pdam_00024846-RA, pdam_00014942-RA, pdam_00015661-RA, pdam_00022272-RA
OG0000012	PP6R2_MOUSE, PP6R3_MOUSE, PP6R1_MOUSE	pdam_00004223-RA, pdam_00008792-RA, pdam_00004230-RA, pdam_00022806-RA, pdam_00008793-RA, pdam_00008789-RA, pdam_00023686-RA, pdam_00023397-RA, pdam_00004199-RA, pdam_00025939-RA, pdam_00024740-RA, pdam_00022802-RA, pdam_00023398-RA, pdam_00022807-RA, pdam_00008791-RA, pdam_00004229-RA, pdam_00008785-RA, pdam_00024588-RA, pdam_00024589-RA, pdam_00008447-RA, pdam_00004209-RA, pdam_00008784-RA, pdam_00008779-RA, pdam_00009835-RA, pdam_00024829-RA, pdam_00024828-RA, pdam_00017554-RA, pdam_00023363-RA, pdam_00023362-RA, pdam_00025628-RA, pdam_00013333-RA, pdam_00005801-RA, pdam_00005800-RA, pdam_00023361-RA, pdam_00021468-RA, pdam_00017124-RA, pdam_00026055-RA, pdam_00023355-RA, pdam_00023354-RA, pdam_00017283-RA, pdam_00020116-RA, pdam_00012703-RA, pdam_00011047-RA, pdam_00021823-RA, pdam_00021819-RA, pdam_00021820-RA, pdam_00024757-RA, pdam_00024758-RA, pdam_00021825-RA, pdam_00021822-RA, pdam_00021824-RA, pdam_00025944-RA, pdam_00022135-RA, pdam_00016761-RA, pdam_00016382-RA, pdam_00016383-RA, pdam_00014827-RA, pdam_00021821-RA, pdam_00024797-RA, pdam_00025933-RA, pdam_00022307-RA, pdam_00022306-RA, pdam_00022308-RA, pdam_00015916-RA, pdam_00016537-RA, pdam_00025497-RA, pdam_00025868-RA, pdam_00017399-RA, pdam_00025791-RA, pdam_00025949-RA, pdam_00013949-RA, pdam_00026002-RA, pdam_00004412-RA, pdam_00019790-RA, pdam_00002404-RA, pdam_00025481-RA, pdam_00023356-RA, pdam_00000469-RA, pdam_00005803-RA, pdam_00016571-RA, pdam_00016570-RA
OG0000013	NK2R_MOUSE, NK1R_MOUSE, NK3R_MOUSE	pdam_00001492-RA, pdam_00001287-RA, pdam_00001286-RA, pdam_00020411-RA, pdam_00006264-RA, pdam_00009141-RA, pdam_00006769-RA, pdam_00006770-RA, pdam_00006768-RA, pdam_00006261-RA, pdam_00018737-RA, pdam_00025886-RA, pdam_00006385-RA, pdam_00001720-RA, pdam_00025652-RA, pdam_00022799-RA, pdam_00022798-RA, pdam_00001718-RA, pdam_00001719-RA, pdam_00009498-RA, pdam_00009497-RA, pdam_00009490-RA, pdam_00009496-RA, pdam_00018748-RA, pdam_00017189-RA, pdam_00001721-RA, pdam_00022800-RA, pdam_00025816-RA, pdam_00001717-RA, pdam_00006677-RA, pdam_00007450-RA, pdam_00006676-RA, pdam_00006671-RA, pdam_00006674-RA, pdam_00006673-RA, pdam_00006669-RA, pdam_00013640-RA, pdam_00013633-RA, pdam_00002127-RA, pdam_00013641-RA, pdam_00005190-RA, pdam_00005187-RA, pdam_00005189-RA, pdam_00008074-RA, pdam_00005044-RA, pdam_00018439-RA, pdam_00016644-RA, pdam_00001065-RA, pdam_00001063-RA, pdam_00001068-RA, pdam_00001067-RA, pdam_00001062-RA, pdam_00001061-RA, pdam_00001969-RA, pdam_00002697-RA, pdam_00023055-RA, pdam_00007884-RA, pdam_00023053-RA, pdam_00023051-RA, pdam_00024373-RA, pdam_00024372-RA, pdam_00007885-RA, pdam_00007887-RA, pdam_00023054-RA, pdam_00019528-RA, pdam_00019531-RA, pdam_00012632-RA, pdam_00012631-RA, pdam_00019527-RA, pdam_00012637-RA, pdam_00012633-RA, pdam_00012634-RA
OG0000014	MTR1L_MOUSE, MTR1A_MOUSE, MTR1B_MOUSE	pdam_00023113-RA, pdam_00013280-RA, pdam_00006806-RA, pdam_00006807-RA, pdam_00004338-RA, pdam_00004279-RA, pdam_00004339-RA, pdam_00004280-RA, pdam_00018323-RA, pdam_00009962-RA, pdam_00013683-RA, pdam_00022623-RA, pdam_00002145-RA, pdam_00003322-RA, pdam_00001145-RA, pdam_00014570-RA, pdam_00021463-RA, pdam_00013621-RA, pdam_00002666-RA, pdam_00013619-RA, pdam_00002659-RA, pdam_00025740-RA, pdam_00002663-RA, pdam_00002662-RA, pdam_00002661-RA, pdam_00002660-RA, pdam_00008248-RA, pdam_00012872-RA, pdam_00003967-RA, pdam_00004481-RA, pdam_00004297-RA, pdam_00022051-RA, pdam_00011847-RA, pdam_00020044-RA, pdam_00007451-RA, pdam_00005376-RA, pdam_00007452-RA, pdam_00002669-RA, pdam_00011108-RA, pdam_00003802-RA, pdam_00023114-RA, pdam_00023115-RA, pdam_00015656-RA, pdam_00025778-RA, pdam_00020181-RA, pdam_00020180-RA, pdam_00018994-RA, pdam_00012762-RA, pdam_00013636-RA, pdam_00013637-RA, pdam_00013358-RA, pdam_00009063-RA, pdam_00016970-RA, pdam_00016972-RA, pdam_00016973-RA, pdam_00023595-RA, pdam_00013359-RA, pdam_00016223-RA, pdam_00005025-RA, pdam_00015153-RA, pdam_00019558-RA, pdam_00005085-RA, pdam_00021186-RA, pdam_00021188-RA, pdam_00021190-RA, pdam_00021187-RA, pdam_00021185-RA, pdam_00021184-RA, pdam_00021189-RA, pdam_00021181-RA, pdam_00021182-RA, pdam_00008815-RA, pdam_00000676-RA, pdam_00017219-RA, pdam_00020600-RA, pdam_00006143-RA, pdam_00002287-RA, pdam_00002321-RA, pdam_00012051-RA
OG0000015	VKOR1_MOUSE	pdam_00019850-RA, pdam_00005207-RA, pdam_00023830-RA, pdam_00013947-RA, pdam_00000272-RA, pdam_00020597-RA, pdam_00005448-RA, pdam_00015826-RA, pdam_00000354-RA, pdam_00008649-RA, pdam_00012630-RA, pdam_00019370-RA, pdam_00016566-RA, pdam_00015954-RA, pdam_00005340-RA, pdam_00000356-RA, pdam_00000669-RA, pdam_00005455-RA, pdam_00022069-RA, pdam_00008766-RA, pdam_00002099-RA, pdam_00011043-RA, pdam_00008903-RA, pdam_00006655-RA, pdam_00015693-RA, pdam_00007529-RA, pdam_00017040-RA, pdam_00012404-RA, pdam_00012406-RA, pdam_00012405-RA, pdam_00023826-RA, pdam_00023600-RA, pdam_00002213-RA, pdam_00021638-RA, pdam_00022329-RA, pdam_00003550-RA, pdam_00003548-RA, pdam_00020683-RA, pdam_00003544-RA, pdam_00003549-RA, pdam_00003545-RA, pdam_00022195-RA, pdam_00022198-RA, pdam_00022196-RA, pdam_00025190-RA, pdam_00024619-RA, pdam_00003546-RA, pdam_00017560-RA, pdam_00008518-RA, pdam_00024070-RA, pdam_00008519-RA, pdam_00017345-RA, pdam_00013791-RA, pdam_00007242-RA, pdam_00015258-RA, pdam_00009041-RA, pdam_00011497-RA, pdam_00023718-RA, pdam_00002531-RA, pdam_00020356-RA, pdam_00022940-RA, pdam_00021318-RA, pdam_00007243-RA, pdam_00014488-RA, pdam_00005959-RA, pdam_00010823-RA, pdam_00003524-RA, pdam_00021384-RA, pdam_00002297-RA, pdam_00002298-RA, pdam_00007317-RA, pdam_00012211-RA, pdam_00008683-RA, pdam_00002198-RA, pdam_00011948-RA, pdam_00025794-RA, pdam_00021665-RA, pdam_00021383-RA, pdam_00010865-RA, pdam_00016437-RA, pdam_00020602-RA, pdam_00021386-RA, pdam_00021382-RA, pdam_00010872-RA, pdam_00010862-RA, pdam_00010866-RA, pdam_00017472-RA, pdam_00010863-RA, pdam_00010868-RA, pdam_00010867-RA, pdam_00010871-RA, pdam_00020557-RA, pdam_00016436-RA, pdam_00005616-RA, pdam_00025108-RA, pdam_00025107-RA, pdam_00010879-RA, pdam_00013828-RA
OG0000018	RXFP1_MOUSE, RXFP2_MOUSE	pdam_00013388-RA, pdam_00022375-RA, pdam_00004524-RA, pdam_00019167-RA, pdam_00022372-RA, pdam_00022371-RA, pdam_00016974-RA, pdam_00013387-RA, pdam_00007572-RA, pdam_00022377-RA, pdam_00013165-RA, pdam_00007577-RA, pdam_00007568-RA, pdam_00007567-RA, pdam_00007570-RA, pdam_00007569-RA, pdam_00007566-RA, pdam_00022376-RA, pdam_00007571-RA, pdam_00007575-RA, pdam_00025117-RA, pdam_00007560-RA, pdam_00026023-RA, pdam_00007561-RA, pdam_00025589-RA, pdam_00007559-RA, pdam_00007562-RA, pdam_00007564-RA, pdam_00025118-RA, pdam_00007574-RA, pdam_00004262-RA, pdam_00005510-RA, pdam_00025988-RA, pdam_00015043-RA, pdam_00011259-RA, pdam_00011255-RA, pdam_00008850-RA, pdam_00001051-RA, pdam_00022462-RA, pdam_00012380-RA, pdam_00013301-RA, pdam_00013302-RA, pdam_00019641-RA, pdam_00000545-RA, pdam_00021711-RA, pdam_00019640-RA, pdam_00008847-RA, pdam_00008465-RA, pdam_00007200-RA, pdam_00007202-RA, pdam_00007203-RA, pdam_00018595-RA, pdam_00012332-RA, pdam_00020774-RA, pdam_00004334-RA, pdam_00013650-RA, pdam_00012098-RA, pdam_00012095-RA, pdam_00012097-RA, pdam_00012094-RA, pdam_00010604-RA, pdam_00016281-RA, pdam_00012349-RA, pdam_00006417-RA, pdam_00005599-RA, pdam_00025671-RA, pdam_00013164-RA, pdam_00022011-RA, pdam_00022484-RA, pdam_00010509-RA, pdam_00013168-RA, pdam_00013167-RA, pdam_00013166-RA, pdam_00015076-RA, pdam_00023360-RA
OG0000019	MFAP4_MOUSE, FCN1_MOUSE, FCN2_MOUSE	pdam_00003889-RA, pdam_00002747-RA, pdam_00014212-RA, pdam_00003869-RA, pdam_00025773-RA, pdam_00023681-RA, pdam_00018061-RA, pdam_00002422-RA, pdam_00019098-RA, pdam_00023658-RA, pdam_00014210-RA, pdam_00017934-RA, pdam_00013758-RA, pdam_00013759-RA, pdam_00000936-RA, pdam_00018073-RA, pdam_00018091-RA, pdam_00018074-RA, pdam_00018088-RA, pdam_00021992-RA, pdam_00024248-RA, pdam_00014208-RA, pdam_00015688-RA, pdam_00012279-RA, pdam_00018090-RA, pdam_00021994-RA, pdam_00018089-RA, pdam_00016936-RA, pdam_00016935-RA, pdam_00012277-RA, pdam_00012281-RA, pdam_00024874-RA, pdam_00012280-RA, pdam_00018072-RA, pdam_00002806-RA, pdam_00015630-RA, pdam_00021167-RA, pdam_00008206-RA, pdam_00023855-RA, pdam_00021166-RA, pdam_00018519-RA, pdam_00019939-RA, pdam_00019938-RA, pdam_00023854-RA, pdam_00021162-RA, pdam_00025631-RA, pdam_00020510-RA, pdam_00020511-RA, pdam_00015623-RA, pdam_00021889-RA, pdam_00015628-RA, pdam_00020507-RA, pdam_00020508-RA, pdam_00021890-RA, pdam_00015629-RA, pdam_00009500-RA, pdam_00023419-RA, pdam_00020131-RA, pdam_00024525-RA, pdam_00011193-RA, pdam_00018818-RA, pdam_00003191-RA, pdam_00018814-RA, pdam_00011360-RA, pdam_00023168-RA, pdam_00002146-RA, pdam_00005006-RA, pdam_00005008-RA, pdam_00005007-RA, pdam_00017187-RA, pdam_00002148-RA, pdam_00006254-RA, pdam_00005011-RA, pdam_00015488-RA, pdam_00015487-RA, pdam_00015484-RA, pdam_00012857-RA, pdam_00012856-RA, pdam_00018815-RA, pdam_00002196-RA, pdam_00002189-RA, pdam_00002190-RA, pdam_00026009-RA, pdam_00002183-RA, pdam_00002188-RA, pdam_00002180-RA, pdam_00002182-RA, pdam_00002194-RA, pdam_00024591-RA, pdam_00010210-RA, pdam_00013693-RA
OG0000020	OIT3_MOUSE, UROM_MOUSE, GP2_MOUSE	pdam_00002363-RA, pdam_00005544-RA, pdam_00021200-RA, pdam_00022058-RA, pdam_00021207-RA, pdam_00022057-RA, pdam_00022055-RA, pdam_00024386-RA, pdam_00020598-RA, pdam_00021201-RA, pdam_00021202-RA, pdam_00010586-RA, pdam_00014477-RA, pdam_00025377-RA, pdam_00014469-RA, pdam_00020376-RA, pdam_00020370-RA, pdam_00019563-RA, pdam_00020521-RA, pdam_00016023-RA, pdam_00016026-RA, pdam_00016039-RA, pdam_00016030-RA, pdam_00008506-RA, pdam_00005217-RA, pdam_00005214-RA, pdam_00005213-RA, pdam_00017116-RA, pdam_00013996-RA, pdam_00007669-RA, pdam_00017407-RA, pdam_00010561-RA, pdam_00022825-RA, pdam_00025811-RA, pdam_00016181-RA, pdam_00026036-RA, pdam_00016403-RA, pdam_00012356-RA, pdam_00014188-RA, pdam_00023621-RA, pdam_00016025-RA, pdam_00021408-RA, pdam_00012326-RA, pdam_00015467-RA, pdam_00015464-RA, pdam_00025804-RA, pdam_00025695-RA, pdam_00025948-RA, pdam_00025445-RA, pdam_00015463-RA, pdam_00017487-RA, pdam_00019066-RA, pdam_00021433-RA, pdam_00017602-RA, pdam_00018290-RA, pdam_00002949-RA, pdam_00009471-RA, pdam_00012330-RA, pdam_00012329-RA, pdam_00014895-RA, pdam_00021922-RA
OG0000022	MEP1A_MOUSE, MEP1B_MOUSE, ASTL_MOUSE	pdam_00007735-RA, pdam_00014215-RA, pdam_00002741-RA, pdam_00002740-RA, pdam_00002739-RA, pdam_00011232-RA, pdam_00019694-RA, pdam_00017938-RA, pdam_00012892-RA, pdam_00006750-RA, pdam_00001151-RA, pdam_00009546-RA, pdam_00014405-RA, pdam_00020897-RA, pdam_00014407-RA, pdam_00017936-RA, pdam_00000091-RA, pdam_00003070-RA, pdam_00011448-RA, pdam_00012549-RA, pdam_00012548-RA, pdam_00013606-RA, pdam_00018235-RA, pdam_00018232-RA, pdam_00003020-RA, pdam_00002820-RA, pdam_00003707-RA, pdam_00017308-RA, pdam_00003021-RA, pdam_00003022-RA, pdam_00007737-RA, pdam_00007740-RA, pdam_00022004-RA, pdam_00006785-RA, pdam_00009354-RA, pdam_00010846-RA, pdam_00007519-RA, pdam_00008387-RA, pdam_00003084-RA
