# SignalP-6.0	Organism: Eukarya	Timestamp: 20260712011439
# ID	Prediction	OTHER	SP(Sec/SPI)	CS Position
Amil_Amillepora16769-RA	OTHER	1.000000	0.000000	
Amil_Amillepora16770-RA	OTHER	1.000000	0.000000	
Amil_Amillepora16771-RA	OTHER	1.000000	0.000000	
Amil_Amillepora16773-RA	OTHER	1.000000	0.000000	
Amil_Amillepora16774-RA	OTHER	1.000000	0.000000	
Amil_Amillepora16777-RA	OTHER	1.000000	0.000000	
Amil_Amillepora16778-RA	OTHER	1.000000	0.000000	
Amil_Amillepora16779-RA	OTHER	1.000000	0.000000	
Amil_Amillepora16780-RA	OTHER	1.000000	0.000000	
Amil_Amillepora16781-RA	OTHER	1.000000	0.000000	
Amil_Amillepora16782-RA	OTHER	1.000000	0.000000	
Amil_Amillepora16783-RA	OTHER	1.000000	0.000000	
Amil_Amillepora16784-RA	OTHER	1.000000	0.000000	
Amil_Amillepora16785-RA	SP	0.000155	0.999830	CS pos: 25-26. Pr: 0.6827
Amil_Amillepora16787-RA	SP	0.000153	0.999848	CS pos: 19-20. Pr: 0.9706
Amil_Amillepora16788-RA	OTHER	1.000000	0.000000	
Amil_Amillepora16789-RA	SP	0.000150	0.999883	CS pos: 25-26. Pr: 0.9653
Amil_Amillepora16790-RA	OTHER	1.000000	0.000000	
Amil_Amillepora16791-RA	SP	0.000213	0.999780	CS pos: 24-25. Pr: 0.9822
Amil_Amillepora16792-RA	SP	0.000148	0.999869	CS pos: 26-27. Pr: 0.9701
Amil_Amillepora16793-RA	OTHER	0.999997	0.000000	
Amil_Amillepora16794-RA	OTHER	1.000000	0.000000	
Amil_Amillepora16795-RA	OTHER	1.000000	0.000000	
Amil_Amillepora16796-RA	OTHER	1.000000	0.000000	
Amil_Amillepora16797-RA	OTHER	1.000000	0.000000	
Amil_Amillepora16798-RA	OTHER	0.999997	0.000000	
Amil_Amillepora16800-RA	OTHER	1.000000	0.000000	
Amil_Amillepora16801-RA	OTHER	1.000000	0.000000	
Amil_Amillepora16802-RA	OTHER	0.999994	0.000000	
Amil_Amillepora16803-RA	OTHER	1.000000	0.000000	
Amil_Amillepora16804-RA	OTHER	1.000000	0.000000	
